regime,shots_per_evaluation,n_graphs,n_tasks,graph_positive_count,graph_zero_count,graph_negative_count,exact_one_sided_sign_flip_p,graph_effect_mean,graph_effect_median,graph_effect_ci_lower,graph_effect_ci_upper,graph_effect_bootstrap_se
EXACT_CANONICAL,0,10,10,9,0,1,0.0029296875,0.359873811252318,0.2816638429709837,0.16409155158389863,0.5696754500182616,0.10373506122330106
SHOT_1000,1000,10,10,6,0,4,0.087890625,0.12456706700457679,0.022184585162563608,-0.005044246090462838,0.33514809708387816,0.09484813797531312
SHOT_10000,10000,10,10,8,0,2,0.0654296875,0.17061734524272926,0.08895434933037061,-0.010646666833472384,0.3862275868333783,0.10244996471691237
