training_regime,shots_per_evaluation,task_id,graph_id,size_stratum,m,objective,seed_count,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,G_feas_sd,median_nfev,median_nit,median_wall_time_s
EXACT_CANONICAL,0,task-v2-07632e755d52,g-a529fbde22ed09f4,S1,7,O0,1,1.1858802504577264,0.2865874380282492,0.1084897193116616,0.3785571344580974,1.087345865000073,,240.0,,0.7257635621353984
EXACT_CANONICAL,0,task-v2-07632e755d52,g-a529fbde22ed09f4,S1,7,O3,1,1.2373877527038526,0.2530761538121439,0.1024087301309312,0.4046557867595393,1.033339940466956,,30.0,,0.0648203482851386
EXACT_CANONICAL,0,task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,7,O0,1,1.6905861842243344,0.0774452607328261,0.0774452607328261,1.0,0.9962048158805032,,240.0,,0.734957741573453
EXACT_CANONICAL,0,task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,7,O3,1,1.7691957204418498,0.1010483540964656,0.1010483540964656,1.0,1.1117392136481852,,33.0,,0.0771571593359112
EXACT_CANONICAL,0,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,O0,1,1.4042821325737649,0.1592180757948998,0.0452542741930849,0.284228244608233,1.610232336328778,,240.0,,0.9600578062236308
EXACT_CANONICAL,0,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,O3,1,1.408031376102623,0.1648926423838169,0.0458311644047467,0.2779454785985331,1.6254412428884666,,240.0,,1.001473618671298
EXACT_CANONICAL,0,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,O0,1,1.5161276199986684,0.0057796247532504,0.0057796247532504,1.0,0.7721995990598289,,240.0,,0.9398935604840516
EXACT_CANONICAL,0,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,O3,1,1.950013037474416,0.056667201908723,0.056667201908723,1.0,1.7636317253850196,,240.0,,0.974334705621004
EXACT_CANONICAL,0,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,O0,1,1.2517198000817418,0.0925268041383781,0.0147203687033617,0.159093020022033,2.0345594655792265,,240.0,,3.6236922359094015
EXACT_CANONICAL,0,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,O3,1,1.3588494457575409,0.1101396016413802,0.0171826009709854,0.1560074733784926,2.1102354049868115,,240.0,,6.0294511411339045
EXACT_CANONICAL,0,task-v2-8b88de51ba21,g-f0c91af33253395a,S3,13,O0,1,1.5970289288938828,0.0199141116849507,0.0199141116849507,1.0,2.212550882098493,,240.0,,1.965240340679884
EXACT_CANONICAL,0,task-v2-8b88de51ba21,g-f0c91af33253395a,S3,13,O3,1,1.9080745986019192,0.071770419055862,0.071770419055862,1.0,2.769335425646671,,240.0,,2.0441238870844245
EXACT_CANONICAL,0,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,16,O0,1,1.192381782683375,0.0509013476776637,0.0089816439600971,0.1764519874203346,2.5232092116092697,,240.0,,54.371219652704895
EXACT_CANONICAL,0,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,S4,16,O3,1,1.2370592521778825,0.0794073883065223,0.0142815405666145,0.179851533606496,2.716340843018994,,240.0,,34.816647006198764
EXACT_CANONICAL,0,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,O0,1,1.402244576899763,0.0022335843770246,0.0022335843770246,1.0,2.1654822938716976,,240.0,,60.68324846494943
EXACT_CANONICAL,0,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,O3,1,1.579375574796824,0.0097302219671669,0.0097302219671669,1.0,2.8046026781907383,,240.0,,16.24949419964105
EXACT_CANONICAL,0,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,O0,1,1.251501781845878,0.0157054974347305,0.0037254278882773,0.2372053418721428,2.8364403677777013,,240.0,,305.9621229618788
EXACT_CANONICAL,0,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,O3,1,1.4338314453854597,0.0368339039046541,0.0054388822625492,0.1476596745386541,3.2066364223099444,,240.0,,284.1079456033185
EXACT_CANONICAL,0,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,O0,1,1.4733837852881788,0.001198725611245,0.001198725611245,1.0,2.798289701915776,,240.0,,303.147004452534
EXACT_CANONICAL,0,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,O3,1,1.7071998725480655,0.0059481215873741,0.0059481215873741,1.0,3.4939497551027414,,240.0,,283.0236450433731
SHOT_1000,1000,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,O0,5,1.515729115533631,0.0018788994592420008,0.0018788994592420008,1.0,2.0903834720522543,0.012233831729799168,50.0,24.0,2.2845447873696685
SHOT_1000,1000,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,O3,5,1.5150306835276153,0.0021855616204011956,0.0021855616204011956,1.0,2.1560429862551125,0.12241468899016998,55.0,27.0,2.3632169226184487
SHOT_1000,1000,task-v2-07632e755d52,g-a529fbde22ed09f4,S1,7,O0,5,1.2676590144854483,0.24587625782505146,0.09839141550293165,0.39940961743320585,1.0208053095742846,0.02654129926812597,50.0,24.0,0.08622694201767445
SHOT_1000,1000,task-v2-07632e755d52,g-a529fbde22ed09f4,S1,7,O3,5,1.3058388982297555,0.2114569356215104,0.09534385991433174,0.4411858074770487,0.9553106491628524,0.06212996715832252,48.0,24.0,0.08826455753296614
SHOT_1000,1000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,O0,5,1.6391480359256998,0.0003719015017707435,0.0003719015017707435,1.0,2.2899978496972024,0.1327127241428647,48.0,23.0,57.37598839122802
SHOT_1000,1000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,S5,19,O3,5,1.6592028684256483,0.00045384988695370654,0.00045384988695370654,1.0,2.376482149221705,0.012963570198870018,51.0,25.0,65.69436332117766
SHOT_1000,1000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,O0,5,1.7759701362718776,0.0007227058877227663,0.0007227058877227663,1.0,-0.1307384505280371,0.25663280096561025,50.0,24.0,0.10694889817386866
SHOT_1000,1000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,S2,10,O3,5,2.187681159979031,0.007302556437533288,0.007302556437533288,1.0,0.8737748787269692,0.5597903707329109,53.0,26.0,0.13143349159508944
SHOT_1000,1000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,O0,5,1.4284301216580952,0.15638133612222394,0.041798505904989895,0.26776629103385685,1.6024248847338465,0.013479999617678503,49.0,23.0,0.11422310769557953
SHOT_1000,1000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,O3,5,1.4420953602406423,0.1521864331413721,0.040695740853539164,0.26619506110681895,1.5906159037223786,0.01050231533464869,47.0,23.0,0.12289049569517374
SHOT_1000,1000,task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,7,O0,5,1.6989575122454519,0.0769634160505123,0.0769634160505123,1.0,0.993494305431295,0.00883756516974005,51.0,25.0,0.09237516019493341
SHOT_1000,1000,task-v2-6dd269836f23,g-c45ecbe0242c6377,S1,7,O3,5,1.7159739218941683,0.07700528461464667,0.07700528461464667,1.0,0.9937305000180963,0.03210060397136993,48.0,23.0,0.10011314414441586
SHOT_1000,1000,task-v2-8b88de51ba21,g-f0c91af33253395a,S3,13,O0,5,1.609417469861903,0.02367210087806427,0.02367210087806427,1.0,2.2876267465233195,0.08697803102202915,50.0,24.0,0.2715542959049344
SHOT_1000,1000,task-v2-8b88de51ba21,g-f0c91af33253395a,S3,13,O3,5,1.6850876803425596,0.0355160348486041,0.0355160348486041,1.0,2.4638144170813523,0.0669376404097644,49.0,23.0,0.2948031397536397
SHOT_1000,1000,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,O0,5,1.3496979181389672,0.0777736804996966,0.012157179155437457,0.15567804130352786,1.959124555265012,0.04619705497514186,49.0,23.0,0.2518287245184183
SHOT_1000,1000,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,O3,5,1.3522319352213414,0.07761709792693935,0.012120160458273896,0.15615322888885322,1.958249304223529,0.04226715677201398,50.0,24.0,0.28800418227910995
SHOT_1000,1000,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,S5,19,O0,5,1.5792296007390505,0.006016863891673238,0.0017365048105453104,0.2991044360645328,2.419758858934058,0.05948290098821577,51.0,25.0,61.60236110910773
