run_id,task_id,graph_id,size_stratum,m,dilution_score,endpoint_objective,shots,replicate,sampling_seed,alpha,cvar_estimate,cvar_exact,cvar_error,relative_error,p_feas_estimate,p_feas_exact,p_opt_estimate,p_opt_exact
a3est-000d3830cc8624593935,task-v2-10d8be977e09,g-e23fad4558949e26,S1,7,1.806179973983887,O0,1000,28,657841545013138355,0.02,0.0697674418604651,0.06976744186046512,-1.3877787807814457e-17,-1.989149585786739e-16,0.103,0.11203717337495844,0.054,0.05167271614354853
a3est-000d3830cc8624593935,task-v2-10d8be977e09,g-e23fad4558949e26,S1,7,1.806179973983887,O0,1000,28,657841545013138355,0.05,0.06976744186046513,0.06976744186046512,1.3877787807814457e-17,1.989149585786739e-16,0.103,0.11203717337495844,0.054,0.05167271614354853
a3est-000d3830cc8624593935,task-v2-10d8be977e09,g-e23fad4558949e26,S1,7,1.806179973983887,O0,1000,28,657841545013138355,0.1,0.08313953488372094,0.08381607088850333,-0.0006765360047823882,-0.008071674054995407,0.103,0.11203717337495844,0.054,0.05167271614354853
a3est-000d3830cc8624593935,task-v2-10d8be977e09,g-e23fad4558949e26,S1,7,1.806179973983887,O0,1000,28,657841545013138355,0.25,0.7225263623313235,0.6872605855743628,0.03526577675696074,0.05131354466877822,0.103,0.11203717337495844,0.054,0.05167271614354853
a3est-000d3830cc8624593935,task-v2-10d8be977e09,g-e23fad4558949e26,S1,7,1.806179973983887,O0,1000,28,657841545013138355,0.5,1.0013755842664371,0.9876761881473388,0.013699396119098317,0.0138703314745244,0.103,0.11203717337495844,0.054,0.05167271614354853
a3est-00377da22b057e78ea6a,task-v2-59fd840ba77c,g-64377640089a831f,S3,13,3.9133899436317554,O0,100000,37,8136348360324872290,0.02,0.6679949127906978,0.677310282573485,-0.009315369782787242,-0.013753474622285197,0.00809,0.007898972446779203,0.00809,0.007898972446779203
a3est-00377da22b057e78ea6a,task-v2-59fd840ba77c,g-64377640089a831f,S3,13,3.9133899436317554,O0,100000,37,8136348360324872290,0.05,0.904697965116279,0.9084241130293941,-0.0037261479131150965,-0.0041017712538356284,0.00809,0.007898972446779203,0.00809,0.007898972446779203
a3est-00377da22b057e78ea6a,task-v2-59fd840ba77c,g-64377640089a831f,S3,13,3.9133899436317554,O0,100000,37,8136348360324872290,0.1,0.9835989825581395,0.9854620565146971,-0.0018630739565576038,-0.0018905587934524581,0.00809,0.007898972446779203,0.00809,0.007898972446779203
a3est-00377da22b057e78ea6a,task-v2-59fd840ba77c,g-64377640089a831f,S3,13,3.9133899436317554,O0,100000,37,8136348360324872290,0.25,1.0481955336286757,1.0490361413123852,-0.0008406076837095267,-0.0008013143214092639,0.00809,0.007898972446779203,0.00809,0.007898972446779203
a3est-00377da22b057e78ea6a,task-v2-59fd840ba77c,g-64377640089a831f,S3,13,3.9133899436317554,O0,100000,37,8136348360324872290,0.5,1.0875299179771287,1.0881578296213954,-0.0006279116442666766,-0.0005770409651742771,0.00809,0.007898972446779203,0.00809,0.007898972446779203
a3est-004182da68eb36daba99,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O3,100000,17,1271085929275508608,0.02,0.08801744186046512,0.08802831367122517,-1.0871810760051948e-05,-0.00012350356728014594,0.10935,0.11013960164138031,0.01722,0.017182600970985423
a3est-004182da68eb36daba99,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O3,100000,17,1271085929275508608,0.05,0.09102093023255814,0.09102527895686216,-4.348724304020779e-06,-4.7774907738340305e-05,0.10935,0.11013960164138031,0.01722,0.017182600970985423
a3est-004182da68eb36daba99,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O3,100000,17,1271085929275508608,0.1,0.09456511627906976,0.09447857281244978,8.654346661997325e-05,0.0009160115785382515,0.10935,0.11013960164138031,0.01722,0.017182600970985423
a3est-004182da68eb36daba99,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O3,100000,17,1271085929275508608,0.25,0.6852260465116278,0.6817022796544265,0.003523766857201238,0.0051690700799585584,0.10935,0.11013960164138031,0.01722,0.017182600970985423
a3est-004182da68eb36daba99,task-v2-8d35df6592f7,g-64377640089a831f,S3,13,3.0682919036174985,O3,100000,17,1271085929275508608,0.5,0.9450545348837209,0.9427507461980376,0.0023037886856833723,0.002443688000220824,0.10935,0.11013960164138031,0.01722,0.017182600970985423
a3est-0046f4bf29042e6d06c3,task-v2-a4fc95665697,g-e23fad4558949e26,S1,7,1.630088714928206,O3,10000,35,2521994393559206769,0.02,0.05813953488372093,0.05813953488372093,0.0,0.0,0.2605,0.2624291746843951,0.0983,0.10118857578809613
a3est-0046f4bf29042e6d06c3,task-v2-a4fc95665697,g-e23fad4558949e26,S1,7,1.630088714928206,O3,10000,35,2521994393559206769,0.05,0.058139534883720936,0.05813953488372093,6.938893903907228e-18,1.1934897514720432e-16,0.2605,0.2624291746843951,0.0983,0.10118857578809613
a3est-0046f4bf29042e6d06c3,task-v2-a4fc95665697,g-e23fad4558949e26,S1,7,1.630088714928206,O3,10000,35,2521994393559206769,0.1,0.05833720930232558,0.05813953488372093,0.0001976744186046528,0.003400000000000028,0.2605,0.2624291746843951,0.0983,0.10118857578809613
