regime,shots_per_evaluation,task_id,graph_id,O0,O3,delta_O3_minus_O0
EXACT_CANONICAL,0,task-v2-00b7b12999ba,g-28cd30a80498cca2,2.1654822938716976,2.8046026781907383,0.6391203843190407
EXACT_CANONICAL,0,task-v2-07632e755d52,g-a529fbde22ed09f4,1.087345865000073,1.033339940466956,-0.05400592453311681
EXACT_CANONICAL,0,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,2.798289701915776,3.4939497551027414,0.6956600531869652
EXACT_CANONICAL,0,task-v2-30409dd5a775,g-686fdbb6f8f550f1,0.7721995990598289,1.7636317253850196,0.9914321263251906
EXACT_CANONICAL,0,task-v2-693f08fcb4be,g-8c950d2bd101a5de,1.610232336328778,1.6254412428884666,0.01520890655968854
EXACT_CANONICAL,0,task-v2-6dd269836f23,g-c45ecbe0242c6377,0.9962048158805032,1.1117392136481852,0.11553439776768193
EXACT_CANONICAL,0,task-v2-8b88de51ba21,g-f0c91af33253395a,2.212550882098493,2.769335425646671,0.556784543548178
EXACT_CANONICAL,0,task-v2-8d35df6592f7,g-64377640089a831f,2.0345594655792265,2.1102354049868115,0.07567593940758499
EXACT_CANONICAL,0,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,2.8364403677777013,3.2066364223099444,0.37019605453224314
EXACT_CANONICAL,0,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,2.5232092116092697,2.716340843018994,0.19313163140972422
SHOT_1000,1000,task-v2-00b7b12999ba,g-28cd30a80498cca2,2.0903834720522543,2.1560429862551125,0.0656595142028582
SHOT_1000,1000,task-v2-07632e755d52,g-a529fbde22ed09f4,1.0208053095742846,0.9553106491628524,-0.06549466041143226
SHOT_1000,1000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,2.2899978496972024,2.376482149221705,0.08648429952450254
SHOT_1000,1000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,-0.1307384505280371,0.8737748787269692,1.0045133292550064
SHOT_1000,1000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,1.6024248847338465,1.5906159037223786,-0.011808981011467878
SHOT_1000,1000,task-v2-6dd269836f23,g-c45ecbe0242c6377,0.993494305431295,0.9937305000180963,0.0002361945868012416
SHOT_1000,1000,task-v2-8b88de51ba21,g-f0c91af33253395a,2.2876267465233195,2.4638144170813523,0.17618767055803275
SHOT_1000,1000,task-v2-8d35df6592f7,g-64377640089a831f,1.959124555265012,1.958249304223529,-0.0008752510414831161
SHOT_1000,1000,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,2.419758858934058,2.366394437578682,-0.05336442135537611
SHOT_1000,1000,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,2.4834925207796985,2.5276254965180245,0.044132975738325975
SHOT_10000,10000,task-v2-00b7b12999ba,g-28cd30a80498cca2,2.088431897789987,2.1070336298707226,0.018601732080735456
SHOT_10000,10000,task-v2-07632e755d52,g-a529fbde22ed09f4,1.0358432067362804,1.033339940466956,-0.002503266269324289
SHOT_10000,10000,task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,2.6802436881494067,2.3638945862934935,-0.31634910185591325
SHOT_10000,10000,task-v2-30409dd5a775,g-686fdbb6f8f550f1,-0.31835668938643735,0.6304276530692519,0.9487843424556892
SHOT_10000,10000,task-v2-693f08fcb4be,g-8c950d2bd101a5de,1.593905646814823,1.5960167633688263,0.0021111165540033117
SHOT_10000,10000,task-v2-6dd269836f23,g-c45ecbe0242c6377,0.9891548006870038,1.1195106267735948,0.13035582608659102
SHOT_10000,10000,task-v2-8b88de51ba21,g-f0c91af33253395a,2.193491654770813,2.629187914365418,0.435696259594605
SHOT_10000,10000,task-v2-8d35df6592f7,g-64377640089a831f,1.9586930218739553,2.0087041604830405,0.050011138609085126
SHOT_10000,10000,task-v2-8ea177161d6a,g-4a80ed839b63ddd7,2.4419508762334767,2.753518721353642,0.3115678451201651
SHOT_10000,10000,task-v2-cb6317a18cf3,g-f6afb3a3727100d3,2.4604398275895023,2.5883373876411584,0.1278975600516561
