depth,n_base_graphs,kappa_median,kappa_q1,kappa_q3,kappa_iqr,kappa_min,kappa_max,fraction_positive,fraction_between_0_and_1,fraction_negative,fraction_at_least_1,number_negative,number_0_to_1,number_at_least_1,max_abs_slope_identity_residual
1,10,0.5417732690726111,0.08020443486300546,0.968596287600181,0.8883918527371756,-0.711908560886203,1.5323489550850222,0.8,0.5,0.2,0.3,2,5,3,3.419486915845482e-14
2,10,0.41246396151511944,0.22806330794324314,0.6187778999828226,0.3907145920395795,-0.6422046708575598,1.997589401146113,0.9,0.7,0.1,0.2,1,7,2,2.1635471192382738e-14
3,10,-0.5399946195590973,-2.0483731749086456,-0.045898165984968126,2.0024750089236774,-2.784564871027426,0.43867334215842746,0.2,0.2,0.8,0.0,8,2,0,1.1501910535116622e-13
