base_graph_id,base_instance_id,size_stratum,depth,n_levels,kappa,R2,min_D,max_D,absolute_feasibility_log_slope,absolute_R2,kappa_minus_one,slope_identity_residual
g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,1,3,-0.45988826654432496,0.9665824299221252,1.630088714928206,2.1072099696478683,-1.4598882665443282,0.9965808831329,-1.459888266544325,-3.3306690738754696e-15
g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,2,3,0.3928152109676791,0.5688057412229544,1.630088714928206,2.1072099696478683,-0.6071847890323212,0.7591395711148761,-0.607184789032321,-2.220446049250313e-16
g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,3,3,-0.3121999096720555,0.3877052050061137,1.630088714928206,2.1072099696478683,-1.312199909672057,0.9179387412063561,-1.3121999096720556,-1.3322676295501878e-15
g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,1,3,-0.711908560886203,0.8516031298371045,1.630088714928206,2.1072099696478683,-1.7119085608862035,0.9707463172331924,-1.711908560886203,-4.440892098500626e-16
g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,2,3,1.997589401146113,0.8525392134418774,1.630088714928206,2.1072099696478683,0.9975894011461145,0.5904794123854762,0.997589401146113,1.4432899320127035e-15
g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,3,3,-2.057801161161531,0.7561841757244325,1.630088714928206,2.1072099696478683,-3.057801161161533,0.8725824855041614,-3.057801161161531,-2.220446049250313e-15
g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,1,4,0.26222229454332685,0.18812161183805098,2.4082399653118496,3.010299956639812,-0.737777705456676,0.6471735048296534,-0.7377777054566732,-2.7755575615628914e-15
g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,2,4,-0.6422046708575598,0.9376574754290472,2.4082399653118496,3.010299956639812,-1.6422046708575684,0.9899344168209285,-1.6422046708575597,-8.659739592076221e-15
g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,3,4,-2.784564871027426,0.8916052226877391,2.4082399653118496,3.010299956639812,-3.784564871027541,0.9382499817131117,-3.784564871027426,-1.1501910535116622e-13
g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,1,4,0.3506681890481569,0.7990333848636384,2.4082399653118496,3.010299956639812,-0.6493318109518418,0.9316598754106538,-0.6493318109518431,1.3322676295501878e-15
g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,2,4,0.6242582566751341,0.20348366856572453,2.4082399653118496,3.010299956639812,-0.3757417433248708,0.08471164452398117,-0.3757417433248659,-4.9404924595819466e-15
g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,3,4,-0.7677893294461392,0.20081577963369868,2.4082399653118496,3.010299956639812,-1.7677893294461418,0.5711968334685495,-1.7677893294461393,-2.4424906541753444e-15
g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,1,7,0.7328783490970655,0.29586216116781927,3.0682919036174985,3.9133899436317554,-0.2671216509029362,0.052868434399411135,-0.2671216509029345,-1.7208456881689926e-15
g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,2,7,0.2045464538322857,0.5645773274840082,3.0682919036174985,3.9133899436317554,-0.7954535461677202,0.9514777950726347,-0.7954535461677144,-5.88418203051333e-15
g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,3,7,-2.0200892161499895,0.565779888728146,3.0682919036174985,3.9133899436317554,-3.020089216150054,0.7443958385195077,-3.0200892161499895,-6.439293542825908e-14
g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,1,7,1.4177933917835313,0.6790201198387882,3.0682919036174985,3.9133899436317554,0.4177933917835352,0.15518920983077578,0.41779339178353125,3.941291737419306e-15
g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,2,7,0.2986138702761154,0.1483416952219926,3.0682919036174985,3.9133899436317554,-0.7013861297238888,0.49003817423434615,-0.7013861297238846,-4.218847493575595e-15
g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,3,7,-2.1669702560457993,0.7369981357969613,3.0682919036174985,3.9133899436317554,-3.166970256045803,0.8568432730490982,-3.1669702560457993,-3.552713678800501e-15
g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,1,7,1.0187909612802029,0.5657950382877132,3.8622374211843744,4.816479930623699,0.018790961280199754,0.0004430979124312451,0.018790961280202856,-3.101685575046531e-15
g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,2,7,0.6023368299058881,0.8889825326766793,3.8622374211843744,4.816479930623699,-0.39766317009411156,0.777294166367267,-0.3976631700941119,3.3306690738754696e-16
g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,3,7,-0.022499829929668546,0.0019013217017125328,3.8622374211843744,4.816479930623699,-1.0224998299297494,0.7973305601284529,-1.0224998299296686,-8.08242361927114e-14
g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,1,7,0.8180122665601153,0.4178889540069647,3.9133899436317554,4.816479930623699,-0.18198773343988767,0.03431279749101013,-0.18198773343988472,-2.942091015256665e-15
g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,2,7,0.43211271206255986,0.37537049470292994,3.9133899436317554,4.816479930623699,-0.5678872879374582,0.5093058859468288,-0.5678872879374401,-1.8096635301390052e-14
g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,3,7,0.37591467491897446,0.7704576424527645,3.9133899436317554,4.816479930623699,-0.624085325081029,0.9024498855260186,-0.6240853250810255,-3.4416913763379853e-15
g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,1,7,1.5323489550850222,0.6781090728590262,4.719569917615643,5.719569917615643,0.5323489550850564,0.2027135061614378,0.5323489550850222,3.419486915845482e-14
g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,2,7,1.0964386189839181,0.8176872438600606,4.719569917615643,5.719569917615643,0.09643861898393978,0.03353435101237234,0.09643861898391815,2.1635471192382738e-14
g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,3,7,-0.11609317415086687,0.07618433957940407,4.719569917615643,5.719569917615643,-1.1160931741509335,0.8840173874685042,-1.1160931741508668,-6.661338147750939e-14
g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,1,7,0.019531814969565003,0.025036943123440625,4.640388671568018,5.719569917615643,-0.9804681850304651,0.9847817387684726,-0.980468185030435,-3.008704396734174e-14
