table,row,metric,value,denominator,unit,source
heldout_graph_contrasts,v2-S4-b003-g-f6afb3a3727100d3,Delta1_CVAR_MEAN,1.062932671552672,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S4-b003-g-f6afb3a3727100d3,Delta2_CVAR_CAPACITY,-0.04882817999846223,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S4-b004-g-2fa0de1665fa7816,Delta1_CVAR_MEAN,0.2760229263702163,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S4-b004-g-2fa0de1665fa7816,Delta2_CVAR_CAPACITY,-0.034887035420517964,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S5-b002-g-4a80ed839b63ddd7,Delta1_CVAR_MEAN,0.6251597187012381,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S5-b002-g-4a80ed839b63ddd7,Delta2_CVAR_CAPACITY,-0.11798929751623666,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S5-b003-g-b9a8415aa1799cc5,Delta1_CVAR_MEAN,0.4593780001767618,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S5-b003-g-b9a8415aa1799cc5,Delta2_CVAR_CAPACITY,0.02633592528512363,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S5-b004-g-ad76642cd3b9f76c,Delta1_CVAR_MEAN,0.7913128338263102,7,decades_G_feas,Phase 2 p3_objective_results.csv
heldout_graph_contrasts,v2-S5-b004-g-ad76642cd3b9f76c,Delta2_CVAR_CAPACITY,0.10593729693873621,7,decades_G_feas,Phase 2 p3_objective_results.csv
