task_id,base_instance_id,size_stratum,dilution_score,p3_view,p2_reference,Delta_G_3_2,Delta_log10_P_feas_3_2,Delta_P_opt_3_2
task-v2-3f11ce371857,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.816479930623699,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.5283899637009333,-0.5283899637009872,-0.0012380127296491
task-v2-095187356858,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.515449934959718,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.9393317866676076,-0.9393317866677178,-0.0019070131780060998
task-v2-0b71cbcaebc2,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.339358675904037,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.27041998166349646,-0.27041998166350645,0.0005361290235194999
task-v2-606c43f06406,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.214419939295737,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.5711664750019987,-0.5711664750020189,-0.0004983832945986
task-v2-9f1427c2fbd8,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,4.038328680240055,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.05105240156760238,-0.05105240156760171,0.00024170941120970008
task-v2-07b8f456a957,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,3.9133899436317554,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.239268744666012,-0.23926874466601422,-0.0001482543263256
task-v2-b5e00db3fe1a,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,3.8622374211843744,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.09727663339230741,-0.09727663339231629,-3.185133136399858e-06
task-v2-59a464f36e13,v2-S4-b001-g-bd62d2d752385cc7,S4,4.816479930623699,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.013391684710806206,0.013391684710827523,4.5200175572700056e-05
task-v2-a2561503b5d0,v2-S4-b001-g-bd62d2d752385cc7,S4,4.515449934959718,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.351954962003165,-0.35195496200318654,0.00018948321821650005
task-v2-f6d986d24578,v2-S4-b001-g-bd62d2d752385cc7,S4,4.339358675904037,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.4300821043164753,-0.43008210431647953,9.724721266470004e-05
task-v2-5d31ef4af595,v2-S4-b001-g-bd62d2d752385cc7,S4,4.214419939295737,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.1895189710172358,-0.18951897101723292,0.0010692655394711
task-v2-5b5a3995de2b,v2-S4-b001-g-bd62d2d752385cc7,S4,4.11750992628768,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.08031658584947965,0.08031658584948076,0.0022252917138554
task-v2-cf1a83d8dbf9,v2-S4-b001-g-bd62d2d752385cc7,S4,4.038328680240055,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.033664609879960006,0.03366460987995756,0.001551195385466
task-v2-e243a3cd3e64,v2-S4-b001-g-bd62d2d752385cc7,S4,3.9133899436317554,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.21463548874154914,-0.21463548874155336,0.0004288716621317001
task-v2-4746dcc3bd93,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.719569917615643,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.5666724710689275,-0.5666724710690092,-0.0012261922504475
task-v2-7d4ec5aed494,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.418539921951662,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.4318889051546999,-0.43188890515471323,-0.001028692237603
task-v2-7133b996bac7,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.24244866289598,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.018556048039154227,0.01855604803915467,6.913945772420008e-05
task-v2-b9b3757d64c0,v2-S5-b000-g-a87f1b9ac089cc45,S5,5.11750992628768,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.06546900797743316,-0.0654690079774305,-0.0002338995362032002
task-v2-11173062a501,v2-S5-b000-g-a87f1b9ac089cc45,S5,4.941418667231999,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.21388611722622075,0.21388611722622386,0.0009372523363298001
task-v2-c95d7e1ff6e7,v2-S5-b000-g-a87f1b9ac089cc45,S5,4.816479930623699,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.5224808437078321,0.5224808437078385,0.0012030528757094
task-v2-f5c9b9bdeb27,v2-S5-b000-g-a87f1b9ac089cc45,S5,4.719569917615643,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,0.5876719369393346,0.587671936939365,0.0010991742372276
task-v2-420d9636beee,v2-S5-b001-g-e0c69f84d376b633,S5,5.719569917615643,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.37261888863057635,-0.37261888863060255,-0.0006070616504175
task-v2-e449b07a1126,v2-S5-b001-g-e0c69f84d376b633,S5,5.418539921951662,P3_RANDOM_ORIGINAL,P2_METRICWISE_MEDIAN,-0.4426524511738963,-0.4426524511738803,-0.0007004630888101
