run_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,arm,optimizer,source_p2_seed,eval_budget,budget_multiplier,reused_from_continuation,initial_parameters,terminal_parameters,best_evaluated_parameters,objective_start,objective_final,terminal_objective,best_evaluated_objective,objective_improvement,best_evaluated_objective_improvement,p_feas_start,p_feas_final,p_feas_best_evaluated,p_opt_start,p_opt_final,p_opt_best_evaluated,p_opt_given_feasible_start,p_opt_given_feasible_final,p_opt_given_feasible_best_evaluated,G_feas_start,G_feas_final,G_feas_best_evaluated,state_norm_start,state_norm_final,state_norm_best_evaluated,expected_routing_component,expected_flow_penalty,expected_resource_penalty,expected_total_penalty,component_sum,component_sum_error,mass_valid_flow_resource_feasible,mass_flow_invalid_resource_feasible,mass_flow_valid_resource_violating,mass_both_flow_and_resource_violating,mass_flow_invalid,mass_resource_violating,mass_category_sum,classification,optimizer_nfev,tracked_optimizer_evaluations,diagnostic_start_evaluations,total_objective_evaluations,optimizer_status,optimizer_message,scipy_success,numerically_valid,runtime_s,peak_memory_mb,execution_status,failure_reason,config_sha256
diag-run-3437e7db3aed102db2be,task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,10,0.001953125,2.709269960975831,P3_NELDER_MEAD_B1,Nelder-Mead,2207,120,1,False,"[2.135855943816076, 6.043253439112003, 0.0, 2.5173232462610784, -0.42044304575646113, 0.0]","[1.4109375958392496, 6.884420607670156, 0.00015778469680361202, 2.4029097322893005, -0.3648293033675807, 0.0013581895642626293]","[1.4109375958392496, 6.884420607670156, 0.00015778469680361202, 2.4029097322893005, -0.3648293033675807, 0.0013581895642626293]",1.564057493309508,1.4619286961896931,1.4619286961896931,1.4619286961896931,0.1021287971198146,0.1021287971198146,0.0134284105747309,0.03306588319715,0.03306588319715,0.008505523714043,0.0208130065312337,0.0208130065312337,0.6333976509512105,0.6294405144764923,0.6294405144764923,0.8372945723434444,1.2286500882736888,1.2286500882736888,1.0000000000000004,0.9999999999999992,0.9999999999999992,0.0676562730777801,1.139661406180518,0.2546110169313952,1.3942724231119132,1.4619286961896931,0.0,0.03306588319715,0.7274299572224756,0.0053908555812544,0.234113303999119,0.9615432612215944,0.2395041595803734,0.9999999999999992,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,0.1230806140229106,128.58203125,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
diag-run-b6535bbfc107d0e0dae2,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,0.0029296875,2.533178701920149,P3_NELDER_MEAD_B1,Nelder-Mead,2207,120,1,False,"[6.289045021028471, 4.266169369375171, 0.0, 2.5852374279898886, 0.1238655085588723, 0.0]","[6.398715948991471, 4.501969080057711, 8.83317351982652e-05, 2.578472750956424, 0.1238575083901369, 0.00017078139658927222]","[6.398715948991471, 4.501969080057711, 8.83317351982652e-05, 2.578472750956424, 0.1238575083901369, 0.00017078139658927222]",1.3145104902933211,1.308759434266542,1.308759434266542,1.308759434266542,0.005751056026779,0.005751056026779,0.0819841059638221,0.0818717219363957,0.0818717219363957,0.0556558061479468,0.0557101433042397,0.0557101433042397,0.6788609266838445,0.6804564749171843,0.6804564749171843,1.446908366971341,1.4463126265421578,1.4463126265421578,1.000000000000001,0.9999999999999996,0.9999999999999996,0.0940605421282789,1.0941750849631315,0.1205238071751317,1.214698892138263,1.3087594342665425,2.220446049250313e-16,0.0818717219363957,0.800487366562035,0.0135734836422039,0.1040674278593648,0.9045547944214,0.1176409115015687,0.9999999999999996,OBJECTIVE_IMPROVES_FEASIBILITY_WORSENS,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,0.1298733670264482,128.5859375,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
diag-run-c189b3c27a0b035bf203,task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,0.0009765625,3.010299956639812,P3_NELDER_MEAD_B1,Nelder-Mead,2207,120,1,False,"[4.784719897843099, 3.929300037215576, 0.0, 2.515327043692428, 0.14820513845737432, 0.0]","[5.989012240170732, 4.2341801818458915, -0.000263074728941891, 2.542144140605541, 0.1206595573625972, -0.00011539613483016846]","[5.989012240170732, 4.2341801818458915, -0.000263074728941891, 2.542144140605541, 0.1206595573625972, -0.00011539613483016846]",1.8763979305029184,1.7310546867528729,1.7310546867528729,1.7310546867528729,0.1453432437500459,0.1453432437500459,0.0155399771465292,0.0287183008433036,0.0287183008433036,0.0155399771465292,0.0287183008433036,0.0287183008433036,1.0,1.0,1.0,1.201750332421082,1.4684586973560658,1.4684586973560658,0.9999999999999988,1.0000000000000009,1.0000000000000009,0.1020514211076791,1.1584494326435406,0.4705538330016531,1.6290032656451938,1.7310546867528729,2.220446049250313e-16,0.0287183008433036,0.5203622393148315,0.0918912795425201,0.3590281802993456,0.8793904196141771,0.4509194598418657,1.0000000000000009,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,0.1208456475287675,128.6796875,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
diag-run-e1c6ada83d38f86d41eb,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D5,13,0.0006103515625,3.2144199392957367,P3_NELDER_MEAD_B1,Nelder-Mead,2207,120,1,False,"[5.633014571174835, 4.166480396683977, 0.0, 2.4485288277994526, 0.12896163233685734, 0.0]","[6.8873724015186735, 4.582072726757943, -0.00057994401310687, 2.471722936987086, 0.11086205170640245, -0.00013571272405575913]","[6.8873724015186735, 4.582072726757943, -0.00057994401310687, 2.471722936987086, 0.11086205170640245, -0.00013571272405575913]",1.5069255612077626,1.352848330330936,1.352848330330936,1.352848330330936,0.1540772308768265,0.1540772308768265,0.0357096089109574,0.0624929545501957,0.0624929545501957,0.0087005428264611,0.0190248396248587,0.0190248396248587,0.2436471048494579,0.3044317517357502,0.3044317517357502,1.767205033152949,2.010250997080663,2.010250997080663,0.9999999999999996,1.0000000000000004,1.0000000000000004,0.0781915732314551,1.0510489640069818,0.2236077930924994,1.2746567570994811,1.3528483303309362,2.220446049250313e-16,0.0624929545501957,0.7226242487810692,0.0143967003189255,0.2004860963498099,0.9231103451308792,0.2148827966687355,1.0000000000000004,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,0.6456863535568118,130.40625,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
diag-run-53f7d4879e96a55b9304,task-v2-4968f3a685c2,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D1,13,0.0001220703125,3.9133899436317554,P3_NELDER_MEAD_B1,Nelder-Mead,1103,120,1,False,"[2.3572979579313866, 5.058713558072617, 0.0, 3.71953118117793, -0.9818183631331936, 0.0]","[5.222154847079129, 6.886533624018863, -0.002796546869978647, 3.983091316052996, -1.1900469763180577, -0.003277722654540311]","[5.222154847079129, 6.886533624018863, -0.002796546869978647, 3.983091316052996, -1.1900469763180577, -0.003277722654540311]",1.5661662043649591,1.3710894561164255,1.3710894561164255,1.3710894561164255,0.1950767482485336,0.1950767482485336,0.000757162743766,3.474218576539608e-05,3.474218576539608e-05,0.000757162743766,3.474218576539608e-05,3.474218576539608e-05,1.0,1.0,1.0,0.7925791799656814,-0.5457529182505834,-0.5457529182505834,0.9999999999999996,1.0000000000000009,1.0000000000000009,0.0347284914680919,1.0900024211684016,0.2463585434799321,1.336360964648334,1.3710894561164255,2.220446049250313e-16,3.474218576539608e-05,0.7591302242169861,0.011349934385403,0.2294850992118461,0.9886153234288322,0.2408350335972492,1.0000000000000009,OBJECTIVE_IMPROVES_FEASIBILITY_WORSENS,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,0.6506065251305699,130.47265625,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
diag-run-e842e66fdf2d1aa9ce75,task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,10,0.0009765625,3.010299956639812,P3_NELDER_MEAD_B1,Nelder-Mead,2207,120,1,False,"[3.3845201324537864, 6.764256654954441, 0.0, 2.4656432901734386, -0.3924608655984018, 0.0]","[1.7191295439150673, 7.102062845086804, 0.001999601549334063, 2.352865047287313, -0.36207476568198604, 0.0001328245514078132]","[1.7191295439150673, 7.102062845086804, 0.001999601549334063, 2.352865047287313, -0.36207476568198604, 0.0001328245514078132]",1.6436858706178623,1.5103289160643711,1.5103289160643711,1.5103289160643711,0.1333569545534914,0.1333569545534914,0.0066963918651979,0.014632268327251,0.014632268327251,0.0066963918651979,0.014632268327251,0.014632268327251,1.0,1.0,1.0,0.8361408167853355,1.1756116132946108,1.1756116132946108,1.0,1.000000000000001,1.000000000000001,0.0640769784136431,1.1532551332875878,0.2929968043631401,1.446251937650728,1.510328916064371,-2.220446049250313e-16,0.014632268327251,0.71148794336023,0.0116638324284372,0.262215955884083,0.973703899244313,0.2738797883125201,1.000000000000001,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,0.1469452194869518,130.47265625,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
diag-run-1cea17ac0fd0081f4f59,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,0.0078125,2.1072099696478683,P3_NELDER_MEAD_B1,Nelder-Mead,3301,120,1,False,"[1.307318752691071, 1.2991391804027617, 0.0, 2.67102286333235, -0.3163059091851462, 0.0]","[1.2034602858391805, 1.249076989892957, 0.00044874341012575685, 2.682554817546627, -0.3384543590164656, -5.607307949002686e-05]","[1.2034602858391805, 1.249076989892957, 0.00044874341012575685, 2.682554817546627, -0.3384543590164656, -5.607307949002686e-05]",1.4079863839740818,1.4013000083866376,1.4013000083866376,1.4013000083866376,0.0066863755874442,0.0066863755874442,0.1002946856020147,0.1027535430714993,0.1027535430714993,0.1002946856020147,0.1027535430714993,0.1027535430714993,1.0,1.0,1.0,1.1084878909547582,1.1190067754745354,1.1190067754745354,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0524485287068868,1.0323831398462402,0.3164683398335105,1.3488514796797508,1.4013000083866376,0.0,0.1027535430714993,0.6173010329494643,0.0823629173398501,0.1975825066391865,0.8148835395886508,0.2799454239790366,1.0000000000000002,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,0.0570839056745171,130.47265625,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
diag-run-7bc8a676851c8d827653,task-v2-095187356858,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D2,16,3.0517578125e-05,4.515449934959718,P3_NELDER_MEAD_B1,Nelder-Mead,1103,120,1,False,"[2.2653518965550097, 5.2307998085259095, 0.0, 3.252486969482005, -0.8185802628619073, 0.0]","[3.1091307890671853, 4.965549575037947, -0.0010970201067053277, 3.1791928466825468, -0.7915895656657035, 0.0005149193063037922]","[3.1091307890671853, 4.965549575037947, -0.0010970201067053277, 3.1791928466825468, -0.7915895656657035, 0.0005149193063037922]",1.6678211694716716,1.6598231371380665,1.6598231371380665,1.6598231371380665,0.007998032333605,0.007998032333605,0.001884664389846,0.0019732300566177,0.0019732300566177,0.0014234701970546,0.0014926175961914,0.0014926175961914,0.7552910771402223,0.7564336409662692,0.7564336409662692,1.7906839597324833,1.8106276570568367,1.8106276570568367,1.0000000000000022,0.9999999999999984,0.9999999999999984,0.0808765222709976,1.109783967174483,0.4691626476925853,1.578946614867068,1.659823137138066,-4.440892098500626e-16,0.0019732300566177,0.539969301017924,0.0050468256694029,0.4530106432560537,0.9929799442739776,0.4580574689254567,0.9999999999999984,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,5.8936198418959975,145.98828125,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
diag-run-fafbf4bebd18bda24f45,task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D6,16,0.0001220703125,3.9133899436317554,P3_NELDER_MEAD_B1,Nelder-Mead,2207,120,1,False,"[5.437078136252932, 4.171705917822636, 0.0, 2.4287773603919556, 0.11332324323113886, 0.0]","[7.091371635628222, 4.494271128681374, -0.00035358353191427606, 2.4257518034182217, 0.09474530735449532, -0.0005291786669083794]","[7.091371635628222, 4.494271128681374, -0.00035358353191427606, 2.4257518034182217, 0.09474530735449532, -0.0005291786669083794]",1.579760419530829,1.3158137547357454,1.3158137547357454,1.3158137547357454,0.2639466647950836,0.2639466647950836,0.0148475636082494,0.0237578353842123,0.0237578353842123,0.0062492155491638,0.009193817956162,0.009193817956162,0.420891650242985,0.3869804553941645,0.3869804553941645,2.0850451381400057,2.289196812452828,2.289196812452828,1.0000000000000022,0.9999999999999986,0.9999999999999986,0.101781612280022,1.0908538125114349,0.1231783299442896,1.2140321424557243,1.3158137547357465,1.1102230246251563e-15,0.0237578353842123,0.8569990754901411,0.0017920224486536,0.1174510666769914,0.9744501421671324,0.1192430891256451,0.9999999999999986,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,5.889779818244278,145.9921875,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
diag-run-9ea57242af0e693cdc11,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D1,16,1.52587890625e-05,4.816479930623699,P3_NELDER_MEAD_B1,Nelder-Mead,1103,120,1,False,"[4.206576848588073, 3.6833823222925894, 0.0, 0.4480349083452544, -1.0714407406078148, 0.0]","[8.046416194123982, 9.783788276393315, -0.007040699578910173, 0.85018281951683, -1.302294250120438, -0.0071388094852829955]","[7.54392772810904, 9.519903626740122, -0.007148124516268722, 0.8586188980607268, -1.29450696068024, -0.006862020318758211]",1.8543460248744967,1.6737438685866262,1.6737438685866262,1.6736285783808524,0.1806021562878705,0.1807174464936443,0.0011415392461981,0.000146858150046,0.0001766345360089,0.0011415392461981,0.000146858150046,0.0001766345360089,1.0,1.0,1.0,1.8739707777809247,0.9833779837761132,1.0635555524684512,1.0000000000000009,0.9999999999999968,0.9999999999999982,0.0504899680804485,1.0932682250011114,0.5299856755050664,1.6232539005061777,1.6737438685866262,0.0,0.000146858150046,0.4782845834160787,0.0045068539489407,0.5170617044849315,0.99534628790101,0.5215685584338724,0.9999999999999972,OBJECTIVE_IMPROVES_FEASIBILITY_WORSENS,120,120,1,121,1,Maximum number of function evaluations has been exceeded.,False,True,5.883231579326093,146.0,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820
