task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,arm,source_p2_seed,depth,eval_budget,state_variant,parameters,objective,p_feas,p_opt,p_opt_given_feasible,G_feas,state_norm,expected_routing_component,expected_flow_penalty,expected_resource_penalty,expected_total_penalty,component_sum,component_sum_error,mass_valid_flow_resource_feasible,mass_flow_invalid_resource_feasible,mass_flow_valid_resource_violating,mass_both_flow_and_resource_violating,mass_flow_invalid,mass_resource_violating,mass_category_sum
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P2_RANDOM_ORIGINAL,1103,2,120,terminal,"[1.477800657813748, 4.34993797619227, 2.440640577618369, 0.14039436331164015]",1.6117171955819425,0.03092824302363936,0.03092824302363936,1.0,0.597565218884431,0.9999999999999998,0.06290191775707235,1.2698547164377183,0.27896056138715164,1.54881527782487,1.6117171955819423,-2.220446049250313e-16,0.03092824302363936,0.7223125113323735,0.03405673394994498,0.212702511694042,0.9350150230264155,0.246759245643987,0.9999999999999999
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P2_RANDOM_ORIGINAL,2207,2,120,terminal,"[3.879273207878719, 6.298057187376657, 2.550077674081783, -0.3874335713792828]",1.6710622921516056,0.07358051621199466,0.07358051621199466,1.0,0.973972799993131,0.9999999999999997,0.065370437903121,1.1165541023648347,0.48913775188364994,1.6056918542484846,1.6710622921516056,0.0,0.07358051621199466,0.46413109905820243,0.057049217283631166,0.4052391674461713,0.8693702665043739,0.46228838472980244,0.9999999999999996
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P2_RANDOM_ORIGINAL,3301,2,120,terminal,"[2.7723638353221602, 3.568660695598161, 3.0688492111878953, -0.4992284504091515]",1.5859170053675018,0.09553165645776852,0.09553165645776852,1.0,1.087357277847213,1.0,0.06610396022941985,1.0167552362267427,0.5030578089113391,1.5198130451380818,1.5859170053675016,-2.220446049250313e-16,0.09553165645776852,0.42076296516674244,0.11948460389280777,0.36422077448268125,0.7849837396494237,0.48370537837548916,1.0
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P3_CONTINUATION_B1,1103,3,120,terminal,"[1.481008805893397, 4.329444237852024, -0.00026446230901212424, 2.4410662664973093, 0.1407904296964016, -0.000880761713396926]",1.61169639078071,0.030480658223724817,0.030480658223724817,1.0,0.5912343109192681,0.9999999999999998,0.06287254633348974,1.2694348815210958,0.2793889629261243,1.5488238444472202,1.61169639078071,0.0,0.030480658223724817,0.7223868815665919,0.034358072218046,0.21277438799163714,0.935161269558229,0.24713246020968319,0.9999999999999999
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P3_CONTINUATION_B1,2207,3,120,terminal,"[4.825705627687259, 6.524096310251698, -0.04687518099554512, 2.561766993276884, -0.35549925316791986, 0.07533360324009399]",1.563286069125227,0.09203103145390436,0.09203103145390436,1.0,1.0711442591331763,0.9999999999999998,0.06581145261104443,1.0398693188219739,0.4576052976922089,1.4974746165141828,1.5632860691252273,2.220446049250313e-16,0.09203103145390436,0.47032103257306057,0.10383133205014146,0.33381660392289325,0.8041376364959538,0.43764793597303475,0.9999999999999997
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P3_CONTINUATION_B1,3301,3,120,terminal,"[2.680905561166849, 3.5056763867596046, 0.5259695758720643, 3.0544283694540417, -0.4101686224880786, -0.11569698587035417]",1.5648622119105828,0.09948489000829024,0.09948489000829024,1.0,1.1049670937671032,1.0000000000000004,0.06580210750845698,1.0072352906796747,0.4918248137224512,1.499060104402126,1.5648622119105828,0.0,0.09948489000829024,0.4280664692158118,0.1227006400265539,0.34974800074934426,0.7778144699651561,0.47244864077589815,1.0000000000000002
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P3_CONTINUATION_B2,3301,3,240,terminal,"[2.660851691179496, 3.4913362719296943, 0.5237116484485305, 3.0571436018557976, -0.40379786288929637, -0.12345250117005166]",1.5646028647599681,0.09972304599357135,0.09972304599357135,1.0,1.1060055050030368,1.0,0.06589869488446828,1.0062696697227642,0.4924345001527356,1.4987041698755,1.564602864759968,-2.220446049250313e-16,0.09972304599357135,0.4272393573076174,0.12332118110834653,0.3497164155904646,0.7769557728980824,0.4730375966988112,1.0
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P3_CONTINUATION_B4,3301,3,480,terminal,"[2.6539600730348463, 3.4890182067641926, 0.5043527735992739, 3.057639105422904, -0.39660051546770897, -0.1299528944021622]",1.5645354958323137,0.09980263353054344,0.09980263353054344,1.0,1.1063519709822618,1.0,0.06595300031046136,1.005578110979371,0.49300438454248097,1.498582495521852,1.5645354958323134,-2.220446049250313e-16,0.09980263353054344,0.4266103986126583,0.12367189774992608,0.34991507010687223,0.7765254687195307,0.4735869678567983,1.0
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P3_NELDER_MEAD_B1,3301,3,120,terminal,"[2.6050507142231183, 3.774025847744505, -5.365784041156032e-06, 3.055860464142247, -0.49506278208006077, 0.0009653086017559344]",1.5848599878719805,0.09300208548169979,0.09300208548169979,1.0,1.0757026569441623,1.0000000000000002,0.06579927274953665,1.0160751027755277,0.5029856123469163,1.519060715122444,1.5848599878719807,2.220446049250313e-16,0.09300208548169979,0.4230220680823199,0.12140990987087825,0.3625659365651023,0.7855880046474223,0.4839758464359806,1.0000000000000002
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,0.0078125,2.1072099696478683,P3_RANDOM_ORIGINAL,1103,3,120,terminal,"[1.4301522428476536, 5.4665092560399104, 3.5140789898446387, 0.7873635908747999, 3.4359087218109883, 1.6873507252307582]",1.6109772782424756,0.015591067525095923,0.015591067525095923,1.0,0.3000858221289474,1.0,0.042365338480600964,1.3111402214869663,0.2574717182749082,1.5686119397618745,1.6109772782424754,-2.220446049250313e-16,0.015591067525095923,0.7452822380143245,0.008683771128182905,0.2304429233323967,0.9757251613467214,0.23912669446057958,0.9999999999999999
