task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,in_phase1_pilot,max_feasible_energy,min_infeasible_energy,feasible_infeasible_energy_gap,complete_energy_separation
task-v2-8b88de51ba21,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D1,13,0.0001220703125,3.9133899436317554,False,0.040697674418604654,1.0588235294117647,1.01812585499316,True
task-v2-df7a823d7a2b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D2,13,0.000244140625,3.612359947967774,False,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-0ae6410749b4,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D3,13,0.0003662109375,3.436268688912093,False,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-f12c027474e2,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D4,13,0.00048828125,3.311329952303793,False,0.11046511627906977,1.0523329532781327,0.941867836999063,True
task-v2-356d367a6a2c,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D5,13,0.0006103515625,3.2144199392957367,False,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-747868754e4a,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D6,13,0.000732421875,3.135238693248112,False,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-ba2b70f61e3b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D7,13,0.0008544921875,3.0682919036174985,False,0.11046511627906977,1.0588235294117647,0.948358413132695,True
task-v2-59fd840ba77c,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D1,13,0.0001220703125,3.9133899436317554,False,0.0872093023255814,1.0625,0.9752906976744186,True
task-v2-87f0030ee4db,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D2,13,0.000244140625,3.612359947967774,False,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-835da0eb601e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D3,13,0.0003662109375,3.436268688912093,False,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-404bfd76cc2e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D4,13,0.00048828125,3.311329952303793,False,0.10465116279069768,1.0625,0.9578488372093024,True
task-v2-e1d0a1367c62,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D5,13,0.0006103515625,3.2144199392957367,False,0.10465116279069768,1.0625,0.9578488372093024,True
