slice_point_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,representative_role,dilution_score,source_p2_seed,gamma3_index,beta3_index,gamma3,beta3,objective,p_feas,p_opt,G_feas,state_norm,embedded_point,original_p3_projected_gamma3,original_p3_projected_beta3
task-v2-e442db508705-g00-b00,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,0,-3.141592653589793,-1.5707963267948966,2.5983661372033566,0.0055425259104649,0.0055425259104649,-0.1490822983002684,1.0,False,2.346828868940657,1.965486106410776
task-v2-e442db508705-g00-b01,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,1,-3.141592653589793,-1.4922565104551515,2.581771608868612,0.0077203178838075,0.0077203178838075,-0.0051548475887715,1.0,False,2.346828868940657,1.965486106410776
task-v2-e442db508705-g00-b02,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,2,-3.141592653589793,-1.413716694115407,2.5565871996178005,0.0097704856107719,0.0097704856107719,0.097126119122783,1.0000000000000009,False,2.346828868940657,1.965486106410776
task-v2-e442db508705-g00-b03,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,3,-3.141592653589793,-1.335176877775662,2.526551968252376,0.0111959516126447,0.0111959516126447,0.1562709824853304,0.9999999999999996,False,2.346828868940657,1.965486106410776
task-v2-e442db508705-g00-b04,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,4,-3.141592653589793,-1.2566370614359172,2.496044747526871,0.0114657199478418,0.0114657199478418,0.1666112994995473,0.9999999999999996,False,2.346828868940657,1.965486106410776
task-v2-e442db508705-g00-b05,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,5,-3.141592653589793,-1.1780972450961724,2.4669582288461167,0.0102894544052206,0.0102894544052206,0.119602316705346,1.0,False,2.346828868940657,1.965486106410776
task-v2-e442db508705-g00-b06,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,6,-3.141592653589793,-1.0995574287564276,2.4367227248812497,0.0079222174747572,0.0079222174747572,0.0060567298053442,0.9999999999999992,False,2.346828868940657,1.965486106410776
task-v2-e442db508705-g00-b07,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,7,-3.141592653589793,-1.0210176124166828,2.399310502385859,0.0052424340369378,0.0052424340369378,-0.1732570557019438,0.9999999999999998,False,2.346828868940657,1.965486106410776
task-v2-e442db508705-g00-b08,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,8,-3.141592653589793,-0.942477796076938,2.349079495988792,0.0034342967166052,0.0034342967166052,-0.3569522157015373,1.0000000000000004,False,2.346828868940657,1.965486106410776
task-v2-e442db508705-g00-b09,task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,most_diluted,2.1072099696478683,3301,0,9,-3.141592653589793,-0.8639379797371931,2.285023970344573,0.0034372015467954,0.0034372015467954,-0.3565850317922177,0.9999999999999998,False,2.346828868940657,1.965486106410776
