task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,state_space_size,budget,edge_resource_min,edge_resource_max,edge_resource_mean,feasible_state_fraction,dilution_score,routing_cost_min,routing_cost_max,routing_cost_mean,routing_cost_p95,flow_penalty_min,flow_penalty_max,flow_penalty_mean,flow_penalty_p95,minimum_positive_flow_penalty,resource_excess_max,resource_penalty_max,resource_penalty_mean,resource_penalty_p95,minimum_positive_resource_penalty,weighted_flow_penalty_p95,weighted_resource_penalty_p95,weighted_total_penalty_p95,total_energy_min,total_energy_max,total_energy_mean,total_energy_p95,total_energy_dynamic_range,energy_span,resource_penalty_raw_to_cost_ratio,flow_penalty_raw_to_cost_ratio,resource_penalty_to_cost_ratio,flow_penalty_to_cost_ratio,total_penalty_to_cost_ratio,flow_penalty_strength,resource_penalty_strength,gamma_initial_min,gamma_initial_median,gamma_initial_max,initial_phase_span_min,initial_phase_span_median,initial_phase_span_max,initial_phase_wraps_at_median_gamma,n_penalty_ground_states,penalty_ground_state_valid,penalty_ground_state_resource_feasible,penalty_ground_state_original_optimal,penalty_ground_state_cost,penalty_ground_state_cost_max,exact_rcsp_cost,ground_state_gap_to_exact
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,7,128,1302.0,209.0,940.0,501.42857142857144,0.015625,1.806179973983887,0.0,49.0,24.5,40.0,0.0,10.0,4.0,8.0,2.0,2208.0,4875264.0,673404.625,2885682.3999999985,196.0,400.0,57713647.99999998,57713782.99999998,15.0,97505629.0,13468317.0,57713821.84999997,97505614.0,97505614.0,72142.05999999997,0.2,1442841.1999999995,10.0,1442844.5749999995,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,140028975.82590717,314899588.95778584,455996086.1975233,50117826.16023764,1,True,True,True,15.0,15.0,15.0,0.0
task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,7,128,2077.0,209.0,940.0,501.42857142857144,0.0234375,1.630088714928206,0.0,49.0,24.5,40.0,0.0,10.0,4.0,8.0,2.0,1433.0,2053489.0,128739.796875,853477.3999999993,2209.0,400.0,17069547.999999985,17069682.999999985,15.0,41070129.0,2575020.4375,17069721.849999987,41070114.0,41070114.0,21336.934999999983,0.2,426738.6999999996,10.0,426742.0749999996,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,58981280.81602821,132638127.04209428,192069056.08210528,21110013.561200097,1,True,True,True,15.0,15.0,15.0,0.0
task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,7,128,1021.0,99.0,798.0,475.7142857142857,0.0078125,2.1072099696478683,0.0,28.0,14.0,23.0,0.0,12.0,4.0,8.0,2.0,2309.0,5331481.0,873552.5625,3297725.349999997,961.0,400.0,65954506.99999994,65954706.99999994,17.0,106629848.0,17471265.25,65954732.59999994,106629831.0,106629831.0,143379.36304347814,0.34782608695652173,2867587.2608695626,17.391304347826086,2867595.9565217365,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,153132372.74132302,344366735.15576416,498666524.04140896,54807668.13645744,1,True,True,True,17.0,17.0,17.0,0.0
task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,7,128,1392.0,99.0,798.0,475.7142857142857,0.015625,1.806179973983887,0.0,28.0,14.0,23.0,0.0,12.0,4.0,8.0,2.0,1938.0,3755844.0,447626.8203125,2088376.6499999976,484.0,400.0,41767532.999999955,41767732.999999955,12.0,75117108.0,8952750.40625,41767758.59999995,75117096.0,75117096.0,90798.98478260859,0.34782608695652173,1815979.695652172,17.391304347826086,1815988.3913043458,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,107876557.95794843,242594674.12925106,351293637.12866455,38610141.55543785,1,True,True,True,12.0,12.0,12.0,0.0
task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,7,128,2021.0,99.0,798.0,475.7142857142857,0.0234375,1.630088714928206,0.0,28.0,14.0,23.0,0.0,12.0,4.0,8.0,2.0,1309.0,1713481.0,100110.3046875,667025.3499999987,2704.0,400.0,13340506.999999974,13340706.999999974,10.0,34269848.0,2002420.09375,13340732.599999974,34269838.0,34269838.0,29001.102173912986,0.34782608695652173,580022.0434782597,17.391304347826086,580030.7391304336,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,49215323.30292033,110676272.44365549,160266792.46000296,17614675.842393093,1,True,True,True,10.0,10.0,10.0,0.0
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,1024,1727.0,164.0,874.0,597.2,0.0009765625,3.010299956639812,0.0,54.0,27.0,42.0,0.0,12.0,6.0,10.0,2.0,4245.0,18020025.0,2555052.837890625,8584900.0,64.0,500.0,171698000.0,171698555.0,23.0,360400954.0,51101383.7578125,171698598.6,360400931.0,360400931.0,204402.38095238095,0.23809523809523808,4088047.619047619,11.904761904761905,4088060.8333333335,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,517576077.76956755,1163934058.52409,1685455916.3941438,185245858.84712034,1,True,True,True,23.0,23.0,23.0,0.0
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,10,1024,1902.0,164.0,874.0,597.2,0.001953125,2.709269960975831,0.0,54.0,27.0,42.0,0.0,12.0,6.0,10.0,2.0,4070.0,16564900.0,2124188.4453125,7590025.0,64.0,500.0,151800500.0,151801055.0,9.0,331298454.0,42484095.90625,151801098.6,331298445.0,331298445.0,180714.88095238095,0.23809523809523808,3614297.619047619,11.904761904761905,3614310.8333333335,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,475781650.3372373,1069946025.3935083,1549354832.874807,170287198.78290343,1,True,True,True,9.0,9.0,9.0,0.0
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,10,1024,1979.0,164.0,874.0,597.2,0.0029296875,2.533178701920149,0.0,54.0,27.0,42.0,0.0,12.0,6.0,10.0,2.0,3993.0,15944049.0,1951361.0068359375,7171684.0,36.0,500.0,143433680.0,143434235.0,9.0,318881434.0,39027547.13671875,143434278.6,318881425.0,318881425.0,170754.38095238095,0.23809523809523808,3415087.619047619,11.904761904761905,3415100.8333333335,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,457949419.7396247,1029844596.0124205,1491285227.5468884,163904858.07185274,1,True,True,True,9.0,9.0,9.0,0.0
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,10,1024,2940.0,164.0,874.0,597.2,0.00390625,2.4082399653118496,0.0,54.0,27.0,42.0,0.0,12.0,6.0,10.0,2.0,3032.0,9193024.0,541652.7216796875,2948089.0,1.0,500.0,58961780.0,58962335.0,9.0,183860934.0,10833381.43359375,58962378.6,183860925.0,183860925.0,70192.59523809524,0.23809523809523808,1403851.9047619049,11.904761904761905,1403865.119047619,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,264044868.45397362,593788678.7513413,859846513.0905833,94504403.37528145,1,True,True,True,9.0,9.0,9.0,0.0
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,10,1024,1327.0,105.0,849.0,495.0,0.0009765625,3.010299956639812,0.0,51.0,25.5,41.0,0.0,18.0,6.5,14.0,2.0,3623.0,13126129.0,2060343.8017578125,6715427.399999988,169.0,700.0,134308547.99999976,134309002.99999976,13.0,262523131.0,41207226.53515625,134309033.74999976,262523118.0,262523118.0,163790.91219512167,0.34146341463414637,3275818.243902433,17.073170731707318,3275829.341463409,50.0,20.0,1.4361119332668082,3.2295534178963874,4.6766136583430296,377012582.5182104,847832433.0137166,1227719199.2695987,134936722.62776124,1,True,True,True,13.0,13.0,13.0,0.0
