task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,current_energy_span,current_total_energy_p95,current_resource_penalty_to_cost_ratio,current_flow_penalty_to_cost_ratio,current_ground_state_original_optimal,controlled_flow_scale,controlled_resource_scale,controlled_flow_penalty_strength,controlled_resource_penalty_strength,controlled_flow_classification_unchanged,controlled_resource_classification_unchanged,controlled_flow_penalty_max,controlled_resource_penalty_max,controlled_flow_penalty_p95,controlled_resource_penalty_p95,controlled_total_energy_min,controlled_total_energy_max,controlled_total_energy_mean,controlled_total_energy_p95,controlled_energy_span,controlled_resource_penalty_to_cost_ratio,controlled_flow_penalty_to_cost_ratio,controlled_total_penalty_to_cost_ratio,controlled_initial_phase_span_min,controlled_initial_phase_span_median,controlled_initial_phase_span_max,controlled_n_ground_states,controlled_ground_state_valid,controlled_ground_state_resource_feasible,controlled_ground_state_original_optimal,controlled_ground_state_cost,controlled_ground_state_gap_to_exact
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,7,0.015625,1.806179973983887,97505614.0,57713821.84999997,1442841.1999999995,10.0,True,10.0,3510.0,172.0,172.0,True,True,2.0,1.3957162685367814,1.8,1.2342255663509223,15.0,569.662223520913,391.6076018964944,538.0282329526545,554.662223520913,5.307169935308966,7.74,12.473512656147271,796.5570381306849,1791.3112797499746,2593.940930284816,1,True,True,True,15.0,0.0
task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,7,0.0234375,1.630088714928206,41070114.0,17069721.849999987,426738.6999999996,10.0,True,10.0,3510.0,172.0,172.0,True,True,2.0,1.1666779490426213,1.8,1.0692752006883062,15.0,555.2432551683834,319.50357673131714,508.088151394875,540.2432551683834,4.597883362959716,7.74,11.820601767436951,775.8497856142207,1744.7444512245227,2526.50898594816,1,True,True,True,15.0,0.0
task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,7,0.0078125,2.1072099696478683,106629831.0,65954732.59999994,2867587.2608695626,17.391304347826086,True,12.0,3330.0,172.0,172.0,True,True,2.0,1.4807943980016052,1.6666666666666665,1.2973897636375111,17.0,526.8142293644996,392.6017628101074,502.55917816916013,509.8142293644996,9.702219101984866,12.463768115942027,21.02116342743056,732.1502985395796,1646.4722869363325,2384.204188263645,1,True,True,True,17.0,0.0
task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,7,0.015625,1.806179973983887,75117096.0,41767758.59999995,1815979.695652172,17.391304347826086,True,12.0,3330.0,172.0,172.0,True,True,2.0,1.338703027351676,1.6666666666666665,1.1883303709114517,12.0,508.712766820875,355.088975853669,485.75432221410597,496.712766820875,8.88664451290303,12.463768115942027,20.319730963238992,713.3351318374321,1604.1604137991283,2322.9337095878604,1,True,True,True,12.0,0.0
task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,7,0.0234375,1.630088714928206,34269838.0,13340732.599999974,580022.0434782597,17.391304347826086,True,12.0,3330.0,172.0,172.0,True,True,2.0,1.1545221798374952,1.6666666666666665,1.060152526400274,10.0,500.5076150023898,293.2611449202581,459.40688508328145,490.5076150023898,7.928097153949876,12.463768115942027,19.123734372837383,704.4238392631732,1584.1205445351732,2293.9146118414405,1,True,True,True,10.0,0.0
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,0.0009765625,3.010299956639812,360400931.0,171698598.6,4088047.619047619,11.904761904761905,True,12.0,5972.0,172.0,172.0,True,True,2.0,1.5052610160207336,1.8333333333333335,1.2407108367738888,23.0,604.1195838823343,449.66986989686205,558.8837977316783,581.1195838823343,5.081006283931164,7.507936507936509,12.494189265198207,834.5527690684622,1876.756738333719,2717.671783114742,1,True,True,True,23.0,0.0
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,10,0.001953125,2.709269960975831,331298445.0,151801098.6,3614297.619047619,11.904761904761905,True,12.0,5972.0,172.0,172.0,True,True,2.0,1.4644609651918823,1.8333333333333335,1.2128156727375665,9.0,597.8463564880509,441.20913438116577,555.9273047609092,588.8463564880509,4.966768945496701,7.507936507936509,12.39390723313267,845.6492794131709,1901.7107632118193,2753.8069134175475,1,True,True,True,9.0,0.0
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,10,0.0029296875,2.533178701920149,318881425.0,143434278.6,3415087.619047619,11.904761904761905,True,12.0,5972.0,172.0,172.0,True,True,2.0,1.44705300892892,1.8333333333333335,1.201085866663317,9.0,595.223812038228,437.6881421772604,555.0315422406595,586.223812038228,4.9187325968116795,7.507936507936509,12.358597533482978,841.8830120332575,1893.2411158203083,2741.542286223894,1,True,True,True,9.0,0.0
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,10,0.00390625,2.4082399653118496,183860925.0,58962378.6,1403851.9047619049,11.904761904761905,True,12.0,5972.0,172.0,172.0,True,True,2.0,1.2577619424247741,1.8333333333333335,1.0826610642027161,9.0,573.2177030428672,376.1317514201518,540.37908463243,564.2177030428672,4.433754834353981,7.507936507936509,11.884273792944384,810.27977630025,1822.171211299741,2638.6282163292044,1,True,True,True,9.0,0.0
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,10,0.0009765625,3.010299956639812,262523118.0,134309033.74999976,3275818.243902433,17.073170731707318,True,18.0,4950.0,172.0,172.0,True,True,2.0,1.535705703499643,1.7777777777777777,1.2740711111111107,13.0,613.6102809101112,428.1014334919587,536.7050641852871,600.6102809101112,5.344883685636855,7.457994579945799,12.198199885029153,862.5435916577405,1939.702985536959,2808.82224304547,1,True,True,True,13.0,0.0
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,10,0.001953125,2.709269960975831,233791758.0,113995529.74999979,2780366.926829263,17.073170731707318,True,18.0,4950.0,172.0,172.0,True,True,2.0,1.4770762575247423,1.7777777777777777,1.2326192102846645,13.0,605.072594714825,416.90333637670903,531.1199928170594,592.072594714825,5.170987906560055,7.457994579945799,12.078817731789437,850.2825186302027,1912.1300719040455,2768.8947831739474,1,True,True,True,13.0,0.0
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,0.0029296875,2.533178701920149,133541658.0,48200869.749999866,1175619.1219512161,17.073170731707318,True,18.0,4950.0,172.0,172.0,True,True,2.0,1.2725050913172127,1.7777777777777777,1.0983580940720332,13.0,577.3824896235078,356.10490673320965,512.2492170594837,564.3824896235078,4.607746150741212,7.457994579945799,11.665570252114641,810.5164282751501,1822.703398364472,2639.3988595029396,2,True,True,True,13.0,0.0
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D4,10,0.00390625,2.4082399653118496,97682538.0,27774485.7499999,677414.634146339,17.073170731707318,True,18.0,4950.0,172.0,172.0,True,True,2.0,1.1993306805428017,1.7777777777777777,1.056675849403122,13.0,569.4171329456178,326.88289348711226,505.61377634935184,556.4171329456178,4.432884051154561,7.457994579945799,11.330377636926045,799.0772844973059,1796.9788534806287,2602.147963669546,2,True,True,True,13.0,0.0
task-v2-ff6e67bbbcba,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D1,10,0.0009765625,3.010299956639812,415143148.0,198564328.54999983,6205122.374999995,18.75,True,16.0,6490.0,172.0,172.0,True,True,2.0,1.4928083266658911,1.75,1.2357115913779881,12.0,590.97262095769,418.8775436267364,517.2461273002675,578.97262095769,6.6419498036566855,9.40625,15.248327266851216,831.469489992099,1869.8230068823373,2707.6312669773947,1,True,True,True,12.0,0.0
task-v2-a9de39f81405,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D2,10,0.001953125,2.709269960975831,401766908.0,189347184.54999983,5917086.624999995,18.75,True,16.0,6490.0,172.0,172.0,True,True,2.0,1.4769296369191907,1.75,1.2247700883901034,12.0,589.0573818200812,414.7088957387625,515.6072628555012,577.0573818200812,6.583139225096805,9.40625,15.195342905836524,828.7189922115195,1863.637639779384,2698.6744334674604,1,True,True,True,12.0,0.0
task-v2-b0f919379fb8,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D3,10,0.0029296875,2.533178701920149,268791548.0,102234288.54999988,3194808.6249999963,18.75,True,16.0,6490.0,172.0,172.0,True,True,2.0,1.3190770202349946,1.75,1.12135996353285,12.0,570.903633467157,372.062315035421,501.08393735295016,558.903633467157,6.027309803989069,9.40625,14.830701796766864,802.6481775683624,1805.0091397385665,2613.7763659700527,1,True,True,True,12.0,0.0
task-v2-d80673ba7cf0,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D4,10,0.00390625,2.4082399653118496,247245548.0,89118888.5499999,2784952.3749999967,18.75,True,16.0,6490.0,172.0,172.0,True,True,2.0,1.2935001578818663,1.75,1.1057909121773215,12.0,568.1582553697641,360.02900200223587,499.0789329108905,556.1582553697641,5.943626152953103,9.40625,14.803546753806376,798.7055073213671,1796.1427945207136,2600.937293262469,1,True,True,True,12.0,0.0
task-v2-30409dd5a775,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D1,10,0.0009765625,3.010299956639812,225120928.0,153236982.35,3737475.1219512196,12.195121951219512,True,16.0,3627.0,172.0,172.0,True,True,2.0,1.8556377516328422,1.625,1.5824210465743058,25.0,662.3465751267054,469.70985581341506,570.376053959638,637.3465751267054,6.6384492685556244,6.817073170731708,13.06992157694798,915.3010221661918,2058.344810085008,2980.623698335702,1,True,True,True,25.0,0.0
task-v2-eed472030dc4,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D2,10,0.001953125,2.709269960975831,166349561.0,105524682.35,2573760.487804878,12.195121951219512,True,16.0,3627.0,172.0,172.0,True,True,2.0,1.6322595544293028,1.625,1.4010761886105412,12.0,626.7336673399402,442.93216889195367,544.8306870727,614.7336673399402,5.8776854741710505,6.817073170731708,12.425659449967402,882.8263554477564,1985.3152164536848,2874.8718649252646,1,True,True,True,12.0,0.0
task-v2-4507b50770a7,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D3,10,0.0029296875,2.533178701920149,95922441.0,51392682.35,1253467.8048780488,12.195121951219512,True,16.0,3627.0,172.0,172.0,True,True,2.0,1.3645802333067203,1.625,1.195331341866735,12.0,584.8305112401406,388.06316760914126,516.1762825206807,572.8305112401406,5.014560751245815,6.817073170731708,11.705215544335339,822.6487329312924,1849.986735450931,2678.906992781262,1,True,True,True,12.0,0.0
task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D4,10,0.00390625,2.4082399653118496,62375561.0,27801322.35,678068.7804878049,12.195121951219512,True,16.0,3627.0,172.0,172.0,True,True,2.0,1.2370752882772946,1.625,1.105665326428954,12.0,565.4275848226193,346.9399964953783,502.5411113832483,553.4275848226193,4.638400881604392,6.817073170731708,11.41965633754694,794.7839587627923,1787.323948122033,2588.167002085257,1,True,True,True,12.0,0.0
task-v2-de1e481a2b9a,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D1,10,0.0009765625,3.010299956639812,171229962.0,97819566.59999998,2173757.5777777773,11.11111111111111,True,12.0,3784.0,172.0,172.0,True,True,2.0,1.597924553812872,1.8333333333333335,1.3415791642735184,16.0,643.0383552758024,463.0276683167313,574.5737417115126,627.0383552758024,5.127813694556559,7.007407407407408,11.889856350680875,900.4972646275722,2025.0538634330967,2932.4161365877662,1,True,True,True,16.0,0.0
task-v2-df25fe0d6e36,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D2,10,0.001953125,2.709269960975831,145908462.0,78928116.59999998,1753947.5777777773,11.11111111111111,True,12.0,3784.0,172.0,172.0,True,True,2.0,1.5095031963893817,1.8333333333333335,1.2756112061076121,16.0,629.3488372093024,447.12614105124896,563.2524423009162,613.3488372093024,4.875669498900207,7.007407407407408,11.691494953054152,880.8375843716001,1980.8428335720773,2868.395549421839,1,True,True,True,16.0,0.0
task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,10,0.0029296875,2.533178701920149,83886522.0,35567610.59999999,790380.7777777774,11.11111111111111,True,12.0,3784.0,172.0,172.0,True,True,2.0,1.2929258165012136,1.8333333333333335,1.124198580509232,16.0,596.5058740149914,389.9782506974642,544.536491967775,580.5058740149914,4.296936796613065,7.007407407407408,11.290843939749855,833.6714130044074,1874.774729534045,2714.8016991668665,1,True,True,True,16.0,0.0
