optimizer,objective,nested_failure_count,nested_comparison_count,nested_failure_rate,median_signed_nested_regret,median_graph_G_feas,mean_graph_G_feas,graph_G_feas_ci_lower,graph_G_feas_ci_upper,certified_pass_pair_count,certified_pass_graph_count,pass_subset_O3_minus_O0_G_mean,pass_subset_O3_minus_O0_G_ci_lower,pass_subset_O3_minus_O0_G_ci_upper
COBYLA,O0,28,168,0.1666666666666666,-0.1869167759958276,0.9625620759567156,1.179078393215163,0.7691320666953494,1.6271502016027637,113,10,0.7808886051189466,0.5770338129283938,0.9971418468722334
COBYLA,O3,38,168,0.2261904761904762,-0.0495380979223907,1.997200108341174,1.926852103871979,1.4559406667166872,2.4114603226032445,113,10,0.7808886051189466,0.5770338129283938,0.9971418468722334
Nelder-Mead,O0,54,168,0.3214285714285714,-0.0783413039546273,0.8855097600450765,1.0896775359621127,0.6031812411855672,1.6117577323221737,72,10,0.9270550736410956,0.5795605270974085,1.247256495905117
Nelder-Mead,O3,61,168,0.3630952380952381,-0.0648611231789154,2.017244696579126,1.9426569509153695,1.4596986049418623,2.4454641845756537,72,10,0.9270550736410956,0.5795605270974085,1.247256495905117
SLSQP,O0,46,168,0.2738095238095238,-0.0617496313530389,1.0000666723367448,1.150025980357949,0.779462623611939,1.5504070482920882,70,10,0.9938102623964606,0.6095820265030532,1.345822350684194
SLSQP,O3,72,168,0.4285714285714285,-0.0368036974591212,2.024973584028067,1.9755756580498551,1.519126244226458,2.4568694223467054,70,10,0.9938102623964606,0.6095820265030532,1.345822350684194
