split,task_id,graph_id,size_stratum,m,alpha,seed_count,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,fully_feasible_tail_fraction,median_nfev,median_wall_time_s
discovery,task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,S4,16,0.02,3,0.6223947289044861,2.0108536176268794,0.008844805556990517,0.002735361040297819,0.30926186253307947,1.8600782335112707,0.4422402778495259,0.3333333333333333,120.0,5.499117827042937
discovery,task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,S4,16,0.05,3,0.8913261327971181,1.9817318171877378,0.009679445701559077,0.0029354479810182804,0.3032661240659127,1.8992404315551474,0.19358891403118153,0.0,120.0,5.4785762364044785
discovery,task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,S4,16,0.1,3,1.0195951862311092,1.9846388343411325,0.009760802767026192,0.0028358538936384334,0.30524693758446686,1.9028754808632713,0.09760802767026189,0.0,120.0,5.315996318124235
discovery,task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,S4,16,0.25,3,1.0910178176042307,1.8699837413156795,0.00961494142374703,0.0027468787224416676,0.2996001509521573,1.8963365864006456,0.03845976569498813,0.0,120.0,5.415777824819088
discovery,task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,S4,16,0.5,3,1.214226898936297,1.8825919454459834,0.006405580446637048,0.0018535266666169612,0.29427335046403325,1.719948433426705,0.012811160893274097,0.0,120.0,5.338183374144137
discovery,task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,S4,16,1.0,3,1.8591840861953592,1.859184086195301,0.004375866482838611,0.0014731507352522923,0.33665846494679436,1.554454005894274,0.004375866482838611,0.0,120.0,5.430262767709792
discovery,task-v2-095187356858,g-3ff7063ef9ea5cfb,S4,16,0.02,3,0.5423639751773182,1.8394291213001228,0.01076133856452437,0.0067147823438442646,0.625150578324471,2.547316229991784,0.5380669282262185,0.0,120.0,5.673311072401702
discovery,task-v2-095187356858,g-3ff7063ef9ea5cfb,S4,16,0.05,3,0.8903879142764762,1.7873253946883798,0.00912618956188227,0.005776253748314863,0.6329315985765602,2.475739420306336,0.18252379123764542,0.0,120.0,5.478092398494482
discovery,task-v2-095187356858,g-3ff7063ef9ea5cfb,S4,16,0.1,3,0.9817002978459329,1.7192354299426709,0.009846829592489567,0.006485084345996781,0.6522279945814607,2.5087463571198922,0.09846829592489567,0.0,120.0,5.395352382212877
discovery,task-v2-095187356858,g-3ff7063ef9ea5cfb,S4,16,0.25,3,1.0634365032463569,1.6298008146307092,0.0091141767914313,0.006186143541439073,0.701502261745757,2.4751673834763253,0.0364567071657252,0.0,120.0,5.325241157785058
discovery,task-v2-095187356858,g-3ff7063ef9ea5cfb,S4,16,0.5,3,1.134286029902562,1.6453127430506036,0.005264081273957706,0.0038937793465592028,0.709775397922944,2.2367725208389593,0.01052816254791541,0.0,120.0,5.411348212510347
discovery,task-v2-095187356858,g-3ff7063ef9ea5cfb,S4,16,1.0,3,1.6244979503325763,1.6244979503325694,0.007114932271388394,0.005204583254310092,0.7457449743066988,2.3676207052546117,0.007114932271388394,0.0,120.0,5.360584534704685
discovery,task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,S4,16,0.02,3,0.2815719511000346,1.7746738066975276,0.01587173621625722,0.006845515991930983,0.4313022783808117,2.5399831129233212,0.7935868108128611,0.3333333333333333,120.0,5.591573248617351
discovery,task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,S4,16,0.05,3,0.82806969476538,1.7350836823281504,0.011345119390975664,0.0053206092744755564,0.42426900817401625,2.394167746470438,0.22690238781951327,0.0,120.0,5.551464984193444
discovery,task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,S4,16,0.1,3,0.9411010986575252,1.7125278828875319,0.012408937728053475,0.005202984544992487,0.4177633261817189,2.433093281045745,0.12408937728053474,0.0,120.0,5.500714240595698
discovery,task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,S4,16,0.25,3,1.0530285128796557,1.65114377400052,0.014823806802779903,0.005538544922488503,0.40726018000280206,2.5103184221343757,0.059295227211119614,0.0,120.0,5.274006426334381
discovery,task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,S4,16,0.5,3,1.1222969069752047,1.5878874769973992,0.008522448328047345,0.0027583783076640424,0.36201275796332577,2.269923052667748,0.017044896656094682,0.0,120.0,5.400430405512452
discovery,task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,S4,16,1.0,3,1.6062613121005291,1.6062613121005258,0.005272133823660241,0.0015136763020208238,0.28710885433669364,2.0613451014163107,0.005272133823660241,0.0,120.0,5.260821669362485
discovery,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,S3,13,0.02,3,0.05000137017488053,1.6300246923273152,0.05791905887715903,0.016998821649602737,0.29349271171093555,1.9772414357207166,1.0,1.0,120.0,0.6307505471631885
discovery,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,S3,13,0.05,3,0.06957073645362984,1.5698334109039056,0.06330721815154637,0.019083814748603826,0.2977803639821384,2.0158731694500207,1.0,0.6666666666666666,120.0,0.6581077929586172
discovery,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,S3,13,0.1,3,0.3690456964022451,1.5409512171913657,0.07078901884677141,0.020495002429924754,0.288249325457518,2.064385832237865,0.7078901884677141,0.0,120.0,0.6407971484586596
discovery,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,S3,13,0.25,3,0.8586773999897132,1.5208928592095075,0.06350854474778213,0.016980129913070525,0.2673676428975884,2.0172521006059188,0.2540341789911285,0.0,120.0,0.673518581315875
discovery,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,S3,13,0.5,3,1.0155529638111458,1.4452641659352374,0.06647319495331075,0.017397111390776397,0.2617161910601067,2.0370664924078765,0.1329463899066215,0.0,120.0,0.6590031459927559
discovery,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,S3,13,1.0,3,1.4956925039945406,1.49569250399456,0.03863194194667104,0.010143598666230779,0.262570250292708,1.801366479061723,0.03863194194667104,0.0,120.0,0.6685032472014427
discovery,task-v2-11173062a501,g-a87f1b9ac089cc45,S5,19,0.02,3,0.5684038133201895,1.7440788272733323,0.009953856977747208,0.003066449098990861,0.3114027900376622,2.9394100635132787,0.4976928488873605,0.0,120.0,129.48971988633275
discovery,task-v2-11173062a501,g-a87f1b9ac089cc45,S5,19,0.05,3,0.90264550783946,1.793309920981089,0.009185979968462559,0.0028388197998974866,0.3128368217056031,2.9045441612645178,0.1837195993692512,0.0,120.0,128.83184242248535
discovery,task-v2-11173062a501,g-a87f1b9ac089cc45,S5,19,0.1,3,1.0088163080588366,1.7863298382567345,0.00935029012640092,0.0030072008668112506,0.32161578155957943,2.912243753862821,0.09350290126400918,0.0,120.0,130.59175646211952
discovery,task-v2-11173062a501,g-a87f1b9ac089cc45,S5,19,0.25,3,1.0683581020591055,1.5910102392467291,0.013479140739875646,0.004520178923409879,0.35094834417976933,3.0710808751713117,0.05391656295950259,0.0,120.0,129.68332483246922
discovery,task-v2-11173062a501,g-a87f1b9ac089cc45,S5,19,0.5,3,1.150330780960437,1.6213821995639885,0.009152657814702455,0.003291573371037957,0.36903747202848625,2.9029658931727353,0.018305315629404906,0.0,120.0,129.80305276997387
discovery,task-v2-11173062a501,g-a87f1b9ac089cc45,S5,19,1.0,3,1.632190884996057,1.632190884996001,0.010826206586307806,0.003806383037889115,0.3387878511176669,2.975894977298837,0.010826206586307806,0.0,120.0,129.557720544748
discovery,task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,S2,10,0.02,3,0.0755813953488372,1.7497229462211208,0.038325863295368516,0.020702115811783803,0.5374266173686865,1.292761907155659,1.0,1.0,83.0,0.19093838892877102
discovery,task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,S2,10,0.05,3,0.09730393349871173,1.683452621773034,0.05686094085434247,0.03131861719110789,0.5507931581950968,1.4640840024798965,1.0,0.6666666666666666,120.0,0.28904403932392597
discovery,task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,S2,10,0.1,3,0.8119038206927381,1.7709918786767396,0.029718112340399457,0.015416311561597817,0.5187513723959023,1.182291181064905,0.29718112340399455,0.0,120.0,0.2974592261016369
discovery,task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,S2,10,0.25,3,0.9730210677070579,1.610712413146567,0.044404721984383895,0.02360620478735286,0.5316147412352815,1.3566991162868605,0.1776188879375356,0.0,120.0,0.2867965716868639
discovery,task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,S2,10,0.5,3,1.1216329451298066,1.5988227493090368,0.025413176276377677,0.013340947787342128,0.5650401149552795,1.1143289098945723,0.05082635255275536,0.0,120.0,0.3010477349162102
discovery,task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,S2,10,1.0,3,1.5958237604708645,1.5958237604708652,0.015258985819162425,0.009083740587607199,0.5953043469114261,0.8927956303890348,0.015258985819162425,0.0,120.0,0.282489744015038
discovery,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,0.02,3,0.07558139534883719,1.5189908433142665,0.03801846716961777,0.030852756054840322,0.6377144899289585,1.1131733048968024,1.0,1.0,54.0,0.10900302231311798
discovery,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,0.05,3,0.0755813953488372,1.4394945924557847,0.06784513499685382,0.05006976296937324,0.7016681045772134,1.3646974128728344,1.0,1.0,52.0,0.11821531970053911
discovery,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,0.1,3,0.18975244289055507,1.3375274936040382,0.0904566379084754,0.06436726759927032,0.6769035525624851,1.489619143776527,0.9045663790847539,0.3333333333333333,120.0,0.33477537985891104
discovery,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,0.25,3,0.9276578449501115,1.5578514142742028,0.058981104011353494,0.035605301895973995,0.6147707606928774,1.3038915993585707,0.235924416045414,0.0,120.0,0.33959135971963406
discovery,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,0.5,3,1.1355170348562174,1.6232316159112217,0.050619037478672836,0.030700882656907513,0.6065086217777772,1.2374925847084977,0.10123807495734567,0.0,120.0,0.3472248036414385
discovery,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,S2,10,1.0,3,1.4826746300279472,1.4826746300279512,0.02991209727281668,0.0184501646931599,0.6767459886387042,1.009025566375046,0.029912097272816678,0.0,120.0,0.3092764485627413
discovery,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,0.02,3,0.6006072354001727,1.8840061960579126,0.009341299784937553,0.009341299784937553,1.0,2.786887240488866,0.46706498924687756,0.0,120.0,6.104232646524906
discovery,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,0.05,3,0.8190867412215844,1.9174025954626313,0.012036137663536247,0.012036137663536247,1.0,2.896967076970925,0.24072275327072493,0.0,120.0,6.147239048033953
discovery,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,0.1,3,0.9599445385043689,1.8916277192297724,0.009333541377818182,0.009333541377818182,1.0,2.7865263877710533,0.09333541377818182,0.0,120.0,5.668705174699426
discovery,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,S4,16,0.25,3,1.0436927694310492,1.8112564705019656,0.005405432405271401,0.005405432405271401,1.0,2.549310371505438,0.021621729621085602,0.0,120.0,5.6175371101126075
