run_id,split,result_label,task_id,graph_id,size_stratum,m,dilution_score,alpha,seed,optimizer,depth,nfev_budget,actual_nfev,scipy_reported_nfev,nit,termination_reason,wall_time_s,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,tail_fully_feasible,alpha1_minus_mean_endpoint_error
a2-cdf3a182f14209f154f6,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5b0627539151,g-a712031e7959d564,S3,13,3.2144199392957367,0.02,1103,COBYLA,3,120,120,120,92,EVALUATION_BUDGET_EXHAUSTED,0.7996515166014433,0.028545591169946635,1.959718905172051,0.03375103841583223,0.013019073807700957,0.3857384666894829,1.742707078576208,1.0,True,-1.9311733140021043
a2-ce04e67aedb7642b580c,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-f0ef0f25a74e,g-8a16a856f5377a40,S3,13,3.135238693248112,0.05,3301,COBYLA,3,120,120,120,97,EVALUATION_BUDGET_EXHAUSTED,0.6260460577905178,0.6264353082997604,1.6761099870745824,0.022833225507439204,0.0045872158930679915,0.20090091483454445,1.4938059591463613,0.45666451014878406,False,-1.0496746787748221
a2-ce2f18a9c3d8db32361e,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5b5a3995de2b,g-bd62d2d752385cc7,S4,16,4.11750992628768,0.1,2207,COBYLA,3,120,120,120,90,EVALUATION_BUDGET_EXHAUSTED,5.468590340577066,0.7940669121205483,1.4081269036953867,0.030784603557023883,0.010229578221250639,0.33229527228771594,2.605843491423057,0.30784603557023893,False,-0.6140599915748385
a2-ce38ca244817f0b40c39,heldout,POST_HOC_SENSITIVITY,task-v2-00b7b12999ba,g-28cd30a80498cca2,S4,16,4.816479930623699,1.0,2207,COBYLA,3,120,120,120,89,EVALUATION_BUDGET_EXHAUSTED,5.269917839206755,1.4620419113834964,1.4620419113834855,0.0028211556491486776,0.0028211556491486776,1.0,2.2669069783889904,0.0028211556491486776,False,1.0880185641326534e-14
a2-ce8618a88a5a14ddd959,heldout,POST_HOC_SENSITIVITY,task-v2-693f08fcb4be,g-8c950d2bd101a5de,S2,10,2.4082399653118496,0.5,2207,COBYLA,3,120,120,120,90,EVALUATION_BUDGET_EXHAUSTED,0.31197115685790777,0.9013549072375382,1.4132854372250752,0.16259052625301157,0.044746771334378,0.2752114306140219,1.6193352020440346,0.32518105250602314,False,-0.511930529987537
a2-cea17489abd6ca9b32b6,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-5f165c277bb9,g-e0c69f84d376b633,S5,19,4.816479930623699,0.05,2207,COBYLA,3,120,120,120,93,EVALUATION_BUDGET_EXHAUSTED,128.64155877847224,0.46070913067917135,1.5713439329666063,0.03043399300366455,0.004939230889049455,0.16229322548818104,3.2998388670663683,0.608679860073291,False,-1.110634802287435
a2-cf17cad70f0c9626c695,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-e442db508705,g-548c8c6335dd2a2e,S1,7,2.1072099696478683,0.02,3301,COBYLA,3,120,28,28,21,EARLY_CONVERGENCE,0.04568061791360378,0.023255813953488372,1.664403890648663,0.07415796929570102,0.07415796929570102,1.0,0.9773677984468443,1.0,True,-1.6411480766951745
a2-cf61bec79f1c02af3113,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-11173062a501,g-a87f1b9ac089cc45,S5,19,4.941418667231999,0.5,2207,COBYLA,3,120,120,120,89,EVALUATION_BUDGET_EXHAUSTED,131.1490784790367,1.150330780960437,1.6213821995639885,0.009152657814702455,0.003291573371037957,0.35963033226813185,2.9029658931727353,0.018305315629404906,False,-0.4710514186035515
a2-cff897b3321823ee7076,heldout,POST_HOC_SENSITIVITY,task-v2-66ecfca58e61,g-b9a8415aa1799cc5,S5,19,4.719569917615643,0.05,2207,COBYLA,3,120,120,120,90,EVALUATION_BUDGET_EXHAUSTED,107.87936191540211,0.8346080829572995,1.3496434340926746,0.01249041096761818,0.002867706609737385,0.22959265449087407,2.8161466456641207,0.24980821935236355,False,-0.5150353511353751
a2-cff89f8d4fc2ce01f3ba,discovery,POST_HOC_DISCOVERY_SENSITIVITY,task-v2-606c43f06406,g-3ff7063ef9ea5cfb,S4,16,4.214419939295737,0.25,2207,COBYLA,3,120,120,120,88,EVALUATION_BUDGET_EXHAUSTED,5.655032465234399,1.027742148639449,1.6364140197048689,0.021373057800707494,0.007567075797832093,0.3540474118580078,2.54428659954934,0.08549223120282999,False,-0.60867187106542
