split,graph_id,alpha,n_tasks,optimized_objective,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction
discovery,g-3ff7063ef9ea5cfb,0.02,7,0.39271521085571415,1.8012695614737442,0.014440096475335886,0.006252947844748417,0.4804491736290058,2.369713016914941,0.6804452852814306
discovery,g-3ff7063ef9ea5cfb,0.05,7,0.8310118101156546,1.8407517761373797,0.011964909714451669,0.005718564294409724,0.4807888327680772,2.2983559992262563,0.23929819428903337
discovery,g-3ff7063ef9ea5cfb,0.1,7,0.9413998748288795,1.7727495833198625,0.013723407037889488,0.006382285234463643,0.49273924984290407,2.349360500236947,0.13723407037889487
discovery,g-3ff7063ef9ea5cfb,0.25,7,1.0539053571680428,1.7006941646844318,0.01312742178861583,0.005665178107362598,0.4977020829378538,2.3186932857956473,0.052509687154463344
discovery,g-3ff7063ef9ea5cfb,0.5,7,1.1571661687113703,1.6881396887956457,0.009180591592945032,0.0038402286705954826,0.4825661598441249,2.1455119606667923,0.018361183185890063
discovery,g-3ff7063ef9ea5cfb,1.0,7,1.6622172584833668,1.6622172584833426,0.007651266947213661,0.003445151906768259,0.4862207315187601,2.0675574600924214,0.007651266947213661
discovery,g-548c8c6335dd2a2e,0.02,3,0.023255813953488372,1.6116373594811269,0.09828721708699367,0.06372094111249216,0.6764261736224251,0.830171861901345,1.0
discovery,g-548c8c6335dd2a2e,0.05,3,0.023255813953488372,1.5774988839526725,0.11182914273793272,0.06692516260537898,0.6631979448255908,0.88178976607206,1.0
discovery,g-548c8c6335dd2a2e,0.1,3,0.023546438254131274,1.4984512803087588,0.16739018239021275,0.09960984083027874,0.6676315747089229,1.041507933706152,1.0
discovery,g-548c8c6335dd2a2e,0.25,3,0.3370561252898943,1.4628166799144802,0.19174441846068047,0.11015280171244561,0.6605824815850266,1.1017760847751192,0.7318813434460166
discovery,g-548c8c6335dd2a2e,0.5,3,0.8281553175688444,1.5116848875253392,0.16684757021876506,0.10089667930958594,0.6542807335417569,1.0541840006624466,0.3336951404375302
discovery,g-548c8c6335dd2a2e,1.0,3,1.4391980134574454,1.439198013457446,0.17955890086545312,0.10348839854373278,0.6554407817030654,1.068784295451467,0.17955890086545312
discovery,g-553bb3c5ba0f2136,0.02,3,0.054263565891472874,1.7920319225875894,0.05696019862463272,0.03869161495754827,0.7300834224581862,0.5827000348623709,1.0
discovery,g-553bb3c5ba0f2136,0.05,3,0.05985735289884325,1.8071611172978022,0.06571782510687972,0.046610003949828976,0.724388060113989,0.6595583220440412,1.0
discovery,g-553bb3c5ba0f2136,0.1,3,0.1765518450288903,1.7429407311294274,0.10045898910506461,0.07341275980078976,0.6691576811332537,0.8377840258269281,0.8953082980115278
discovery,g-553bb3c5ba0f2136,0.25,3,0.579721736019458,1.6529699110876928,0.13561089878740254,0.08005723877951391,0.6278909381637042,0.9608716235118213,0.5424435951496102
