task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,log_feasibility_gain_O0,log_feasibility_gain_O2,log_feasibility_gain_O3,p_feas_O0,p_feas_O2,p_feas_O3,p_opt_O0,p_opt_O2,p_opt_O3,p_opt_given_feasible_O0,p_opt_given_feasible_O2,p_opt_given_feasible_O3,Delta1_CVAR_MEAN,Delta2_CVAR_CAPACITY,O3_popt_win,O3_both_pfeas_popt_win
task-v2-2bbd08239dbd,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D6,4.816479930624,0.000015258789,2.166122920718,3.012925465289,3.006059803769,0.002236881564,0.015719746371,0.015473190525,0.000167316354,0.001508951140,0.001508713502,0.074798932909,0.095990807008,0.097505003856,0.839936883051,-0.006865661520,True,True
task-v2-30409dd5a775,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D1,3.010299956640,0.000976562500,0.772199599060,1.313594254812,1.763631725385,0.005779624753,0.020104547289,0.056667201909,0.005779624753,0.020104547289,0.056667201909,1.000000000000,1.000000000000,1.000000000000,0.991432126325,0.450037470573,True,True
task-v2-356d367a6a2c,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D5,3.214419939296,0.000610351562,2.221629598981,2.282924887805,2.276292521719,0.101673941478,0.117085994345,0.115311489602,0.034508676644,0.033927214799,0.034844031761,0.339405320013,0.289763220516,0.302173112851,0.054662922738,-0.006632366086,True,True
task-v2-36c69f7819b3,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D6,4.038328680240,0.000091552734,2.347648275058,2.554885209674,2.582598016403,0.020385416770,0.032851600242,0.035016225963,0.004567567209,0.006573111639,0.007016417900,0.224060526249,0.200084975784,0.200376188662,0.234949741345,0.027712806729,True,True
task-v2-404bfd76cc2e,g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,D4,3.311329952304,0.000488281250,1.941484588222,2.112637527874,2.119624870947,0.042673143476,0.063285989605,0.064312429887,0.012099376213,0.016795022503,0.017104201396,0.283536089160,0.265382948226,0.265954830600,0.178140282726,0.006987343073,True,True
task-v2-41f38ee1e3c2,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D4,4.214419939296,0.000061035156,2.298733573389,2.636620087581,2.613800953984,0.012142654390,0.026436268144,0.025083088744,0.005231169282,0.010258192068,0.009806285656,0.430809369484,0.388034801755,0.390952077569,0.315067380595,-0.022819133597,True,True
task-v2-41fa72c23442,g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,D3,4.339358675904,0.000045776367,0.917716093223,2.723276147286,2.504242151702,0.000378754165,0.024205690243,0.014617849149,0.000068346561,0.007960242408,0.005461319328,0.180450982590,0.328858310908,0.373606217504,1.586526058478,-0.219033995584,True,True
task-v2-4507b50770a7,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D3,2.533178701920,0.002929687500,1.471774420516,1.579306504807,1.577362240655,0.086815189707,0.111205893253,0.110709155702,0.025969512412,0.035428082094,0.036557381173,0.299135583301,0.318580976760,0.330211001442,0.105587820138,-0.001944264153,True,True
task-v2-45bf90adfb6d,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D4,4.214419939296,0.000061035156,2.299856976867,2.394614243945,2.580308399179,0.012174104843,0.015142385718,0.023221403231,0.002652898192,0.003632309117,0.008233282775,0.217913203965,0.239876937816,0.354555781729,0.280451422313,0.185694155235,True,True
task-v2-51e0b98b7ef5,g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,D3,4.339358675904,0.000045776367,2.486605201748,2.653900740223,2.652340439427,0.014036102332,0.020632034927,0.020558042688,0.006737439418,0.010091041028,0.010166053510,0.480007858172,0.489095770921,0.494504932396,0.165735237679,-0.001560300796,True,True
