base_graph_id,split,size_m,O0,O2,O3,Delta_eta_CVAR_MEAN,Delta_eta_CVAR_CAPACITY,S_H3_closeness_contrast
g-0510569b7dbe24ff,development,18,0.677254813091636,0.6624380591160866,0.8783333574659498,0.20107854437431372,0.2158952983498632,0.20107854437431372
g-0deca2d7d26bc264,extrapolation_holdout,20,0.9443457031719584,0.9355206846825215,2.7951989529747765,1.850853249802818,1.859678268292255,1.850853249802818
g-22d56a3beb2cd856,development,14,1.287460708690462,1.0231103902819543,1.032355780108392,-0.2551049285820699,0.009245389826437744,-0.2551049285820699
g-275f626d73d8e8bd,development,12,0.8377680525848413,0.6509384617407615,0.5141966128505729,-0.3235714397342684,-0.1367418488901886,-0.05008774195389121
g-2fd196f1ec0acd82,development,12,0.7256346325243694,0.654414699534013,0.6161183046154307,-0.10951632790893873,-0.03829639491858228,-0.03292353807177417
g-3115314f81a28bbb,interpolation_holdout,14,0.23304607339821962,0.05683975259081386,0.029825631599237862,-0.20322044179898174,-0.027014120991576,-0.14919219981582976
g-340c0c88fcc14180,interpolation_holdout,16,0.8105547450109457,0.3832033415659927,0.19670692588715752,-0.6138478191237882,-0.18649641567883515,-0.24085498776611788
g-3973175f1911b646,development,18,0.3364103926196555,0.10017260205300348,0.4000754696212357,0.0636650770015802,0.2999028675682322,0.0636650770015802
g-3cf4bd3967c31b19,development,14,1.3419976928740789,0.5771445543397523,0.5758292940886348,-0.7661683987854441,-0.0013152602511175004,-0.7635378782832091
g-3e6704b429f1ca32,extrapolation_holdout,20,0.6664260649386602,0.8219358354912817,0.7906155363229328,0.12418947138427261,-0.031320299168348886,-0.12418947138427261
g-4471e11eca661209,extrapolation_holdout,20,0.39745220915566437,0.7777923766599708,0.6538851127558897,0.2564329036002253,-0.12390726390408113,-0.2564329036002253
g-4baa18b9cb3958b8,development,12,3.3116768964570262,1.3512770287049582,0.9793717378202357,-2.3323051586367907,-0.3719052908847226,-1.5884945768673453
g-5017fd274a1c10ec,development,16,0.032920376543356625,0.43497298884862856,0.6006126842259523,0.5676923076825956,0.1656396953773237,-0.23641291692794825
g-51ac21fe95f0c3f4,interpolation_holdout,12,2.025409863812166,0.8707927489863719,0.5622218517345948,-1.463188012077571,-0.3085708972517771,-0.8460462175740171
g-595b062626366822,development,18,1.3761715729978028,0.87021613138043,1.4819993963802276,0.1058278233824248,0.6117832649997976,0.1058278233824248
g-63a93cc8703f978f,development,12,1.1384100263092058,0.7264106057889504,0.674147035401875,-0.4642629909073308,-0.05226357038707541,-0.35973585013318
g-6561c85f253791c6,development,18,1.4183885312443647,0.6616380043645953,0.7294607569477869,-0.6889277742965778,0.06782275258319159,-0.6889277742965778
g-65a5f4b07fa94104,extrapolation_holdout,20,0.8067125332306423,0.3461878234987078,1.2056094737422154,0.3988969405115731,0.8594216502435076,0.3988969405115731
g-8e75832e853cc6ea,development,14,-0.6151869873331419,-0.14324416052678818,-0.39910420025970655,0.21608278707343537,-0.2558600397329184,-0.21608278707343537
g-b4c9d2e42a3dc98f,interpolation_holdout,18,0.9301319264959327,0.33983642536688385,0.6068812093874203,-0.3232507171085124,0.26704478402053644,-0.3232507171085124
g-b8890b869f8ae8b3,extrapolation_holdout,20,0.259996460342211,1.0609721480423429,0.9653836887865288,0.7053872284443178,-0.09558845925581405,-0.7053872284443178
g-c0fc2d5e7eacaffa,development,16,0.4561143914860578,0.5980269613382737,0.4459163263084322,-0.010198065177625615,-0.1521106350298415,0.010198065177625615
g-cd9098863d67a067,development,16,1.6397791802774506,0.6160477504955194,0.7201426431205779,-0.9196365371568728,0.10409489262505844,-0.9196365371568727
g-e7e26759e1ed20ef,development,16,1.7351246246016212,1.3238378504423534,0.600196886217674,-1.1349277383839471,-0.7236409642246794,0.31235419006541154
g-f9e9faf277cb53e1,development,14,0.30755446083524757,0.24030060758670405,0.24466052863850718,-0.06289393219674039,0.004359921051803134,-0.06289393219674039
