task_id,base_graph_id,base_instance_id,split,size_m,target_n_edges,actual_n_edges,n_nodes,n_edges,state_space_size,n_candidate_routes,n_feasible_routes,route_feasible_fraction,n_feasible_states,feasible_state_fraction,phi_state,dilution_score,D,log10_n_feasible,m_log10_2,log10_phi_reconstructed,identity_error,budget,n_optimal_states,optimal_cost,optimal_state_ids,raw_energy_min,raw_energy_max,raw_energy_span,normalized_energy_min,normalized_energy_max,normalized_energy_span,min_infeasible_energy_raw,max_feasible_energy_raw,penalty_separation_raw,strict_energy_separation,penalty_ground_state_valid,penalty_ground_state_resource_feasible,penalty_ground_state_exact_original_optimal,penalty_contract_pass,route_enumeration_feasible_count,edge_bit_validator_feasible_count,feasible_count_agreement,flow_scale,resource_scale,global_penalty_coefficient,global_normalization_factor,path_redundancy,average_out_degree,maximum_out_degree,bottleneck_score,source_target_hop_min,source_target_hop_max,graph_density
task-p3-16186a45a0ad115e,g-340c0c88fcc14180,phase3-m16-b04-g-340c0c88fcc14180,interpolation_holdout,16,16,16,9,16,65536,9,2,0.2222222222222222,2,3.0517578125e-05,3.0517578125e-05,4.515449934959718,4.515449934959718,0.3010299956639812,4.816479930623699,-4.515449934959718,0.0,1205.0,1,7.0,[32898],7.0,741.8999521456655,734.8999521456655,0.035175879396984924,3.728140463043545,3.6929645836465603,205.86206896551727,22.0,183.86206896551727,True,True,True,True,True,2,2,True,58.0,7523.0,199.0,199.0,1.2857142857142858,1.7777777777777777,4,0.6666666666666666,3,4,0.4444444444444444
task-p3-17005ec889ac3a32,g-63a93cc8703f978f,phase3-m12-b02-g-63a93cc8703f978f,development,12,12,12,8,12,4096,6,6,1.0,6,0.00146484375,0.00146484375,2.8342086975841307,2.8342086975841307,0.7781512503836436,3.612359947967774,-2.8342086975841303,4.440892098500626e-16,2304.0,1,10.0,[2065],10.0,676.3466990012778,666.3466990012778,0.05025125628140704,3.3987271306596876,3.3484758743782805,218.9,21.0,197.9,True,True,True,True,True,6,6,True,20.0,6299.0,199.0,199.0,1.0,1.5,3,0.5,3,4,0.42857142857142855
task-p3-1945829fa0700d95,g-5017fd274a1c10ec,phase3-m16-b02-g-5017fd274a1c10ec,development,16,16,16,10,16,65536,10,1,0.1,1,1.52587890625e-05,1.52587890625e-05,4.816479930623699,4.816479930623699,0.0,4.816479930623699,-4.816479930623699,0.0,838.0,1,30.0,[17444],30.0,777.5122659571681,747.5122659571681,0.1507537688442211,3.907096813855116,3.7563430450108948,210.05555555555557,30.0,180.05555555555557,True,True,True,True,True,1,1,True,36.0,7875.0,199.0,199.0,1.25,1.6,4,0.6,3,4,0.35555555555555557
task-p3-1ae613e86a004496,g-b4c9d2e42a3dc98f,phase3-m18-b04-g-b4c9d2e42a3dc98f,interpolation_holdout,18,18,18,10,18,262144,11,2,0.18181818181818182,2,7.62939453125e-06,7.62939453125e-06,5.11750992628768,5.11750992628768,0.3010299956639812,5.418539921951662,-5.11750992628768,0.0,498.0,1,15.0,[163856],15.0,851.4084444204426,836.4084444204426,0.07537688442211055,4.278434394072576,4.203057509650465,208.04545454545453,19.0,189.04545454545453,True,True,True,True,True,2,2,True,44.0,9518.0,199.0,199.0,1.375,1.8,5,0.45454545454545453,3,4,0.4
task-p3-1bebe0fdf35e1111,g-0510569b7dbe24ff,phase3-m18-b03-g-0510569b7dbe24ff,development,18,18,18,9,18,262144,11,4,0.36363636363636365,4,1.52587890625e-05,1.52587890625e-05,4.816479930623699,4.816479930623699,0.6020599913279624,5.418539921951662,-4.816479930623699,0.0,1133.0,1,8.0,[65544],8.0,837.3933367865393,829.3933367865393,0.04020100502512563,4.2080067175202975,4.167805712495172,205.21875,19.0,186.21875,True,True,True,True,True,4,4,True,64.0,9332.0,199.0,199.0,1.5714285714285714,2.0,5,0.45454545454545453,2,3,0.5
task-p3-1d61a986ecef93ed,g-275f626d73d8e8bd,phase3-m12-b01-g-275f626d73d8e8bd,development,12,12,12,9,12,4096,6,6,1.0,6,0.00146484375,0.00146484375,2.8342086975841307,2.8342086975841307,0.7781512503836436,3.612359947967774,-2.8342086975841303,4.440892098500626e-16,1717.0,1,8.0,[1092],8.0,662.6382651931765,654.6382651931765,0.04020100502512563,3.329840528608927,3.2896395235838014,221.11111111111111,30.0,191.11111111111111,True,True,True,True,True,6,6,True,18.0,4439.0,199.0,199.0,0.8571428571428571,1.3333333333333333,3,0.6666666666666666,3,4,0.3333333333333333
task-p3-1e07ffd5b6000802,g-3973175f1911b646,phase3-m18-b01-g-3973175f1911b646,development,18,18,18,10,18,262144,12,1,0.08333333333333333,1,3.814697265625e-06,3.814697265625e-06,5.418539921951662,5.418539921951662,0.0,5.418539921951662,-5.418539921951662,0.0,656.0,1,10.0,[139272],10.0,774.166245142758,764.166245142758,0.05025125628140704,3.890282638908332,3.840031382626925,204.47963850895727,10.0,194.47963850895727,True,True,True,True,True,1,1,True,38.0,10333.0,199.0,199.0,1.5,1.8,4,0.5,3,4,0.4
task-p3-21819aeed84e13a7,g-0deca2d7d26bc264,phase3-m20-b02-g-0deca2d7d26bc264,extrapolation_holdout,20,20,20,12,20,1048576,16,16,1.0,16,1.52587890625e-05,1.52587890625e-05,4.816479930623699,4.816479930623699,1.2041199826559248,6.020599913279624,-4.816479930623699,0.0,2897.0,1,16.0,[328721],16.0,707.1803587821485,691.1803587821485,0.08040201005025126,3.553670144633912,3.4732681345836607,205.63333333333335,29.0,176.63333333333335,True,True,True,True,True,16,16,True,60.0,9430.0,199.0,199.0,1.6,1.6666666666666667,3,0.625,4,5,0.30303030303030304
task-p3-27a1403f5392965d,g-275f626d73d8e8bd,phase3-m12-b01-g-275f626d73d8e8bd,development,12,12,12,9,12,4096,6,4,0.6666666666666666,4,0.0009765625,0.0009765625,3.010299956639812,3.010299956639812,0.6020599913279624,3.612359947967774,-3.0102999566398116,4.440892098500626e-16,1622.0,1,8.0,[1092],8.0,666.7685456980363,658.7685456980363,0.04020100502512563,3.350595707025308,3.310394702000182,216.0911444013848,30.0,186.0911444013848,True,True,True,True,True,4,4,True,18.0,4439.0,199.0,199.0,0.8571428571428571,1.3333333333333333,3,0.6666666666666666,3,4,0.3333333333333333
task-p3-27e50356448d5877,g-7b29ecdabf11c2a7,phase3-m22-b03-g-7b29ecdabf11c2a7,extrapolation_holdout,22,22,22,10,22,4194304,14,2,0.14285714285714285,2,4.76837158203125e-07,4.76837158203125e-07,6.321629908943605,6.321629908943605,0.3010299956639812,6.622659904607587,-6.321629908943605,0.0,1110.0,2,12.0,"[262160, 2097216]",12.0,862.0138873298628,850.0138873298628,0.06030150753768844,4.331728077034486,4.271426569496798,202.9019607843137,12.0,190.9019607843137,True,True,True,True,True,2,2,True,102.0,12124.0,199.0,199.0,1.75,2.2,7,0.2857142857142857,2,3,0.4888888888888889
