size_m,task_id,state_space_size,available_ram_mb,statevector_memory_mb,energy_array_memory_mb,context_build_time_s,single_cost_layer_time_s,single_x_mixer_layer_time_s,single_p3_forward_time_s,predicted_memory_per_worker_mb,predicted_objective_evaluation_s,predicted_full_optimization_s,memory_guard_pass,time_guard_pass,numerical_statevector_pass,resource_guard_pass,resource_censored,safe_worker_count,peak_process_memory_mb
12,task-p3-49c4d5dae6a8f92a,4096,663204.9921875,0.0625,0.03125,0.011876544915139675,0.00011090375483036041,0.00029118359088897705,0.0012251818552613258,0.5078125,0.0015314773190766573,0.36755455657839775,True,True,True,True,False,8,153.3359375
14,task-p3-aa18c0fe25b7a1f8,16384,663204.9921875,0.25,0.125,0.01803905889391899,0.0008093630895018578,0.001300000585615635,0.006262006238102913,2.03125,0.007827507797628641,1.8786018714308739,True,True,True,True,False,8,182.53125
16,task-p3-534079cbcb6aa71c,65536,663204.9921875,1.0,0.5,0.043983737006783485,0.0031638657674193382,0.007607524283230305,0.032063151709735394,8.125,0.04007893963716924,9.618945512920618,True,True,True,True,False,8,219.91796875
18,task-p3-e5b1288aa9c9bfcf,262144,663204.9921875,4.0,2.0,0.1109467763453722,0.013381852768361568,0.03577385097742081,0.1308490727096796,32.5,0.1635613408870995,39.25472181290388,True,True,True,True,False,8,295.19921875
20,task-p3-dd5fb5e56bb32b7a,1048576,663204.9921875,16.0,8.0,0.43316088803112507,0.05648778099566698,0.3378630243241787,1.1428988929837942,130.0,1.4286236162297428,342.86966789513826,True,True,True,True,False,8,451.38671875
22,task-p3-a0a59bb625d2f414,4194304,663204.9921875,64.0,32.0,1.8490258678793907,0.17514515202492476,2.347272291779518,7.497603204101324,520.0,9.372004005126655,2249.280961230397,True,False,True,False,True,8,1041.91015625
