base_graph_id,split,size_m,objective,n_levels,eta,eta_se,kappa,eta_kappa_identity_error,intercept,R2,RMSE,D_min,D_max,P_feas_min,P_feas_max,optimizer_adequacy_flag,resource_censored
g-0510569b7dbe24ff,development,18,O0,6,0.677254813091636,0.1969204362748787,0.322745186908363,9.43689570931383e-16,1.3997376049049732,0.7472882117065973,0.13460607281934298,4.377147236793436,5.418539921951662,0.0057904352658047,0.0367845637975661,False,False
g-0510569b7dbe24ff,development,18,O2,6,0.6624380591160866,0.10579543971180626,0.33756194088391483,1.3877787807814457e-15,1.7428037495320887,0.9074210627888619,0.07231706841195183,4.377147236793436,5.418539921951662,0.0118856840322446,0.0699613130939486,False,False
g-0510569b7dbe24ff,development,18,O3,6,0.8783333574659498,0.19775395550629785,0.1216666425340506,3.608224830031759e-16,2.7929940543980205,0.8314180591371211,0.1351758295824456,4.377147236793436,5.418539921951662,0.0082878755853653,0.0701283113427797,False,False
g-0deca2d7d26bc264,extrapolation_holdout,20,O0,6,0.9443457031719584,0.4296763515721848,0.05565429682804239,8.187894806610529e-16,1.9406731248466058,0.5470171156310428,0.34454867083291457,4.816479930623699,6.020599913279624,5.63170408339073e-05,0.0018109214113527,False,False
g-0deca2d7d26bc264,extrapolation_holdout,20,O2,6,0.9355206846825215,0.3074871954885454,0.06447931531747836,1.6653345369377348e-16,2.5297499558136565,0.6982640986512831,0.24656768778656057,4.816479930623699,6.020599913279624,0.0003570056234893,0.0088799563883445,False,False
g-0deca2d7d26bc264,extrapolation_holdout,20,O3,6,2.7951989529747765,0.8103014199163321,-1.7951989529747767,2.220446049250313e-16,11.971190455176522,0.7484212949587148,0.6497641217270774,4.816479930623699,6.020599913279624,2.015790284458222e-06,0.0072671198318309,False,False
g-22d56a3beb2cd856,development,14,O0,6,1.287460708690462,0.16248155049288912,-0.2874607086904626,6.661338147750939e-16,2.9746768081370525,0.9401068246900203,0.09404739029805312,3.311329952303793,4.214419939295737,0.0042366501291,0.0692609935042555,False,False
g-22d56a3beb2cd856,development,14,O2,6,1.0231103902819543,0.10138320096647767,-0.023110390281955134,8.604228440844963e-16,2.2507039303454786,0.962206653042805,0.05868251159615544,3.311329952303793,4.214419939295737,0.0097499478134514,0.0814585003267382,False,False
g-22d56a3beb2cd856,development,14,O3,6,1.032355780108392,0.09883559343547578,-0.03235578010839305,1.033895191682177e-15,2.280882802794547,0.9646336406173073,0.057207908239235356,3.311329952303793,4.214419939295737,0.0095405817463462,0.0805085403143013,False,False
g-275f626d73d8e8bd,development,12,O0,6,0.8377680525848413,0.7254747711975568,0.1622319474151584,2.7755575615628914e-16,1.007795070802173,0.2500277291620078,0.3811763407219154,2.8342086975841307,3.612359947967774,0.0046527509082008,0.0689968664952419,False,False
