task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,capacity_gap_mean,capacity_gap_penalty,capacity_gap_cvar,capacity_gap_p_feas_mean,capacity_gap_p_feas_penalty,capacity_gap_p_feas_cvar,capacity_gap_p_opt_mean,capacity_gap_p_opt_penalty,capacity_gap_p_opt_cvar,penalty_gap_closure_fraction,cvar_gap_closure_fraction,O2_base_kappa,tag_OBJECTIVE_LIMITED,tag_CAPACITY_LIMITED,tag_PENALTY_SURROGATE_SUCCESS,tag_CVAR_PARTIAL_ALIGNMENT,mechanistic_tags
task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D6,3.9133899436317554,0.0001220703125,0.2331623180255451,0.2434661395273281,0.026394401127233458,0.0186285006643476,0.0192430993798742,0.002644105705171901,0.0068592669920163,0.0071426918683024,0.0008115434997697998,-0.04419162405416691,0.8867981698297334,0.07030518097922192,True,False,False,False,OBJECTIVE_LIMITED
task-v2-095187356858,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D2,4.515449934959718,3.0517578125e-05,0.04247215729468001,0.06942810169089597,-0.24946542113503511,0.0005193952379781994,0.0008236453885174999,-0.004326673285724,-0.0003040371215382999,-7.657929875239979e-05,-0.0031041964020941,-0.6346733039527618,6.873622557107141,0.07030518097922192,False,False,False,False,NONE
task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D3,4.339358675904037,4.57763671875e-05,0.9395790295320439,0.8713415939242259,-0.1689226734020184,0.015203418858853998,0.0148675368492907,-0.008166974862618203,0.0073698534199329,0.007352457407006701,-0.004086497935017299,0.07262554129353385,1.1797854870027804,0.07030518097922192,True,False,False,False,OBJECTIVE_LIMITED
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D5,3.2144199392957367,0.0006103515625,0.1316116355182677,0.13284276076691537,0.014920867467437482,0.024335974958193007,0.024530589318181,0.003143798449101509,0.0062113593355646,0.006108254398401899,0.0010117417749688981,-0.009354228019427487,0.8866295718560046,-0.10168452836737932,True,True,False,False,OBJECTIVE_LIMITED;CAPACITY_LIMITED
task-v2-11173062a501,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,D5,4.941418667231999,1.1444091796875e-05,0.3001499138669881,0.2681790785420417,-0.14330479504692883,0.009563033975415799,0.0088295159349923,-0.007492122296049401,0.0032916671311262,0.0031519885194714005,-0.0019501116005758,0.10651622355325514,1.4774440652028125,1.042148760780945,True,False,False,False,OBJECTIVE_LIMITED
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,2.709269960975831,0.001953125,-0.06188455636066359,-0.08309335765761672,-0.12234086691898471,-0.008095836914936795,-0.011146667297537993,-0.017200728611780597,-0.0096613150401491,-0.011648215888430801,-0.009710323854898801,,,0.10518404367317832,False,False,False,False,NONE
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,2.533178701920149,0.0029296875,0.0847317289042846,0.06481067651866912,-0.013648670305111299,0.017715512854256807,0.013855719207491499,-0.0031909315598177973,0.0102382576321782,0.0075492028716607,-0.003429813613761906,0.23510735167600408,1.1610809844388899,0.10518404367317832,False,False,False,False,NONE
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D1,4.816479930623699,1.52587890625e-05,0.3047711344188091,0.2961251953641937,-0.14054648349105703,0.004655422853238499,0.0045634061204668,-0.003527624579755301,0.004655422853238499,0.0045634061204668,-0.003527624579755301,0.02836862838438753,1.4611541829874264,0.07030518097922192,True,False,False,False,OBJECTIVE_LIMITED
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,3.010299956639812,0.0009765625,0.24242178451852792,0.2565688141480138,0.043761743484319826,0.0213510772493493,0.0222665058547319,0.004784458354153101,0.0213510772493493,0.0222665058547319,0.004784458354153101,-0.05835708889604618,0.8194809778698944,0.1130294833144868,True,False,False,False,OBJECTIVE_LIMITED
task-v2-420d9636beee,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,D1,5.719569917615643,1.9073486328125e-06,0.39434090259898325,0.32915308816387245,0.08057933582658272,0.0040563349852615,0.0036122752670248,0.0011512539106278002,0.0040563349852615,0.0036122752670248,0.0011512539106278002,0.16530827516363977,0.7956607207228356,0.28567612216689037,True,False,False,False,OBJECTIVE_LIMITED
