task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,minimum_infeasible_total_penalty,maximum_total_penalty,maximum_feasible_total_penalty,penalty_feasibility_classification_match,basis_penalty_contract_pass,max_feasible_energy,min_infeasible_energy,strict_energy_class_separation,random_state_seed,random_state_p_feas,random_state_expected_total_penalty,random_state_lower_bound_margin,random_state_upper_bound_margin,random_state_penalty_bound_pass,random_state_cvar_tail_fully_feasible,random_state_cvar_tail_feasible_mass,random_state_cvar_tail_condition_pass
task-v2-e442db508705,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D1,7,2.1072099696478683,1.0005521886440019,3.1983421541144734,0.0,True,True,0.023255813953488372,1.0943374875644152,True,12019084365233140316,0.013484450321568043,2.2127122255671985,1.2261966758887666,1.7333499731465292,True,False,0.013484450321568043,True
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,1.806179973983887,1.0081477389134113,3.1779637636810687,0.0,True,True,0.10465116279069768,1.0895430877506205,True,15173298243251601889,0.011204683918396248,2.1908463023593368,1.202050986277733,1.7643349619670783,True,False,0.011204683918396248,True
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,1.630088714928206,1.2,3.109953711593916,0.0,True,True,0.10465116279069768,1.2,True,6153768934413412926,0.017897508749092256,2.0314781319177357,1.049375640666828,1.8969318330858953,True,False,0.017897508749092256,True
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,2.1072099696478683,1.0183299111400947,3.165600021687184,0.0,True,True,0.06976744186046512,1.0648415390470716,True,5639617324942295050,0.010772545171035682,2.329157246238335,1.3399297914093706,1.6277525730775224,True,False,0.010772545171035682,True
task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,1.806179973983887,1.0382797731568998,3.0381721701935094,0.0,True,True,0.06976744186046512,1.1487448894359695,True,3596714684006412063,0.004877558699359473,2.134915723529952,1.1397932822293113,1.8455740416726103,True,False,0.004877558699359474,True
task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,7,1.630088714928206,1.2,2.844431164241347,0.0,True,True,0.11046511627906977,1.2,True,8749523969219590686,0.01917892002436397,1.8165950352442135,0.8357739552685775,2.106689284658331,True,False,0.01917892002436397,True
task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,1.0579644142648288,3.4270435682975453,0.0,True,True,0.05232558139534884,1.1626155770555264,True,9043626301236602187,0.027880784579252794,2.4784881241258683,1.506368908705121,1.4099887375571205,True,False,0.027880784579252794,True
task-v2-9065c1a0a08c,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D2,7,1.806179973983887,1.037939633241237,3.1043817864205434,0.0,True,True,0.10465116279069768,1.1309628890551904,True,8345898770851583049,0.008124160597818526,2.075896723161548,1.0840208837593668,1.8916066344471778,True,False,0.008124160597818524,True
task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,7,1.630088714928206,1.2,3.0164610733431636,0.0,True,True,0.10465116279069768,1.2,True,13964147491013604272,0.02971868363027755,1.7255612388834765,0.755279922513754,2.1555640265954135,True,False,0.029718683630277555,True
task-v2-6dd269836f23,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D1,7,2.1072099696478683,1.010695448900577,3.1890143748833206,0.0,True,True,0.10465116279069768,1.0979047512261586,True,17277907331059362220,0.004436918368388168,2.28896915539869,1.2934060737670783,1.693283171127757,True,False,0.004436918368388169,True
task-v2-5e0ea2a0e332,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D2,7,1.806179973983887,1.0487516335094682,3.1097855536886874,0.0,True,True,0.10465116279069768,1.1882865172303985,True,6356630738848501789,0.002624493795463912,2.187611592461189,1.190236086256653,1.8018904323569553,True,False,0.002624493795463913,True
task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,7,1.630088714928206,1.2,3.01221938133619,0.0,True,True,0.13953488372093023,1.2,True,9391996072476060733,0.01767779379139546,1.7091732515307345,0.72685104532213,2.2201155733036835,True,False,0.017677793791395464,True
task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,7,2.1072099696478683,1.0124125025926827,3.0105478451424394,0.0,True,True,0.09883720930232558,1.082179944453148,True,12560469041115772210,0.008723880316614925,2.2189644538165876,1.2276883341332026,1.7461400249169525,True,False,0.008723880316614925,True
task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,7,1.806179973983887,1.035679012345679,2.882050969888808,0.0,True,True,0.09883720930232558,1.0938185472294,True,7006396646438071515,0.022474523760941,2.0585664642256107,1.081040987986552,1.851535440730625,True,False,0.022474523760941008,True
task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,7,1.630088714928206,1.1666666666666667,2.8343465988511034,0.0,True,True,0.09883720930232558,1.1666666666666667,True,13162749541260146767,0.02975332687917461,1.6991387271545264,0.728892054033701,2.181847965328775,True,False,0.029753326879174615,True
