run_id,task_id,objective_id,p_feas,expected_total_penalty,penalty_bound_lower_margin,penalty_bound_upper_margin,penalty_bound_pass
objective-run-113bdcd2c5c9cbcb86b9,task-v2-e442db508705,O0,0.0997230459935713,1.4987041698755,0.5984272158690711,2.102403646150215,True
objective-run-d8208e362f8bb90f4f5f,task-v2-e442db508705,O1,0.0998113019968593,1.5006538596756531,0.600465161672513,2.100100932336909,True
objective-run-a272fbab81febace160d,task-v2-e442db508705,O2,0.1325816093153602,1.643002637658503,0.7755842469738627,1.8266709250800568,True
objective-run-9eb5aefb53de2735269e,task-v2-e442db508705,O3,0.1005090369008199,1.5670230098059783,0.6675320467068011,2.0309408425907387,True
objective-run-e603f25baa3db5bb6b85,task-v2-d7382a83ef13,O0,0.2052811670564627,1.2947583238401537,0.5000394908966157,1.884117007933996,True
objective-run-5c182c6d4821770e3beb,task-v2-d7382a83ef13,O1,0.2093414506181197,1.2946808376587784,0.5040222882769012,1.8679533598687383,True
objective-run-f928b883564756fcd4e4,task-v2-d7382a83ef13,O2,0.1903298490342723,1.3380540364607891,0.528383885495062,1.9006265674021208,True
objective-run-551af2c864e43ba7b576,task-v2-d7382a83ef13,O3,0.1525829334476858,1.4241563539548838,0.576739287402569,1.9655119122543736,True
objective-run-d2817bd597a1ac455436,task-v2-ce7fc44fc7b5,O0,0.2976010907628769,1.184031369591574,0.4816324603544519,1.6255642673569164,True
objective-run-41bff35e473d52fce28c,task-v2-ce7fc44fc7b5,O1,0.2987004009338344,1.184030182800668,0.4827305837345017,1.621168213463995,True
objective-run-9bd3b09abc48bad03b86,task-v2-ce7fc44fc7b5,O2,0.3163074767343345,1.1756096270321104,0.491917103766447,1.5591604660305485,True
objective-run-4f07e3fac302b366bf4a,task-v2-ce7fc44fc7b5,O3,0.2604066546367299,1.2690573900543258,0.5294640446910557,1.6893159913987548,True
objective-run-4129178f237c74e1fc62,task-v2-4e78b3f98433,O0,0.1496859295673072,1.1442860432675372,0.293971972834845,2.256970238463233,True
objective-run-22f60d22f1eb48105a0a,task-v2-4e78b3f98433,O1,0.1031041292277914,1.3487641352984914,0.4518682645262828,2.238819347790342,True
objective-run-fadf304d83d2fa9be9be,task-v2-4e78b3f98433,O2,0.1363480288934495,1.3035147042158477,0.4398627331092978,2.151093180210353,True
objective-run-effa3b2fdabeaabbe5d1,task-v2-4e78b3f98433,O3,0.1002946856020147,1.354870423532699,0.4551651091347134,2.2439508340592424,True
objective-run-1116de6f2c8188c0ba93,task-v2-f83834022ee2,O0,0.1165549475247032,1.4644954338487917,0.5810503813734965,2.0692847760523936,True
objective-run-f1457b300346fb0ba71b,task-v2-f83834022ee2,O1,0.1181396841342912,1.464185415150273,0.5823250992845649,2.0632558483125614,True
objective-run-7fe62abf444dd6adef90,task-v2-f83834022ee2,O2,0.1349668443093703,1.4838822039953252,0.6188490483046958,1.9762504187671928,True
objective-run-d0178203eb2386a96a0e,task-v2-f83834022ee2,O3,0.1229147310215653,1.5216062744320222,0.6445210054535876,1.9867348014817163,True
objective-run-7926d3612b425cf12f59,task-v2-73f419868dc6,O0,0.3029750058558684,1.0322925935322826,0.3352675993881487,1.7558073830442475,True
objective-run-dd382602d6900664bc7d,task-v2-73f419868dc6,O1,0.3054185699298715,1.0297546780125684,0.3351732479424419,1.748571042267942,True
objective-run-00ab1ac79642da8bf0f5,task-v2-73f419868dc6,O2,0.3204012917621744,1.054563607203897,0.3749648989660715,1.663831225747405,True
objective-run-8212d6b055ec10af1469,task-v2-73f419868dc6,O3,0.2692989412267525,1.089702160508166,0.3590011017349199,1.8331020745848217,True
objective-run-059121e2d9c6ad020498,task-v2-3f363bac5736,O0,0.0285626067695536,1.6306848417025277,0.6592474484720849,2.255064731219254,True
