scope,objective_id,objective_name,base_graph_id,base_instance_id,size_stratum,kappa,R2,D_min,D_max,D_range,number_of_levels,number_of_base_graphs,median_kappa,kappa_q1,kappa_q3,kappa_IQR,kappa_min,kappa_max,negative_count,zero_to_one_count,at_least_one_count,spearman_D_vs_P_feas,spearman_D_vs_G_feas,spearman_D_vs_P_opt,spearman_n_P_feas,spearman_n_G_feas,spearman_n_P_opt
base_graph,O2,EXACT_FEASIBILITY_CONTROL,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,0.30764811827476707,0.22908408575881611,1.630088714928206,2.1072099696478683,0.4771212547196624,3,,,,,,,,,,,,,,,,
base_graph,O2,EXACT_FEASIBILITY_CONTROL,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,0.1130294833144868,0.25576367289160074,2.4082399653118496,3.010299956639812,0.6020599913279625,4,,,,,,,,,,,,,,,,
base_graph,O2,EXACT_FEASIBILITY_CONTROL,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,0.10518404367317832,0.09033596340187078,2.4082399653118496,3.010299956639812,0.6020599913279625,4,,,,,,,,,,,,,,,,
base_graph,O2,EXACT_FEASIBILITY_CONTROL,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,-0.10168452836737932,0.2004550538569443,3.0682919036174985,3.9133899436317554,0.8450980400142569,7,,,,,,,,,,,,,,,,
base_graph,O2,EXACT_FEASIBILITY_CONTROL,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,0.13945155544105142,0.25922867816957207,3.0682919036174985,3.9133899436317554,0.8450980400142569,7,,,,,,,,,,,,,,,,
base_graph,O2,EXACT_FEASIBILITY_CONTROL,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,0.07030518097922192,0.01992949022554391,3.8622374211843744,4.816479930623699,0.9542425094393248,7,,,,,,,,,,,,,,,,
base_graph,O2,EXACT_FEASIBILITY_CONTROL,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,0.5641472514923005,0.703542694934257,3.9133899436317554,4.816479930623699,0.9030899869919438,7,,,,,,,,,,,,,,,,
base_graph,O2,EXACT_FEASIBILITY_CONTROL,g-a87f1b9ac089cc45,v2-S5-b000-g-a87f1b9ac089cc45,S5,1.042148760780945,0.8779812516206682,4.719569917615643,5.719569917615643,1.0,7,,,,,,,,,,,,,,,,
base_graph,O2,EXACT_FEASIBILITY_CONTROL,g-e0c69f84d376b633,v2-S5-b001-g-e0c69f84d376b633,S5,0.28567612216689037,0.9176452267455396,4.640388671568018,5.719569917615643,1.079181246047625,7,,,,,,,,,,,,,,,,
aggregate,O2,EXACT_FEASIBILITY_CONTROL,,,ALL,,,,,,56,10.0,0.1885206377174449,0.10714540358350544,0.3021551192477979,0.19500971566429248,-0.10168452836737932,1.042148760780945,1.0,8.0,1.0,-0.8910019740521871,0.9649101295076906,-0.8478404320878904,56.0,56.0,56.0
base_graph,O3,CVAR_ENERGY,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,0.16191297673521485,0.4252555721729001,1.630088714928206,2.1072099696478683,0.4771212547196624,3,,,,,,,,,,,,,,,,
