run_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,p_feas,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_fully_feasible,cvar_tail_feasible_mass,cvar_fractional_cutoff_mass,p_feas_at_least_alpha,cvar_tail_condition_pass
objective-run-0496c9efcc31592e5cc0,task-v2-f0ef0f25a74e,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D6,3.135238693248112,0.1008587213938307,0.1,0.0740798046422092,0.1046511627906976,True,0.1,0.0159368455684479,True,True
objective-run-fafd079a8c4f4af2ea1b,task-v2-69173fedcdae,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D7,3.0682919036174985,0.1404557784554211,0.1,0.0661685673368394,0.0930232558139534,True,0.1,0.0011203887329133,True,True
objective-run-c002ca762e2be026b417,task-v2-8792ce3c54d5,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D1,3.9133899436317554,0.0274199170435803,0.1,0.7852981597440019,1.0772425249169435,False,0.0274199170435804,0.0067012767545213,False,True
objective-run-9abf1d1445914a2338e5,task-v2-5acbf653f95a,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D2,3.612359947967774,0.0349164064282016,0.1,0.7088957243475349,1.0714285714285714,False,0.0349164064282016,0.0247195557137718,False,True
objective-run-aca415d77deb13098083,task-v2-ef23e17da545,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D3,3.436268688912093,0.0493774238832213,0.1,0.5632157895195744,1.0714285714285714,False,0.0493774238832213,0.0093041320208495,False,True
objective-run-83951d9fc929ab50663c,task-v2-ac528a9510be,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D4,3.311329952303793,0.0658747604732703,0.1,0.3960244320396627,1.0714285714285714,False,0.0658747604732701,0.0041922797717967,False,True
objective-run-ad5ea53744984b64c26e,task-v2-5b0627539151,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D5,3.2144199392957367,0.0920212431323841,0.1,0.1324955101484477,1.0543251964745357,False,0.0920212431323839,0.007978756867616,False,True
objective-run-3ae366b7a35c529deb98,task-v2-c5ed7c8b71f4,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D6,3.135238693248112,0.1111990687945153,0.1,0.0504426730834479,0.0755813953488372,True,0.1,0.0068908325900641,True,True
objective-run-166a81652f928072874e,task-v2-8c0a098a6f8b,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D7,3.0682919036174985,0.105444460863438,0.1,0.0520325808042154,0.0755813953488372,True,0.1,0.0102856947639237,True,True
objective-run-cd61fa2a6b42b719f787,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D1,4.816479930623699,0.0127592876017221,0.1,0.9307949881921465,1.0687103594080338,False,0.0127592876017221,0.0089521498561844,False,True
objective-run-3abd2fc0d1367c365071,task-v2-095187356858,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D2,4.515449934959718,0.0099016233282736,0.1,0.957851655353296,1.0628964059196615,False,0.0099016233282736,0.0089421267170595,False,True
objective-run-b7c4590fa7e2d639f340,task-v2-0b71cbcaebc2,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D3,4.339358675904037,0.025344556666231,0.1,0.8116785595550761,1.080338266384778,False,0.025344556666231,0.0017582571265654,False,True
objective-run-864724dc3e6865af5660,task-v2-606c43f06406,g-3ff7063ef9ea5cfb,v2-S4-b000-g-3ff7063ef9ea5cfb,S4,D4,4.214419939295737,0.0194551554240503,0.1,0.8654651586151842,1.0628964059196615,False,0.0194551554240503,0.0128147967484131,False,True
