graph_id,optimizer,objective,depth,n_tasks,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas
g-3ff7063ef9ea5cfb,COBYLA,O0,2,7,1.8049367552549207,1.8049367552549207,0.0035830590055232875,0.0014062032420949998,0.4815567507626067,1.7706820749120398
g-3ff7063ef9ea5cfb,COBYLA,O0,3,7,1.5029430103976886,1.5029430103976886,0.0017714148871307036,0.001012679649582969,0.6709842641547435,1.361475872411552
g-3ff7063ef9ea5cfb,COBYLA,O3,2,7,1.0091442540526536,1.893921725864804,0.007133634604915561,0.0031740950801416134,0.4511018386860302,2.0029214929741945
g-3ff7063ef9ea5cfb,COBYLA,O3,3,7,0.9327584439736689,1.7458242196498794,0.01265909841548853,0.005709205255862192,0.5459081668020102,2.265233723056821
g-3ff7063ef9ea5cfb,Nelder-Mead,O0,2,7,1.6864665778798857,1.6864665778798857,0.006172600785272541,0.002763056789942656,0.4911202026083429,2.0025803514565683
g-3ff7063ef9ea5cfb,Nelder-Mead,O0,3,7,1.5104174264976027,1.5104174264976027,0.0016885055289117775,0.0008586971213529594,0.5463654278785877,1.4125194289650722
g-3ff7063ef9ea5cfb,Nelder-Mead,O3,2,7,0.9913426613145223,1.8615784000224151,0.009713205795092121,0.004502211073225733,0.46967792047789814,2.2194452108243445
g-3ff7063ef9ea5cfb,Nelder-Mead,O3,3,7,0.929553367922115,1.7269151739576396,0.013622105398277098,0.005411174553495769,0.5420304766308367,2.279484472859953
g-3ff7063ef9ea5cfb,SLSQP,O0,2,7,1.4557463249567835,1.4557463249567835,0.006553860399483443,0.003081628237216615,0.606520386725984,1.748336133532579
g-3ff7063ef9ea5cfb,SLSQP,O0,3,7,1.4139999725152197,1.4139999725152197,0.0021034958337767793,0.001326352710954898,0.6536159236580982,1.4120513605783926
g-3ff7063ef9ea5cfb,SLSQP,O3,2,7,0.9187031891672045,1.822153696812484,0.01597295418725121,0.007895527305116038,0.4687612875694288,2.289343425493488
g-3ff7063ef9ea5cfb,SLSQP,O3,3,7,0.9502412590995777,1.6844397056862128,0.010623694417359438,0.004957107202024874,0.5179239789651923,2.183915791387086
g-548c8c6335dd2a2e,COBYLA,O0,2,3,1.5286140297199582,1.5286140297199582,0.12392707244621855,0.0781592602785506,0.6656292564970203,0.9291268329025208
g-548c8c6335dd2a2e,COBYLA,O0,3,3,1.564568068433264,1.564568068433264,0.09168440613771071,0.05411825136057724,0.6467577811663523,0.7514862952033354
g-548c8c6335dd2a2e,COBYLA,O3,2,3,0.4401962026678865,2.030243442000346,0.11725010908360604,0.05315288949620717,0.6117609630150479,0.7433498391553569
g-548c8c6335dd2a2e,COBYLA,O3,3,3,0.1759328026048553,1.7224120891439776,0.13604383021759572,0.07772375770674708,0.6783275180158462,0.9248641341911172
g-548c8c6335dd2a2e,Nelder-Mead,O0,2,3,1.5564633217584174,1.5564633217584174,0.06262713333052917,0.03382801903941167,0.6071665816170251,0.6028913555057765
g-548c8c6335dd2a2e,Nelder-Mead,O0,3,3,1.5504099068311834,1.5504099068311834,0.0468996872827733,0.0296774589752079,0.6852726479971144,0.46459415961977163
g-548c8c6335dd2a2e,Nelder-Mead,O3,2,3,0.5353277139103118,2.2081610832836165,0.05894698850768954,0.031550239467118886,0.5513939183392894,0.6028723835438327
g-548c8c6335dd2a2e,Nelder-Mead,O3,3,3,0.07968626937581692,1.8748781648767687,0.11633287229573369,0.0855445026470318,0.7574362145514669,0.8979172970750405
g-548c8c6335dd2a2e,SLSQP,O0,2,3,1.540526851197167,1.540526851197167,0.10016219181209558,0.053135560895702844,0.6108619707922994,0.8279173577967706
g-548c8c6335dd2a2e,SLSQP,O0,3,3,1.5152498044216873,1.5152498044216873,0.18968896289981285,0.10464307269058666,0.6584520152232188,1.0859635138635666
g-548c8c6335dd2a2e,SLSQP,O3,2,3,0.3749274285137598,2.1301156861206247,0.0951523244913089,0.0443582798230179,0.5928494772296738,0.7539309711593826
g-548c8c6335dd2a2e,SLSQP,O3,3,3,0.023255813953488372,1.7232004651574906,0.16222897080956897,0.10637432395038256,0.7361272653691372,1.0070482334687563
g-553bb3c5ba0f2136,COBYLA,O0,2,3,1.732816039311281,1.732816039311281,0.04255724961576867,0.03618793880093806,0.7373884635299244,0.41180081164801585
g-553bb3c5ba0f2136,COBYLA,O0,3,3,1.5052790902507793,1.5052790902507793,0.11288056250446166,0.06917084597656854,0.7083179567901223,0.6113064824261406
g-553bb3c5ba0f2136,COBYLA,O3,2,3,0.11938400401470023,1.787901916886961,0.12215298215448474,0.06438258273088271,0.6822669895512838,0.9188627332613498
g-553bb3c5ba0f2136,COBYLA,O3,3,3,0.054263565891472874,1.7475044222458802,0.11992997670614709,0.10097616746693615,0.7025054610959311,0.92235668510492
g-553bb3c5ba0f2136,Nelder-Mead,O0,2,3,1.496570782886062,1.496570782886062,0.12363465831120324,0.06501061046898844,0.6101989860587441,0.8848677201253393
g-553bb3c5ba0f2136,Nelder-Mead,O0,3,3,1.4777843343457873,1.4777843343457873,0.08699506589028289,0.0722807435439162,0.7318984207687813,0.5205721196902685
g-553bb3c5ba0f2136,Nelder-Mead,O3,2,3,0.7279007891541321,2.1524738114640383,0.041218576265711813,0.022948741222233417,0.663052277489638,0.39476080870512725
g-553bb3c5ba0f2136,Nelder-Mead,O3,3,3,0.1489901773755258,1.7877287793366754,0.10148790371833492,0.09163768512593144,0.8855484190094511,0.8448376466829192
g-553bb3c5ba0f2136,SLSQP,O0,2,3,1.495895611480172,1.495895611480172,0.10566815842879612,0.060583346929427094,0.5960325635244255,0.8545920297001605
g-553bb3c5ba0f2136,SLSQP,O0,3,3,1.403025428952464,1.403025428952464,0.16937855280037825,0.08167858378492916,0.6322292166189815,0.8872625728395489
g-553bb3c5ba0f2136,SLSQP,O3,2,3,0.5887248726237105,2.1417182503831063,0.0542428471198329,0.0358919320322894,0.6605317991546911,0.5814102807252547
g-553bb3c5ba0f2136,SLSQP,O3,3,3,0.058206510087771245,1.6071696771714716,0.13767371810159904,0.09794088196811607,0.7210512450146749,0.9807192652286766
g-60667963f6db3f1b,COBYLA,O0,2,4,1.696371506737789,1.696371506737789,0.035116048837248684,0.013013468066082525,0.5017959472026825,1.0726185971889837
