size_stratum,n_edges,base_graphs,tasks,phi_min,phi_max,dilution_min,dilution_max
S1,7,5,15,0.0078125,0.0234375,1.630088714928206,2.1072099696478683
S2,10,5,20,0.0009765625,0.00390625,2.4082399653118496,3.010299956639812
S3,13,5,35,0.0001220703125,0.0008544921875,3.0682919036174985,3.9133899436317554
S4,16,5,35,1.52587890625e-05,0.000152587890625,3.816479930623699,4.816479930623699
S5,19,5,35,1.9073486328125e-06,2.288818359375e-05,4.640388671568018,5.719569917615643
