evidence_label,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,objective_id,shots,replicate,sampling_seed,p_feas_estimate,p_opt_estimate,mean_energy_estimate,cvar_0_10_estimate,p_feas_exact,p_opt_exact,mean_energy_exact,cvar_0_10_exact,p_feas_error,p_opt_error,mean_energy_error,cvar_0_10_error
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,0,10495010644052373141,0.098,0.098,1.7284972675263992,0.07453138130855237,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,0.0054744349016307425,0.0054744349016307425,-0.03452522177861583,-0.06078210303173463
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,1,3239870383739293217,0.096,0.096,1.7252080618875085,0.09673718122175594,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,0.0034744349016307408,0.0034744349016307408,-0.03781442741750651,-0.038576303118531066
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,2,14804076880746477345,0.069,0.069,1.7969658276417921,0.3965154800500039,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,-0.023525565098369255,-0.023525565098369255,0.033943338336777096,0.2612019957097169
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,3,14998847858456199038,0.089,0.089,1.7411541025017163,0.17445748091796834,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,-0.0035255650983692655,-0.0035255650983692655,-0.021868386803298723,0.039143996577681334
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,4,11842026763242977262,0.09,0.09,1.7590744317032085,0.16335458096136654,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,-0.0025255650983692646,-0.0025255650983692646,-0.003948057601806498,0.028041096621079536
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,5,15316427739828433641,0.107,0.107,1.68801527814571,0.05232558139534881,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,0.014474434901630737,0.014474434901630737,-0.07500721115930498,-0.08298790294493819
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,6,7853813310343455051,0.077,0.077,1.7966423374231872,0.30769228039718965,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,-0.015525565098369262,-0.015525565098369262,0.0336198481181722,0.17237879605690265
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,7,1236392638700900816,0.083,0.083,1.8297829482911718,0.24107488065757898,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,-0.009525565098369257,-0.009525565098369257,0.06676045898615679,0.10576139631729198
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,8,1969108107875803748,0.102,0.102,1.711001705180623,0.05232558139534881,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,0.009474434901630732,0.009474434901630732,-0.05202078412439204,-0.08298790294493819
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-b9e5059853ca,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D1,7,2.1072099696478683,O0,1000,9,11134086628301955352,0.101,0.101,1.7380478941134836,0.05232558139534881,0.09252556509836926,0.09252556509836926,1.763022489305015,0.135313484340287,0.008474434901630745,0.008474434901630745,-0.024974595191531446,-0.08298790294493819
