record_type,scope,objective_id,shots,metric,n_estimates,n_tasks,bias,mae,standard_deviation,rmse,error_p05,error_p50,error_p95,estimate_p05,estimate_p50,estimate_p95,relative_bias,relative_mae,relative_rmse,ordering_agreement_probability,ordering_comparison_count,exact_tie_count
ESTIMATOR_ERROR,ALL,O0,1000,p_feas,1680,84,8.037198567951314e-05,0.004103603696230464,0.006232592053044972,0.006231255187416262,-0.010147297557868855,-0.00010271684952739001,0.010951010824189034,0.0,0.017,0.16704999999999998,-0.013083999372659047,0.27303371166169366,0.5458281273397839,,0,0
ESTIMATOR_ERROR,ALL,O0,1000,p_opt,1680,84,6.165530033550227e-05,0.0026802557492752424,0.00422855815222007,0.004227749063810197,-0.006099766123568058,-7.175315868480654e-05,0.006661490183114797,0.0,0.007,0.096,-0.01681450478876245,0.4098384391787349,0.7239929513554177,,0,0
ESTIMATOR_ERROR,ALL,O0,1000,mean_energy,1680,84,-0.00015050714821713513,0.013679049622371275,0.017644778662956547,0.017640168539469127,-0.028004883747819655,0.00023067319740732728,0.028372900089122098,1.179769688146531,1.3595666444254424,1.6117681197262708,-0.00011399942403683194,0.00997844076752478,0.01278574171421311,,0,0
ESTIMATOR_ERROR,ALL,O0,1000,cvar_0.10,1680,84,0.0024273259741040996,0.02747784407023659,0.04375714283382923,0.04381141136045564,-0.06586358924019238,0.00017624157786529787,0.07723245601109487,0.059988372093023254,0.9005993727050182,1.0670875322997413,0.026457339476856825,0.07779082385712116,0.24274109369017158,,0,0
ESTIMATOR_ERROR,ALL,O0,10000,p_feas,1680,84,6.150293806046563e-05,0.0013325768583475107,0.0019890540870561397,0.001989412931149305,-0.0032699326798482525,3.096679583243153e-05,0.0033744626819281697,0.0008,0.016,0.16182499999999997,0.0033591659770327476,0.09148754709359336,0.1831953855420344,,0,0
ESTIMATOR_ERROR,ALL,O0,10000,p_opt,1680,84,6.088149081169271e-05,0.0009127732013776526,0.0014354383634202664,0.0014363019783284483,-0.0021409704859158703,-6.6298641005263146e-06,0.0023418733728451423,0.0002,0.0071,0.0937099999999999,0.0016068951832358422,0.15107236828216747,0.31763541877682777,,0,0
ESTIMATOR_ERROR,ALL,O0,10000,mean_energy,1680,84,-9.264355471572328e-05,0.004175744714029759,0.005419507334287948,0.005418686169263972,-0.009194901278922796,7.704100082484011e-05,0.008363228294021197,1.1790207657211438,1.3590913555124378,1.6018080605504084,-6.648834252928493e-05,0.0030418493296428197,0.0039268123108258364,,0,0
ESTIMATOR_ERROR,ALL,O0,10000,cvar_0.10,1680,84,-0.0004729048716797476,0.008779905277423415,0.01411606419300318,0.01411978393001715,-0.022906452621471805,-1.3877787807814457e-17,0.02213584241072122,0.05982267441860465,0.9093017135862912,1.0650560400516795,0.000574106699320409,0.020546755159086022,0.05138971669284959,,0,0
ESTIMATOR_ERROR,ALL,O0,100000,p_feas,1680,84,2.597317615570373e-05,0.00043147344592030777,0.0006552594270861054,0.0006555790938625155,-0.0010502369706495262,2.1316047595798136e-05,0.0011068296231252022,0.0007995000000000001,0.015725000000000003,0.160223,0.000691653587101873,0.029913840124293108,0.06028446120039998,,0,0
ESTIMATOR_ERROR,ALL,O0,100000,p_opt,1680,84,1.2762443192645124e-05,0.0002759733192296638,0.00043774542793639993,0.0004378011871625023,-0.0006398850970486254,1.3249380247137062e-06,0.0006977077661818146,0.00021,0.00707,0.09319599999999999,0.0008710476882716763,0.048565032452461215,0.11453278607885264,,0,0
