evidence_label,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,dilution_score,objective_id,depth,task_scientific_payload_sha256,terminal_parameters_sha256,p_feas_exact,p_opt_exact,mean_energy_exact,cvar_0_10_exact,probability_norm,max_abs_difference_vs_stored,source_run_id
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,7,1.630088714928206,O0,3,6ec36457a54d76e776472103ab70eca866c2a215d33ddde9d42331f395e37ddf,4f8607ff4799c2f036fe4639c2c47a7304f716947f8922e4886787cdeeece0a4,0.2967234943048248,0.10918768562644918,1.169966642511215,0.08720930232558138,0.9999999999999988,8.326672684688674e-17,phase2-p3-ccc520da9857c354ee68
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-8d2ef8b298b4,g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,D3,7,1.630088714928206,O3,3,6ec36457a54d76e776472103ab70eca866c2a215d33ddde9d42331f395e37ddf,4f3188d493e077351264095551a7e5869e9fbdb11b54e1eafc198cbf768e474d,0.2833975394058762,0.10283437498890477,1.1898381704826688,0.08720930232558138,0.9999999999999993,8.326672684688674e-17,phase2-p3-c31331b9ca8d2f87b22d
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,7,2.1072099696478683,O0,3,54b83e0f0f9e422ffcb2384717918e6af1f249d15dd8470c657cbc7da6df1d84,0221bcdad9cf8e4b07f95a08aa44c1f37741676118aa96a1d453165890c543ad,0.10305912329897296,0.10305912329897296,1.3011478758567436,0.09883720930232558,1.0000000000000013,8.326672684688674e-17,phase2-p3-d516e41f667912bd879f
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,7,2.1072099696478683,O3,3,54b83e0f0f9e422ffcb2384717918e6af1f249d15dd8470c657cbc7da6df1d84,427ee23859fb65f21fc40a6eccdba6c2d357f1e00995b524a70e6c15f9c9146e,0.09203268790311304,0.09203268790311304,1.5908511757895765,0.1771831939938552,0.9999999999999989,4.163336342344337e-17,phase2-p3-a175d637d6bcf82e44df
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,7,1.806179973983887,O0,3,301e7af12cf9cf960e859d2cd804ed4c23ad7a796373fdeae4ca438cc408fbdf,f231066894d9100de6c837e5b3f7dad1e5839f629823aa908b979613d5e52847,0.11203717337495842,0.051672716143548514,1.4712789064381888,0.08381607088850332,0.9999999999999998,1.3877787807814457e-17,phase2-p3-8af9fad8561bb5cdf6aa
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,7,1.806179973983887,O3,3,301e7af12cf9cf960e859d2cd804ed4c23ad7a796373fdeae4ca438cc408fbdf,0ebd1f80387eea980d548d7ed14f20150002db52063a683ba731eb5fbd9fd462,0.11532680787537507,0.05611383679584778,1.5050281176302671,0.0825250474430675,1.0,7.632783294297951e-17,phase2-p3-d32010bc44ee1f1ebcb9
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,7,1.630088714928206,O0,3,2f0c5b1bbf384639d56dbe788f223310de02f2d6c0734a7a77cbc7a01bb9860e,27be5e1d05fa0df402e98ee8cdc742c29957dbcb17e33a2894caf67b840b8eec,0.30512170106619735,0.0854877231974985,1.015129591113901,0.05982700893052342,0.9999999999999996,5.551115123125783e-17,phase2-p3-81b17689391eb1fc504d
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,7,1.630088714928206,O3,3,2f0c5b1bbf384639d56dbe788f223310de02f2d6c0734a7a77cbc7a01bb9860e,3edd161216ded5c5937ad7fe4cb38b1ec4d941a644ee263840db585328811e05,0.26242917468439503,0.10118857578809612,1.1855988473212387,0.05813953488372093,0.9999999999999999,2.220446049250313e-16,phase2-p3-508a8e49e584b2f99349
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-ff6e67bbbcba,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D1,10,3.010299956639812,O0,3,57473d9a484dce385f8f5e41988099a6fa2198d6b0925dd9e519f35ca780d82b,1be98941bd1c24fbec8ef0e3fbcbde9562ee1176657f2897a042f06073469ce4,0.004071753158684807,0.004071753158684807,1.814416929979414,1.0950781290191085,0.9999999999999991,6.938893903907228e-18,phase2-p3-1cfbed8fc9c62d3d028c
POSTHOC_FINITE_SHOT_ENDPOINT_ROBUSTNESS,task-v2-ff6e67bbbcba,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D1,10,3.010299956639812,O3,3,57473d9a484dce385f8f5e41988099a6fa2198d6b0925dd9e519f35ca780d82b,4bab4791728e3474c914ef1ef937266d9139dc85f1e39caaf5b26787af4a28b4,0.035897493946217385,0.035897493946217385,1.8866202941701415,0.7323567968689937,0.999999999999999,4.440892098500626e-16,phase2-p3-b9ca921f4edcc2a6872c
