task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,feasible_state_fraction,log_feasibility_gain_O0,log_feasibility_gain_O2,log_feasibility_gain_O3,p_feas_O0,p_feas_O2,p_feas_O3,p_opt_O0,p_opt_O2,p_opt_O3,p_opt_given_feasible_O0,p_opt_given_feasible_O2,p_opt_given_feasible_O3,expected_route_cost_given_feasible_O0,expected_route_cost_given_feasible_O2,expected_route_cost_given_feasible_O3,mean_energy_O0,mean_energy_O2,mean_energy_O3,objective_improvement_O0,objective_improvement_O2,objective_improvement_O3,p_feas_change_O0,p_feas_change_O2,p_feas_change_O3,p_opt_change_O0,p_opt_change_O2,p_opt_change_O3,paired_analysis_eligible,Delta_CVAR_MEAN,Delta_CVAR_CAPACITY,capacity_gap,cvar_residual_gap,stable_gap_closure_eligible,gap_closure,O2_greater_than_O0,O3_greater_than_O0,O3_at_least_O2,O3_within_NI_of_O2,O3_popt_vs_O0,O3_both_pfeas_and_popt_greater,O3_feasibility_up_conditional_quality_down
task-v2-004cf44adcd0,g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,D3,5.24244866289598,5.7220458984375e-06,2.7895757459350805,3.6075055103577776,3.365675299610692,0.0035247399672216,0.0231769800778603,0.0132808733972798,0.0027898927533444,0.0110478863486371,0.0065235536867852,0.7915173258989758,0.4766749728188526,0.4911991471977591,12.291863886540913,15.983365642845206,15.831850710303211,1.3190510430008782,1.789787277146596,1.6793450522807845,0.2410245494769001,0.021025317572544,0.1058559109861738,0.0013730774619053,0.021025317572544,0.0111292108919635,0.0014725299063423,0.009730523501635,0.0052061908397831,True,0.5760995536756113,-0.24183021074708577,0.817929764422697,0.24183021074708577,True,0.7043386593006895,True,True,False,False,WIN,True,True
task-v2-00b7b12999ba,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D1,4.816479930623699,1.52587890625e-05,2.1654822938716976,2.819876542829634,2.8046026781907383,0.0022335843770246,0.0100785165245199,0.0097302219671669,0.0022335843770246,0.0100785165245199,0.0097302219671669,1.0,1.0,1.0,23.0,23.0,23.0,1.402244576899763,1.7364729790637972,1.579375574796824,0.1127592970800788,0.0083250938309119,0.0595703901452144,0.0004801616834166,0.0083250938309119,0.0079767992735589,0.0004801616834166,0.0083250938309119,0.0079767992735589,True,0.6391203843190407,-0.015273864638895684,0.6543942489579364,0.015273864638895684,True,0.9766595371777519,True,True,False,True,WIN,True,False
task-v2-01f33dead804,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D5,4.941418667231999,1.1444091796875e-05,2.98283472796062,3.1029369533812647,3.2463825535335697,0.0110005920825733,0.0145050184700104,0.0201819853367981,0.0052924096229212,0.0074065126588281,0.0110002829086958,0.4811022518783588,0.5106172511356224,0.5450545486542824,14.913274941452116,14.889177770103991,14.814450510753188,1.4694042151402793,1.518071199526951,1.557340719472207,0.1280972727410381,0.0117825824377046,0.1743956687302047,0.0082781560502675,0.0117825824377046,0.0174595493044924,0.0040208110241541,0.006134914060061,0.0097286843099287,True,0.26354782557294953,0.143445600152305,0.12010222542064453,-0.143445600152305,True,2.1943625494856813,True,True,True,True,WIN,True,False
task-v2-05a98ad7eaff,g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,D7,3.9133899436317554,0.0001220703125,1.9014443844767992,2.5899828934084344,2.585590430065812,0.0097286916983531,0.0474889918271444,0.047011107922378,0.0021016449117212,0.0085163749815306,0.0085539898935465,0.2160254407154231,0.1793336656320157,0.1819567815264084,20.607200367228508,20.970494748588536,20.93928044868717,1.3303319535382272,1.3352634868611448,1.320408423076981,0.0007630181022926,0.0375745981831849,0.3422274815498786,-0.0001857019456062,0.037574598183185,0.0370967142784186,-1.5588309689075572e-05,0.0063991417601203,0.0064367566721362,True,0.6841460455890129,-0.0043924633426222215,0.6885385089316352,0.0043924633426222215,True,0.9936205988689902,True,True,False,True,WIN,True,True
task-v2-07632e755d52,g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,D3,1.630088714928206,0.0234375,1.087345865000073,1.1225792056474662,1.033339940466956,0.2865874380282492,0.3108067847964361,0.2530761538121439,0.1084897193116616,0.1058769389080273,0.1024087301309312,0.3785571344580974,0.3406519551282375,0.4046557867595393,14.075939515499378,14.347620775921508,13.872253996860014,1.1858802504577264,1.1789233803832009,1.2373877527038526,0.0515075022461262,0.0577306309842923,0.0,0.0335112842161053,0.0577306309842922,0.0,0.0060809891807303,0.003468208777096,0.0,True,-0.05400592453311681,-0.08923926518051006,0.03523334064739325,0.08923926518051006,True,-1.532807379055964,True,False,False,True,LOSS,False,False
task-v2-0880cdc8b47d,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D1,5.719569917615643,1.9073486328125e-06,2.798289701915776,3.326808635325608,3.4939497551027414,0.001198725611245,0.0040479833518352,0.0059481215873741,0.001198725611245,0.0040479833518352,0.0059481215873741,1.0,1.0,1.0,12.0,12.0,12.0,1.4733837852881788,1.76823940460006,1.7071998725480655,0.2064970186580388,0.0036070684296468,0.0544431244552532,0.0007578106890566,0.0036070684296468,0.0055072066651857,0.0007578106890566,0.0036070684296468,0.0055072066651857,True,0.6956600531869652,0.16714111977713353,0.5285189334098317,-0.16714111977713353,True,1.316244337168384,True,True,True,True,WIN,True,False
task-v2-0ae6410749b4,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D3,3.436268688912093,0.0003662109375,2.15530231787356,2.357230048163932,2.348879983730151,0.0523640982393693,0.0833607012294205,0.0817732567976526,0.0288905850213373,0.0340259094579828,0.0363849954278491,0.5517250557676239,0.408176862192398,0.444949814312564,10.305812079149112,11.4364234445338,11.132636772100524,1.3599492605706685,1.506323027203487,1.446458509669097,0.0924466775723817,0.0391100512257127,0.3717518133699287,0.0081134482356615,0.0391100512257127,0.0375226067939448,0.0031286809239657,0.0082640053606111,0.0106230913304774,True,0.19357766585659064,-0.008350064433781057,0.2019277302903717,0.008350064433781057,True,0.9586482529082376,True,True,False,True,WIN,True,True
task-v2-0b36d078e255,g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,D1,5.719569917615643,1.9073486328125e-06,2.5700990138678765,3.2583196548835898,3.023040332907978,0.0007088087926372,0.0034574008725824,0.0020112701831808,0.0007088087926372,0.0034574008725824,0.0020112701831808,1.0,1.0,1.0,16.0,16.0,16.0,1.3366486418395445,1.7936488285053631,1.521840823371402,0.2191364739287782,0.0031894096047277,0.0142458446834132,0.0004408175247825,0.0031894096047277,0.0017432789153261,0.0004408175247825,0.0031894096047277,0.0017432789153261,True,0.4529413190401015,-0.23527932197561174,0.6882206410157132,0.23527932197561174,True,0.6581338774896757,True,True,False,False,WIN,True,False
task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,2.533178701920149,0.0029296875,1.5289137622690911,1.6376145013752994,1.6376305056720613,0.0990227676072534,0.127184972218266,0.1271896592304888,0.0420853246478756,0.0520833157205765,0.0522411804138629,0.4250065481384596,0.4095084097765479,0.4107344946902734,20.540938204920657,20.814735528986507,20.78659390948064,1.4907992723368846,1.4842209798758814,1.4812276390785193,0.0612065581321337,0.053611406468374,0.2694850161457148,0.0254492018573613,0.0536114064683739,0.0536160934805967,0.0086002594756512,0.018598250548352,0.0187561152416384,True,0.1087167434029701,1.6004296761851222e-05,0.10870073910620826,-1.6004296761851222e-05,True,1.0001472326397542,True,True,True,True,WIN,True,True
task-v2-0ec069828687,g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,D6,4.816479930623699,1.52587890625e-05,2.8192707614392445,2.8727420560923456,2.996663513269725,0.0100644681727603,0.0113831412645352,0.0151420118821732,0.0029659893511751,0.003276404977737,0.0047058006587662,0.2946990640998495,0.2878295983152612,0.3107777681977922,12.58165998661834,12.66514075181918,12.811069047590422,1.359523069987161,1.4433989294185872,1.380206484287936,0.2638367885977517,0.0069327083394075,0.1267441303067993,0.0056140352476325,0.0069327083394075,0.0106915789570455,0.0019193671830141,0.002229782809576,0.0036591784906052,True,0.1773927518304803,0.12392145717737924,0.053471294653101076,-0.12392145717737924,True,3.317532387822826,True,True,True,True,WIN,True,False
