base_graph_id,base_instance_id,size_stratum,objective_id,objective_name,n_levels,kappa,R2,min_D,max_D
g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,7,0.16774282693909626,0.13263346280623478,3.9133899436317554,4.816479930623699
g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,O3,CVAR_ENERGY,7,0.13739244718894064,0.13499125105072707,3.9133899436317554,4.816479930623699
g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,O0,MEAN_ENERGY,7,-1.8963257516583458,0.6708062965588044,3.816479930623699,4.816479930623699
g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,7,0.17696078470737966,0.317865255907674,3.816479930623699,4.816479930623699
g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,O3,CVAR_ENERGY,7,0.11405851562880419,0.14138728809350865,3.816479930623699,4.816479930623699
g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,O0,MEAN_ENERGY,7,-0.2746205847982063,0.433986558374472,3.9133899436317554,4.816479930623699
g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,7,0.1763152412157545,0.592099407759504,3.9133899436317554,4.816479930623699
g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,O3,CVAR_ENERGY,7,0.08758658481557136,0.14733004264993255,3.9133899436317554,4.816479930623699
g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,O0,MEAN_ENERGY,7,0.4331473556397823,0.49531456005094887,4.640388671568018,5.719569917615643
g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,7,0.5756332459384063,0.8171150457146561,4.640388671568018,5.719569917615643
g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,O3,CVAR_ENERGY,7,0.47653991186858896,0.7470632461185499,4.640388671568018,5.719569917615643
g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,O0,MEAN_ENERGY,7,0.11895703501218623,0.177412391664737,4.719569917615643,5.719569917615643
g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,7,0.4960997984300783,0.3659216593275577,4.719569917615643,5.719569917615643
g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,O3,CVAR_ENERGY,7,0.4849816207245251,0.3905365951127019,4.719569917615643,5.719569917615643
g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,O0,MEAN_ENERGY,7,0.3745248605261403,0.15413091240936005,4.640388671568018,5.719569917615643
g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,O2,EXACT_FEASIBILITY_CAPACITY_CONTROL,7,0.29597495842076466,0.8499208396392037,4.640388671568018,5.719569917615643
g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,O3,CVAR_ENERGY,7,0.036288198161990345,0.004326352721654159,4.640388671568018,5.719569917615643
