base_graph_id,base_instance_id,size_stratum,planned_levels,observed_task_rows,complete_graph_eligible,bar_G_O0,bar_P_feas_O0,bar_P_opt_O0,bar_G_O2,bar_P_feas_O2,bar_P_opt_O2,bar_G_O3,bar_P_feas_O3,bar_P_opt_O3,Delta1_CVAR_MEAN,Delta2_CVAR_CAPACITY,Delta_P_opt_CVAR_MEAN
g-a529fbde22ed09f4,v2-S1-b002-g-a529fbde22ed09f4,S1,3,3,True,1.0840265795313162,0.19063399114185905,0.11766647368820667,1.1643005663040864,0.2184944170079929,0.13884590144080325,1.0701805184335045,0.17755229954612808,0.11675067930705411,-0.013846061097811724,-0.09412004787058192,-0.0009157943811525515
g-c45ecbe0242c6377,v2-S1-b003-g-c45ecbe0242c6377,S1,3,3,True,0.974404624141673,0.15949792151002384,0.07432574460506426,1.0588987539378945,0.1789974383646561,0.09305756951960864,1.034307625172115,0.17035691001843456,0.0883801155538854,0.059903001030442105,-0.024591128765779402,0.014054370948821143
g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,3,3,True,1.0301334474983552,0.17340599924670955,0.0800731875466733,1.0141702914840531,0.16896126252552865,0.08186123068415259,0.99612105025391,0.15659622348762767,0.08311170016235227,-0.03401239724444527,-0.018049241230143176,0.0030385126156789732
g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,4,4,True,1.0839712377128965,0.05284683723069793,0.021898045062268175,1.6398727774075335,0.10069234978642103,0.046162568978487875,1.5448016940799507,0.0843720626469201,0.038897726114101125,0.4608304563670542,-0.09507108332758274,0.01699968105183295
g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,4,4,True,1.3315405615583433,0.0746174833579873,0.027552714556111572,1.5584463520408338,0.09839086380938751,0.04038979405657887,1.6659558158505172,0.10615293048346758,0.0502508643230992,0.3344152542921739,0.1075094638096834,0.022698149766987627
g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,4,4,True,1.3943498712087672,0.0802545505351026,0.033242274711877524,1.6925962197568225,0.11529472129379884,0.0529432441542192,1.6935053219440097,0.11564442587281826,0.05408440565480355,0.2991554507352425,0.0009091021871872051,0.020842130942926022
g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,7,7,True,2.033179561267139,0.05244725565700658,0.012499648618609258,2.245924263219383,0.07739531142909525,0.024052488356849828,2.2419522848705715,0.07607852679343864,0.024010453408162186,0.20877272360343246,-0.003971978348811689,0.011510804789552928
g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,7,7,True,2.1838372758433935,0.07387683445053665,0.030438510003480346,2.347402652017952,0.09723018106532182,0.04044471042359306,2.362214970880298,0.09963234211229499,0.04678286805045619,0.1783776950369047,0.014812318862346352,0.016344358046975847
g-64377640089a831f,v2-S3-b004-g-64377640089a831f,S3,7,7,True,1.902409330223175,0.04312842180663432,0.011078894796586043,2.1002531970660336,0.06260716480650412,0.0165015589714779,2.107963722257988,0.0637342487696497,0.0167816262904699,0.20555439203481285,0.007710525191954254,0.0057027314938838565
g-28cd30a80498cca2,v2-S4-b002-g-28cd30a80498cca2,S4,7,7,True,2.2231627646326495,0.010508628197702458,0.0031900233072952714,2.584564223388832,0.024214582606306243,0.007628017238945986,2.629930334517804,0.026379709470102874,0.008747223899137442,0.4067675698851545,0.04536611112897182,0.005557200591842171
g-f6afb3a3727100d3,v2-S4-b003-g-f6afb3a3727100d3,S4,7,7,True,1.5964036660767722,0.012597619149404172,0.0026526604007902567,2.7081645176279063,0.03616220510408066,0.010108053523982015,2.659336337629444,0.0336306910991937,0.009153139360722443,1.062932671552672,-0.04882817999846223,0.006500478959932186
g-2fa0de1665fa7816,v2-S4-b004-g-2fa0de1665fa7816,S4,7,7,True,2.3736366732886154,0.016370643478295126,0.005962311324023443,2.6845466350793497,0.029037142767357298,0.010758867295123185,2.6496595996588317,0.02781722989180044,0.010205046286815043,0.2760229263702163,-0.034887035420517964,0.0042427349627916
g-4a80ed839b63ddd7,v2-S5-b002-g-4a80ed839b63ddd7,S5,7,7,True,2.8325125733090863,0.0060748824848869,0.0023425999923236576,3.575661589526561,0.0301552695471724,0.012377062433178598,3.4576722920103244,0.023684448107170773,0.009553656473972785,0.6251597187012381,-0.11798929751623666,0.007211056481649127
g-b9a8415aa1799cc5,v2-S5-b003-g-b9a8415aa1799cc5,S5,7,7,True,2.780353222661016,0.0053936177746974,0.0022078611974650714,3.2133952975526543,0.014408325700342272,0.009881987232973328,3.239731222837778,0.015192298828216341,0.010503023155841899,0.4593780001767618,0.02633592528512363,0.008295161958376828
g-ad76642cd3b9f76c,v2-S5-b004-g-ad76642cd3b9f76c,S5,7,7,True,2.4614432266947595,0.003196316002549014,0.001292147492419757,3.1468187635823335,0.011980502069888785,0.004200056298236042,3.2527560605210697,0.01760287399732804,0.006722567543306058,0.7913128338263102,0.10593729693873621,0.0054304200508863
