run_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,dilution_score,p_feas,p_opt,p_opt_given_feasible,Delta_CVAR_MEAN,cvar_alpha,cvar_value,cvar_cutoff_energy,cvar_tail_feasible_mass,cvar_tail_fully_feasible,p_feas_at_least_alpha,cvar_tail_condition_pass
phase2-p3-1d6155f4b5e52ed7c1af,task-v2-de1e481a2b9a,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D1,3.010299956639812,0.0523599828263589,0.0523599828263589,1.0,0.7236367758395499,0.1,0.6027368455386689,1.1666666666666667,0.0523599828263589,False,False,True
phase2-p3-eade9d6dcb96408979cb,task-v2-df25fe0d6e36,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D2,2.709269960975831,0.1181354190506084,0.0659052949742457,0.557879216105479,0.34905937713876023,0.1,0.1148280090280986,0.1569767441860465,0.1,True,True,True
phase2-p3-d934be8fa67dc28fc135,task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,2.533178701920149,0.1271896592304888,0.0522411804138629,0.4107344946902734,0.1087167434029701,0.1,0.1110301742259417,0.1569767441860465,0.1,True,True,True
phase2-p3-ab177d5838bd3879129c,task-v2-693f08fcb4be,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D4,2.4082399653118496,0.1648926423838169,0.0458311644047467,0.2779454785985331,0.01520890655968854,0.1,0.1008850158900496,0.1220930232558139,0.1,True,True,True
phase2-p3-144efa4fda04d8e53952,task-v2-eb747215294a,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D1,3.9133899436317554,0.0421139872199717,0.0421139872199717,1.0,0.4376351294343168,0.1,0.6615846292085529,1.0908587023738503,0.0421139872199718,False,False,True
phase2-p3-2d02feafb06beab8de46,task-v2-607a9c50d675,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D2,3.612359947967774,0.0678912975591755,0.0369113984662201,0.5436837973828285,0.31345054415016627,0.1,0.4070251044328477,1.0779472337329976,0.0678912975591755,False,False,True
phase2-p3-90a0462e5538ee97161a,task-v2-cfa564be8207,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D3,3.436268688912093,0.0519879617248823,0.0124880465208003,0.2402103507517071,0.2594445922882378,0.1,0.5565167449124521,1.0625,0.0519879617248824,False,False,True
phase2-p3-62e4e4a9d64f33f209b5,task-v2-5da0eece9ed4,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D4,3.311329952303793,0.0705304215936957,0.0194174135873188,0.2753055085814826,0.12451329734555783,0.1,0.3718697116027504,1.0625,0.0705304215936957,False,False,True
phase2-p3-36fbe99a8f4560cad26c,task-v2-cd3aef86a98f,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D5,3.2144199392957367,0.0836009228603076,0.0183670525403137,0.2196991601516648,0.12429721007273198,0.1,0.2427192935521139,1.0625,0.0836009228603078,False,False,True
phase2-p3-c80025dc6ed4bf1cd632,task-v2-8029d558b1a1,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D6,3.135238693248112,0.0927841484305478,0.0179047035089697,0.1929715777083632,0.14029996574962222,0.1,0.1557273700872791,1.0625,0.0927841484305479,False,False,True
phase2-p3-2e667a891ee11d1bc0ad,task-v2-147f90045792,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D7,3.0682919036174985,0.1236409481654899,0.020870572013541,0.1687998379437075,0.06176832618339434,0.1,0.0812706519513492,0.1104651162790697,0.1,True,True,True
phase2-p3-52baf10f8cda042c8689,task-v2-8b88de51ba21,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D1,3.9133899436317554,0.071770419055862,0.071770419055862,1.0,0.556784543548178,0.1,0.3281103367670976,1.0588235294117647,0.0717704190558618,False,False,True
phase2-p3-644ab08bf706a97a41fe,task-v2-df7a823d7a2b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D2,3.612359947967774,0.0557983484236728,0.0382235095745641,0.6850294077583772,0.1896817204876604,0.1,0.504126361117184,1.0646374829001368,0.0557983484236728,False,False,True
phase2-p3-b7b3f126dfb98d835b2c,task-v2-0ae6410749b4,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D3,3.436268688912093,0.0817732567976526,0.0363849954278491,0.444949814312564,0.19357766585659064,0.1,0.2459234719532188,1.058892402234693,0.0817732567976526,False,False,True
phase2-p3-f40539ecaf1e4b598e20,task-v2-f12c027474e2,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D4,3.311329952303793,0.0991107506899075,0.0416644438877974,0.4203826890400106,0.09428302460978477,0.1,0.074401661279599,1.0523329532781327,0.0991107506899076,False,False,True
phase2-p3-768bb747da03859d5d26,task-v2-356d367a6a2c,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D5,3.2144199392957367,0.1153114896024333,0.0348440317605954,0.3021731128505004,0.054662922738093034,0.1,0.0582142856560309,0.1104651162790697,0.1,True,True,True
