task_id,cobyla_objective_final,cobyla_G_feas_final,cobyla_p_feas_final,cobyla_p_opt_final,cobyla_runtime_s,nelder_mead_objective_final,nelder_mead_G_feas_final,nelder_mead_p_feas_final,nelder_mead_p_opt_final,nelder_mead_runtime_s,objective_nelder_minus_cobyla,G_nelder_minus_cobyla
task-v2-07b8f456a957,1.3786348177288883,2.2716427566600044,0.0228166989917394,0.0093311101556837,5.926521045155823,1.3158137547357454,2.289196812452828,0.0237578353842123,0.009193817956162,5.889779818244278,-0.06282106299314294,0.017554055792823764
task-v2-095187356858,1.5760613067653573,2.0436956770386185,0.0033747821400627,0.0025510940878667,5.913037495687604,1.6598231371380665,1.8106276570568367,0.0019732300566177,0.0014926175961914,5.8936198418959975,0.08376183037270923,-0.23306801998178184
task-v2-0b71cbcaebc2,1.3727250642647302,1.5701361188867544,0.0017012864497189,0.0002500087447151,6.064244531095028,1.3781473191235487,1.6612161230079254,0.002098251040291,0.0018099205439457,6.305641073733568,0.0054222548588185315,0.09108000412117101
task-v2-0c6c4504c3d3,1.3818848379630095,1.9884373281712988,0.0594315954172992,0.018221719642884,0.7198332641273737,1.352848330330936,2.010250997080663,0.0624929545501957,0.0190248396248587,0.6456863535568118,-0.02903650763207355,0.021813668909364203
task-v2-11173062a501,1.2440000007213836,2.977930601465551,0.0108770702696158,0.0046191706900304,128.61953016091138,1.1678295609892173,1.9859453275936108,0.0011079665788633,0.0004684964475135,127.69263423420487,-0.0761704397321663,-0.9919852738719401
task-v2-2d64318cb7be,1.4122457098897476,1.3660010476402722,0.0453660624894026,0.0291564009038673,0.3473872514441609,1.4619286961896931,1.2286500882736888,0.03306588319715,0.0208130065312337,0.1230806140229106,0.0496829862999455,-0.13735095936658337
task-v2-3cd2eda112d3,1.3100103531321745,1.449013293892386,0.0823824288543792,0.0557221796299239,0.3442851100116968,1.308759434266542,1.4463126265421578,0.0818717219363957,0.0557101433042397,0.1298733670264482,-0.0012509188656324444,-0.0027006673502283363
task-v2-3f11ce371857,1.601944742471454,2.458451678626854,0.0043850217112904,0.0043850217112904,5.912970184348524,1.6737438685866262,0.9833779837761132,0.000146858150046,0.000146858150046,5.883231579326093,0.07179912611517225,-1.4750736948507408
task-v2-3f363bac5736,1.7528666243413893,1.4154432270493689,0.0254181109118392,0.0254181109118392,0.3407156737521291,1.7310546867528729,1.4684586973560658,0.0287183008433036,0.0287183008433036,0.1208456475287675,-0.021811937588516406,0.053015470306696955
task-v2-420d9636beee,1.430296780991104,3.068869596315217,0.0022351139992961,0.0022351139992961,129.3224922819063,1.420515684588674,2.080834662255092,0.0002297548800299,0.0002297548800299,128.05753523483872,-0.009781096402430078,-0.9880349340601251
task-v2-4746dcc3bd93,1.2776703661110784,3.0311866359184845,0.0020493527473411,0.0020493527473411,125.30847038980572,1.2187645896817274,2.4180802091267624,0.0004994710160726,0.0004994710160726,127.68184826057404,-0.05890577642935102,-0.6131064267917221
