task_id,projectable_original_p3,grid_objective_gain_from_embedded,grid_G_gain_from_embedded,G_change_at_grid_objective_minimum,objective_change_at_grid_G_maximum
task-v2-3f11ce371857,False,0.19029368161469318,0.7674894383631734,0.5389953865352484,-0.11168288956945638
task-v2-3f363bac5736,False,0.029742851650165658,0.3647992193418088,0.18025345740227672,0.00691165955000006
task-v2-4746dcc3bd93,False,0.16745200927661275,0.7621972441740454,0.5794018411458279,-0.05315468166275039
task-v2-4968f3a685c2,False,0.11268359757041391,1.094314058463975,0.7926580817920268,0.12977732030431532
task-v2-606c43f06406,False,0.13736307832996997,0.7355494117224803,0.6016171027678778,-0.041295433804368065
task-v2-69173fedcdae,False,0.05647692604374277,0.456280228910507,0.4264414905091103,0.019337912474916674
task-v2-6996479d6302,False,0.06277412689777506,0.0901494481197882,0.08619406527803597,-0.05958675990671458
task-v2-b5e00db3fe1a,False,4.440892098500626e-16,0.3160628655454869,4.440892098500626e-16,0.055204892073680956
task-v2-b9b3757d64c0,False,0.15988592433624693,0.6814994156034442,0.5770984512440203,-0.04719575861127945
task-v2-ce7fc44fc7b5,False,0.028068418582471555,0.043840822297710025,0.03296262185837562,-0.008363568465238114
task-v2-d7382a83ef13,False,0.11117552300371547,0.15295876993295687,0.14482562918908037,-0.09900377978476804
task-v2-e442db508705,False,0.026813100181976024,0.09162425654529938,0.027070481408342895,0.07237977360214343
task-v2-eb1005d46905,False,0.019994842520310474,0.3172148932156549,0.18914560389328328,0.05365646337446339
task-v2-f1a738d52e35,False,0.030374185870166936,0.30370805707814386,0.17311606745010177,0.03443474718680806
task-v2-f5c9b9bdeb27,False,2.220446049250313e-16,0.33886612027704155,0.0,0.08847688845733925
