run_id,task_id,base_graph_id,base_instance_id,size_stratum,stress_level,n_edges,feasible_state_fraction,dilution_score,arm,optimizer,source_p2_seed,eval_budget,budget_multiplier,reused_from_continuation,initial_parameters,terminal_parameters,best_evaluated_parameters,objective_start,objective_final,terminal_objective,best_evaluated_objective,objective_improvement,best_evaluated_objective_improvement,p_feas_start,p_feas_final,p_feas_best_evaluated,p_opt_start,p_opt_final,p_opt_best_evaluated,p_opt_given_feasible_start,p_opt_given_feasible_final,p_opt_given_feasible_best_evaluated,G_feas_start,G_feas_final,G_feas_best_evaluated,state_norm_start,state_norm_final,state_norm_best_evaluated,expected_routing_component,expected_flow_penalty,expected_resource_penalty,expected_total_penalty,component_sum,component_sum_error,mass_valid_flow_resource_feasible,mass_flow_invalid_resource_feasible,mass_flow_valid_resource_violating,mass_both_flow_and_resource_violating,mass_flow_invalid,mass_resource_violating,mass_category_sum,classification,optimizer_nfev,tracked_optimizer_evaluations,diagnostic_start_evaluations,total_objective_evaluations,optimizer_status,optimizer_message,scipy_success,numerically_valid,runtime_s,peak_memory_mb,execution_status,failure_reason,config_sha256,optimizer_seed,original_p3_objective,original_p3_p_feas,original_p3_p_opt,original_p3_G_feas,continuation_objective_recovery_vs_random,continuation_delta_p_feas_vs_random,continuation_delta_p_opt_vs_random,continuation_delta_G_vs_random
diag-run-a1101b3de2cee30ccf54,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,0.0078125,2.1072099696478683,P3_CONTINUATION_B1,COBYLA,1103,120,1,False,"[1.6943290289611375, 4.238012900972635, 0.0, 2.425342072178163, 0.1685275075675178, 0.0]","[1.6940759091301048, 4.237260355347124, -0.00016307840191711283, 2.4254343208967497, 0.16854473116246974, -0.00010933819734880424]","[1.6940759091301048, 4.237260355347124, -0.00016307840191711283, 2.4254343208967497, 0.16854473116246974, -0.00010933819734880424]",1.7075527106223567,1.707552271199142,1.707552271199142,1.707552271199142,4.394232147042487e-07,4.394232147042487e-07,0.054451953239791,0.05442038810524,0.05442038810524,0.054451953239791,0.05442038810524,0.05442038810524,1.0,1.0,1.0,0.8432234325467988,0.8429716043235651,0.8429716043235651,0.9999999999999998,1.0000000000000009,1.0000000000000009,0.0672277027074785,1.2142583261089754,0.426066242382688,1.6403245684916634,1.707552271199142,0.0,0.05442038810524,0.5909598916998657,0.0478372689545024,0.3067824512403923,0.8977423429402581,0.3546197201948948,1.0000000000000009,OBJECTIVE_IMPROVES_FEASIBILITY_WORSENS,60,60,1,61,0,Return from COBYLA because the trust region radius reaches its lower bound.,True,True,0.1316566886380314,134.60546875,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,1103,1.6231261882965546,0.002835945218821,0.002835945218821,-0.4400921929079322,-0.08442608290258735,0.051584442886418995,0.051584442886418995,1.2830637972314973
diag-run-047317764f00700e3c8b,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,0.0078125,2.1072099696478683,P3_CONTINUATION_B1,COBYLA,2207,120,1,False,"[3.2617673516882473, 5.94505017619575, 0.0, 2.3753965412699434, -0.40746338949101585, 0.0]","[3.3146909765764327, 5.711794846944455, 0.6801956364282501, 2.321119796845838, -0.32536254030451095, -0.13756896433670238]","[3.3146909765764327, 5.711794846944455, 0.6801956364282501, 2.321119796845838, -0.32536254030451095, -0.13756896433670238]",1.687431451865166,1.6713865897185811,1.6713865897185811,1.6713865897185811,0.0160448621465847,0.0160448621465847,0.0159270138085219,0.0163314931363076,0.0163314931363076,0.0159270138085219,0.0163314931363076,0.0163314931363076,1.0,1.0,1.0,0.3093443262367397,0.3202358623585042,0.3202358623585042,0.9999999999999998,1.0,1.0,0.0589124523476843,1.1762431989231028,0.4362309384477941,1.6124741373708968,1.6713865897185811,0.0,0.0163314931363076,0.6004113604923301,0.0541243112164288,0.3291328351549333,0.9295441956472634,0.3832571463713621,1.0,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,True,0.2733830418437719,134.73046875,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,2207,1.626826618338895,0.0523015211587626,0.0523015211587626,0.8257242898965877,-0.044559971379686036,-0.035970028022455,-0.035970028022455,-0.5054884275380835
diag-run-6a91092c5c2a3bf0ee6e,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,0.0078125,2.1072099696478683,P3_CONTINUATION_B1,COBYLA,3301,120,1,False,"[1.307318752691071, 1.2991391804027617, 0.0, 2.67102286333235, -0.3163059091851462, 0.0]","[0.9519604968838986, 0.9936566016347889, 0.9787610956601508, 2.7086269823648403, -0.3786333011627684, -0.23563701507750037]","[0.9519604968838986, 0.9936566016347889, 0.9787610956601508, 2.7086269823648403, -0.3786333011627684, -0.23563701507750037]",1.4079863839740818,1.240018148374048,1.240018148374048,1.240018148374048,0.1679682356000338,0.1679682356000338,0.1002946856020147,0.1385015721301386,0.1385015721301386,0.1002946856020147,0.1385015721301386,0.1385015721301386,1.0,1.0,1.0,1.1084878909547582,1.2486646727491948,1.2486646727491948,1.0000000000000002,1.0000000000000004,1.0000000000000004,0.0437734594434764,1.0179267927088622,0.1783178962217093,1.1962446889305716,1.240018148374048,0.0,0.1385015721301386,0.7027996822130533,0.0525829887449973,0.106115756911811,0.8089154391248644,0.1586987456568083,1.0000000000000002,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,True,0.2666617929935455,134.76171875,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,3301,1.74080725528821,0.0071046297218334,0.0071046297218334,-0.0412485820020806,0.5007891069141619,0.1313969424083052,0.1313969424083052,1.2899132547512755
diag-run-ee124198b9bcf6240e44,task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B1,COBYLA,1103,120,1,False,"[1.413635163902173, 4.73105758961043, 0.0, 2.584346588403444, 0.1602227979409323, 0.0]","[1.412396668108301, 4.734880973376411, -0.0007108946666977598, 2.5840854239505577, 0.16154826542242945, -0.0015616167266850258]","[1.412396668108301, 4.734880973376411, -0.0007108946666977598, 2.5840854239505577, 0.16154826542242945, -0.0015616167266850258]",1.5389477825874605,1.5389364989001957,1.5389364989001957,1.5389364989001957,1.128368726477369e-05,1.128368726477369e-05,0.1165600690762756,0.1165549475247032,0.1165549475247032,0.0503655621948515,0.0504001496250785,0.0504001496250785,0.4320996254891792,0.4324153602694261,0.4324153602694261,0.8727297701191603,0.8727106871650077,0.8727106871650077,0.9999999999999988,0.999999999999999,0.999999999999999,0.074441065051404,1.1754216853670272,0.2890737484817645,1.4644954338487917,1.5389364989001957,0.0,0.1165549475247032,0.6307207676801586,0.0202529754421272,0.2324713093530098,0.8631920770331687,0.2527242847951371,0.9999999999999988,OBJECTIVE_IMPROVES_FEASIBILITY_WORSENS,71,71,1,72,0,Return from COBYLA because the trust region radius reaches its lower bound.,True,True,0.1592083536088466,134.35546875,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,1103,1.5653773961432011,0.019653529095641,0.0146852274056855,0.0996205200005613,0.026440897243005468,0.0969014184290622,0.035714922219393,0.7730901671644463
diag-run-3259ded59e93db7cc1bb,task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B1,COBYLA,2207,120,1,False,"[3.446785770283552, 4.257463579873268, 0.0, 1.2003831452582399, 1.1523700333710754, 0.0]","[3.887258763464037, 4.366601001296419, -0.6759563051287164, 1.0924551637366233, 1.0390872832754583, 0.30485719360176133]","[3.887258763464037, 4.366601001296419, -0.6759563051287164, 1.0924551637366233, 1.0390872832754583, 0.30485719360176133]",1.827662903124119,1.701986188806698,1.701986188806698,1.701986188806698,0.1256767143174209,0.1256767143174209,0.0449529338661405,0.1514539887061607,0.1514539887061607,0.0392537323610066,0.1062070182277365,0.1062070182277365,0.8732184750809625,0.7012493968302883,0.7012493968302883,0.4589380153322296,0.98646068942275,0.98646068942275,1.0000000000000004,0.9999999999999992,0.9999999999999992,0.0845387285582128,1.0624744045313388,0.5549730557171464,1.6174474602484852,1.701986188806698,0.0,0.1514539887061607,0.3330308568566638,0.0271026613168502,0.4884124931203243,0.821443349976988,0.5155151544371745,0.9999999999999992,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,True,0.2682903185486793,134.4140625,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,2207,1.563838853115599,0.1631932816201947,0.1472291357609023,1.018882249631292,-0.13814733569109916,-0.011739292914034,-0.0410221175331658,-0.03242156020854192
diag-run-e36645468ddc3f3a586e,task-v2-f83834022ee2,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B1,COBYLA,3301,120,1,False,"[3.6693799678389927, 4.195975796142059, 0.0, 1.1770428549108263, 1.1657648504052525, 0.0]","[3.9044202650652604, 4.345815655609408, -0.6578430748435581, 1.1031393673161973, 1.0667169409754877, 0.2877649037619789]","[3.9044202650652604, 4.345815655609408, -0.6578430748435581, 1.1031393673161973, 1.0667169409754877, 0.2877649037619789]",1.8248685186398348,1.7020559260147752,1.7020559260147752,1.7020559260147752,0.1228125926250596,0.1228125926250596,0.0561079146934678,0.1539408815565751,0.1539408815565751,0.0473607757066428,0.1080184437303003,0.1080184437303003,0.8441015134030045,0.7016878339143604,0.7016878339143604,0.5552041020003146,0.9935339432416462,0.9935339432416462,0.9999999999999996,1.0000000000000004,1.0000000000000004,0.0846657607143213,1.0568586870761283,0.5605314782243254,1.617390165300454,1.7020559260147752,0.0,0.1539408815565751,0.3235868069205997,0.0271914723037631,0.4952808392190623,0.8188676461396622,0.5224723115228255,1.0000000000000004,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,True,0.2710035648196935,134.4140625,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,3301,1.3190617115071412,0.2568082858807293,0.1368163414472526,1.2157890060529188,-0.38299421450763393,-0.1028674043241542,-0.028797897716952306,-0.2222550628112726
diag-run-d1d7d24c71266a194961,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B1,COBYLA,1103,120,1,False,"[1.3782086668752445, 4.601681502666781, 0.0, 2.554680337050873, 0.14831440667307677, 0.0]","[1.3749997365313709, 4.637543622402393, -0.009803079957066868, 2.556798513484951, 0.1454636940034902, 0.0009081655717915359]","[1.3749997365313709, 4.637543622402393, -0.009803079957066868, 2.556798513484951, 0.1454636940034902, 0.0009081655717915359]",1.5767358274755168,1.5762993418256328,1.5762993418256328,1.5762993418256328,0.0004364856498839,0.0004364856498839,0.099888333195524,0.100996100294191,0.100996100294191,0.0449298070060725,0.0454701971616978,0.0454701971616978,0.4498003477355632,0.4502173552171614,0.4502173552171614,0.8056947402409731,0.8104845789208777,0.8104845789208777,1.0000000000000004,1.0000000000000002,1.0000000000000002,0.0691109124757556,1.2110816075730473,0.2961068217768297,1.507188429349877,1.5762993418256326,-2.220446049250313e-16,0.100996100294191,0.6342626845303175,0.0201828861579593,0.2445583290175325,0.8788210135478499,0.2647412151754919,1.0000000000000004,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,True,0.2776658060029149,135.03125,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,1103,1.6156165692792386,0.0421490590487546,0.0168402995746246,0.4309678577015876,0.039317227453605774,0.058847041245436396,0.028629897587073197,0.3795167212192901
diag-run-3f386b00c80b08252b03,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B1,COBYLA,2207,120,1,False,"[4.8842099188213615, 6.738175990251219, 0.0, 2.4882356625947186, -0.32227751464685306, 0.0]","[5.713097476069165, 6.838705741886849, -0.26189851981221557, 2.5066611881809764, -0.4725378580412556, 0.2052356132359491]","[5.713097476069165, 6.838705741886849, -0.26189851981221557, 2.5066611881809764, -0.4725378580412556, 0.2052356132359491]",1.4805575381283131,1.3651376944024782,1.3651376944024782,1.3651376944024782,0.1154198437258349,0.1154198437258349,0.150843954523465,0.196569425804615,0.196569425804615,0.0935704573434424,0.1129773092559736,0.1129773092559736,0.6203129428623327,0.5747450743854245,0.5747450743854245,0.9847078833261091,1.099695943039874,1.099695943039874,1.0000000000000009,1.0000000000000009,1.0000000000000009,0.0569408970486958,0.9832610226816282,0.324935774672154,1.3081967973537822,1.365137694402478,-2.220446049250313e-16,0.196569425804615,0.4901909232824035,0.056314617207902,0.2569250337050804,0.7471159569874839,0.3132396509129825,1.0000000000000009,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,True,0.2647293042391538,135.12890625,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,2207,1.8041013009278049,0.111912938734673,0.0823014552601957,0.8550602740620825,0.4389636065253266,0.084656487069942,0.030675853995777908,0.24463566897779154
diag-run-7a3f89189f1eff1e07f4,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D2,7,0.015625,1.806179973983887,P3_CONTINUATION_B1,COBYLA,3301,120,1,False,"[3.032761243412031, 3.331088620118533, 0.0, 3.069783442292192, -0.4785774234800611, 0.0]","[3.0196062126783967, 3.3421832736198254, -0.0027404542223078577, 3.0695497487419634, -0.47983293794475884, 0.0013029040316764422]","[3.0196062126783967, 3.3421832736198254, -0.0027404542223078577, 3.0695497487419634, -0.47983293794475884, 0.0013029040316764422]",1.5136882839514054,1.5135918259351904,1.5135918259351904,1.5135918259351904,9.64580162150508e-05,9.64580162150508e-05,0.1643406008826411,0.1643950641131905,0.1643950641131905,0.1002075385582622,0.1002141149732669,0.1002141149732669,0.6097552158143952,0.6095932108050812,0.6095932108050812,1.0219248445461495,1.022068747889956,1.022068747889956,1.0000000000000004,1.0000000000000009,1.0000000000000009,0.067295231223772,0.9977337248440478,0.4485628698673706,1.4462965947114184,1.5135918259351906,2.220446049250313e-16,0.1643950641131905,0.4036869706726547,0.0651691230919185,0.3667488421222369,0.7704358127948916,0.4319179652141555,1.0000000000000009,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,True,0.2686195308342576,135.12890625,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,3301,1.481547803454795,0.1825729760713611,0.1085732820625467,1.0676164689147287,-0.032044022480395284,-0.018177911958170617,-0.008359167089279793,-0.04554772102477278
diag-run-eed8981d8c69cc401ce5,task-v2-73f419868dc6,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D3,7,0.0234375,1.630088714928206,P3_CONTINUATION_B1,COBYLA,1103,120,1,False,"[1.7438488525076061, 4.877360859857171, 0.0, 3.125380496550806, -0.4764872455989399, 0.0]","[1.7272974498069331, 4.894940496695847, -0.0036631354262039117, 3.124670070452152, -0.47674312995644363, 0.0020442547312915947]","[1.7272974498069331, 4.894940496695847, -0.0036631354262039117, 3.124670070452152, -0.47674312995644363, 0.0020442547312915947]",1.16418401734986,1.1640335944273337,1.1640335944273337,1.1640335944273337,0.0001504229225262,0.0001504229225262,0.2692989412267526,0.2693789267546866,0.2693789267546866,0.1084846192300934,0.1084377940177412,0.1084377940177412,0.4028408679807927,0.4025474276111119,0.4025474276111119,1.060323360874871,1.0604523332189524,1.0604523332189524,0.9999999999999992,1.0,1.0,0.0744924027628918,0.938690725962126,0.1508504657023159,1.089541191664442,1.164033594427334,2.220446049250313e-16,0.2693789267546866,0.5836353016447029,0.0,0.1469857716006104,0.7306210732453131,0.1469857716006104,1.0,OBJECTIVE_AND_FEASIBILITY_IMPROVE,120,120,1,121,3,Return from COBYLA because the objective function has been evaluated MAXFUN times.,False,True,0.2855452904477715,134.42578125,SUCCESS,,4125a14ecf0cf9f70644007cd1634ecf6f1e07fa3cd07fca5698b5513f958820,1103,1.3177432845047,0.1488099095693424,0.0446035192265474,0.8027205676971045,0.15370969007736623,0.12056901718534421,0.0638342747911938,0.25773176552184784
