scope,group,n_runs,worse_count,worse_fraction,gap_median,gap_min,gap_max
size_stratum,S1,18,9,0.5,0.00289296223740755,-0.5058068071326935,0.3328208713141281
size_stratum,S2,24,10,0.4166666666666667,-0.03008978823410155,-0.3741551108092225,0.5331547356171433
size_stratum,S3,42,5,0.11904761904761904,-0.23220385829079376,-0.5254614555883841,0.2267075142404353
size_stratum,S4,42,2,0.047619047619047616,-0.3245686462596496,-0.5844391389886161,0.1070181178616631
size_stratum,S5,42,3,0.07142857142857142,-0.21708392570443674,-0.7029731374043637,0.2931016936614932
base_graph,v2-S1-b000-g-548c8c6335dd2a2e,9,6,0.6666666666666666,0.0077237333303028,-0.0474865406868314,0.3235437627994917
base_graph,v2-S1-b001-g-553bb3c5ba0f2136,9,3,0.3333333333333333,-0.084426522325802,-0.5058068071326935,0.3328208713141281
base_graph,v2-S2-b000-g-60667963f6db3f1b,12,6,0.5,-0.05762722618839884,-0.3741551108092225,0.5331547356171433
base_graph,v2-S2-b001-g-6aa6775bed3bc2cc,12,4,0.3333333333333333,-0.03008978823410155,-0.3518484476091608,0.1138115587369341
base_graph,v2-S3-b000-g-8a16a856f5377a40,21,1,0.047619047619047616,-0.236809127000972,-0.4913803395367124,0.0452708481852994
base_graph,v2-S3-b001-g-a712031e7959d564,21,4,0.19047619047619047,-0.1790990007662758,-0.5254614555883841,0.2267075142404353
base_graph,v2-S4-b000-g-3ff7063ef9ea5cfb,21,0,0.0,-0.2985110497920911,-0.4716217549387917,-0.0768582264669475
base_graph,v2-S4-b001-g-bd62d2d752385cc7,21,2,0.09523809523809523,-0.3631669991822106,-0.5844391389886161,0.1070181178616631
base_graph,v2-S5-b000-g-a87f1b9ac089cc45,21,2,0.09523809523809523,-0.2110903675885369,-0.6346641472850638,0.2931016936614932
base_graph,v2-S5-b001-g-e0c69f84d376b633,21,1,0.047619047619047616,-0.2230774838203366,-0.7029731374043637,0.0094612699728777
dilution_score,1.630088714928206,6,3,0.5,-0.020480349436274747,-0.360696458825845,0.15355926715484
dilution_score,1.806179973983887,6,3,0.5,-0.00285543347043485,-0.5058068071326935,0.3235437627994917
dilution_score,2.1072099696478683,6,3,0.5,0.003491907995418,-0.084426522325802,0.3328208713141281
dilution_score,2.4082399653118496,6,2,0.3333333333333333,-0.0853524311250777,-0.3741551108092225,0.5331547356171433
dilution_score,2.533178701920149,6,3,0.5,0.03037563361009235,-0.3518484476091608,0.2393117814879877
dilution_score,2.709269960975831,6,3,0.5,0.014194616189043854,-0.1636899160908838,0.2068337505485631
dilution_score,3.010299956639812,6,2,0.3333333333333333,-0.13159287018422075,-0.2024208567064747,0.1052482648025134
dilution_score,3.0682919036174985,6,2,0.3333333333333333,-0.15004823434472037,-0.3440468804267798,0.0452708481852994
dilution_score,3.135238693248112,6,0,0.0,-0.1543805037694712,-0.451252171616552,-0.0345442420130566
dilution_score,3.2144199392957367,6,1,0.16666666666666666,-0.22171549766827586,-0.5017597030681671,0.2267075142404353
dilution_score,3.311329952303793,6,1,0.16666666666666666,-0.18232928520718145,-0.4913803395367124,0.0247898473283287
dilution_score,3.436268688912093,6,0,0.0,-0.2357762649672109,-0.3232174652575863,-0.1771077957046862
dilution_score,3.612359947967774,6,1,0.16666666666666666,-0.25713594718478316,-0.3243033331107354,0.0460233598143919
dilution_score,3.8622374211843744,3,0,0.0,-0.3200124623482587,-0.442920622780206,-0.3151743376096669
dilution_score,3.9133899436317554,12,1,0.08333333333333333,-0.3295376724221599,-0.5408123607614845,0.1070181178616631
dilution_score,4.038328680240055,6,0,0.0,-0.3735943558947561,-0.5844391389886161,-0.2290927417186623
dilution_score,4.11750992628768,3,0,0.0,-0.3651173299660675,-0.5617626632916493,-0.3348915331237632
dilution_score,4.214419939295737,6,1,0.16666666666666666,-0.2390321203102842,-0.5734868366194608,0.0387440544782382
dilution_score,4.339358675904037,6,0,0.0,-0.25210393107196033,-0.4314617896371726,-0.0768582264669475
dilution_score,4.515449934959718,6,0,0.0,-0.33202058351692043,-0.4022492467215561,-0.0930192096751099
dilution_score,4.640388671568018,3,0,0.0,-0.4639432155565044,-0.7029731374043637,-0.3170431993682838
dilution_score,4.719569917615643,3,1,0.3333333333333333,-0.4132219433769055,-0.5271737204254454,0.2931016936614932
dilution_score,4.816479930623699,12,0,0.0,-0.2336667264023184,-0.6346641472850638,-0.0403618010519986
dilution_score,4.941418667231999,6,1,0.16666666666666666,-0.27632555164339484,-0.4826287444583814,0.0094612699728777
dilution_score,5.11750992628768,6,0,0.0,-0.12473809340228756,-0.3634919627796089,-0.0411577257686688
dilution_score,5.24244866289598,6,1,0.16666666666666666,-0.17202801532598017,-0.3592309071372752,0.0344616485940041
dilution_score,5.418539921951662,6,0,0.0,-0.1704020255046332,-0.3725336967912636,-0.0197365709947199
dilution_score,5.719569917615643,6,0,0.0,-0.18735583918358206,-0.3815280659458029,-0.06332549094555
