run_id,task_id,graph_id,base_instance_id,size_stratum,stress_level,m,dilution_score,feasible_fraction_phi,objective,alpha,optimizer,depth,seed,budget,effective_trajectory_nfev,incumbent_evaluation_index,actual_nfev_max_run,scipy_reported_nfev,nit,termination_reason,optimizer_message,runtime_s,parameters,objective_value,mean_energy,P_feas,P_opt,P_opt_given_feas,G_feas,tail_feasible_fraction,tail_fully_feasible,early_termination_carried_forward
b1-0036266d3f56e71a1863,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,2.533178701920149,0.0029296875,O3,0.1,COBYLA,2,3301,120,120,120,480,480,398,EVALUATION_BUDGET_EXHAUSTED,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0478294575586915,"[4.0081777788689985, 2.5473650624469366, 1.5926313127135532, 1.0695893154038862]",0.8134327529818054,1.8086902123959656,0.0316043607346482,0.019115676957662125,0.6048430189162283,1.032925712144046,0.316043607346482,False,False
b1-0036266d3f56e71a1863,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,2.533178701920149,0.0029296875,O3,0.1,COBYLA,2,3301,240,240,239,480,480,398,EVALUATION_BUDGET_EXHAUSTED,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0478294575586915,"[3.9884063958530636, 2.500521545242399, 1.591903196330558, 1.0698044922222971]",0.8130026750198013,1.8091120542650143,0.03162032147857167,0.019088297657903715,0.6036718403017943,1.033144982938857,0.31620321478571667,False,False
b1-0036266d3f56e71a1863,task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,2.533178701920149,0.0029296875,O3,0.1,COBYLA,2,3301,480,480,480,480,480,398,EVALUATION_BUDGET_EXHAUSTED,Return from COBYLA because the objective function has been evaluated MAXFUN times.,1.0478294575586915,"[3.945455388101126, 2.4577177119420606, 1.5955207362395163, 1.0704395936914637]",0.8125962847851476,1.8094002757033891,0.03165795705933914,0.019099747314956953,0.6033158513405243,1.0336615876049604,0.3165795705933914,False,False
b1-00c5d821a1bb44a7bb74,task-v2-e243a3cd3e64,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D7,16,3.9133899436317554,0.0001220703125,O0,0.1,COBYLA,2,1103,120,120,120,480,480,389,EVALUATION_BUDGET_EXHAUSTED,Return from COBYLA because the objective function has been evaluated MAXFUN times.,13.118578545749187,"[2.49275996122899, 4.419568364948813, 2.221942238728926, 0.08507051783090366]",1.8942554210128901,1.8942554210128901,0.0032836203001980514,0.0008532963610022981,0.259864504111767,1.4297428755558481,0.032836203001980514,False,False
b1-00c5d821a1bb44a7bb74,task-v2-e243a3cd3e64,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D7,16,3.9133899436317554,0.0001220703125,O0,0.1,COBYLA,2,1103,240,240,240,480,480,389,EVALUATION_BUDGET_EXHAUSTED,Return from COBYLA because the objective function has been evaluated MAXFUN times.,13.118578545749187,"[2.6515331855204973, 4.387455396193333, 2.213984328708896, 0.08445218011850601]",1.890392500630345,1.890392500630345,0.003308293052098538,0.0008607534799381117,0.26018054216572895,1.4329939164808991,0.03308293052098538,False,False
b1-00c5d821a1bb44a7bb74,task-v2-e243a3cd3e64,g-bd62d2d752385cc7,v2-S4-b001-g-bd62d2d752385cc7,S4,D7,16,3.9133899436317554,0.0001220703125,O0,0.1,COBYLA,2,1103,480,480,480,480,480,389,EVALUATION_BUDGET_EXHAUSTED,Return from COBYLA because the objective function has been evaluated MAXFUN times.,13.118578545749187,"[2.7110856915605575, 4.394638906280965, 2.2110426487586463, 0.08463621041611474]",1.889972552451694,1.889972552451694,0.0033208828137212963,0.0008596301481889674,0.2588559116380526,1.43464349425208,0.033208828137212966,False,False
b1-013d4b34f41922f5276f,task-v2-4968f3a685c2,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D1,13,3.9133899436317554,0.0001220703125,O3,0.1,COBYLA,4,3301,120,120,120,480,480,394,EVALUATION_BUDGET_EXHAUSTED,Return from COBYLA because the objective function has been evaluated MAXFUN times.,3.0761296674609184,"[2.796904454536705, 3.3932277068632253, 3.588554545536242, 0.7988360219449993, 2.6829642851603257, 3.0074144552808684, 2.939829012126155, 2.9752653628082126]",0.871106966652847,1.6522341560466212,0.02018602094325489,0.02018602094325489,1.0,2.2184406631352913,0.20186020943254893,False,False
b1-013d4b34f41922f5276f,task-v2-4968f3a685c2,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D1,13,3.9133899436317554,0.0001220703125,O3,0.1,COBYLA,4,3301,240,240,240,480,480,394,EVALUATION_BUDGET_EXHAUSTED,Return from COBYLA because the objective function has been evaluated MAXFUN times.,3.0761296674609184,"[2.8398961595860244, 3.5494394338297637, 3.7836036661446766, 0.8565133531906037, 2.6192134640922147, 2.979089118808864, 2.9290689048664356, 2.9890815235233084]",0.8539624278086716,1.687497701516663,0.021960103135620017,0.021960103135620017,1.0,2.2550243190785477,0.21960103135620015,False,False
b1-013d4b34f41922f5276f,task-v2-4968f3a685c2,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D1,13,3.9133899436317554,0.0001220703125,O3,0.1,COBYLA,4,3301,480,480,480,480,480,394,EVALUATION_BUDGET_EXHAUSTED,Return from COBYLA because the objective function has been evaluated MAXFUN times.,3.0761296674609184,"[2.8215552468565455, 3.612014693819959, 3.8916216487347066, 0.9080298543964985, 2.592386593119955, 2.9672221595581623, 2.917078355579832, 2.9905990481604117]",0.8474477185027829,1.6954000245213143,0.02265118138070745,0.02265118138070745,1.0,2.268480801359963,0.22651181380707452,False,False
b1-02213359bfaf4ac62eed,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,2.1072099696478683,0.0078125,O3,0.1,COBYLA,4,2207,120,120,103,128,128,97,EARLY_CONVERGENCE,Return from COBYLA because the trust region radius reaches its lower bound.,0.2723474595695734,"[5.445980490800029, 4.840481193980868, 2.589423379653579, 0.27869600864524136, 1.1317115029368623, 1.3111457712230763, 0.18339987720472656, 3.05138699906603]",0.06976744186046512,1.943912374588601,0.10157036084906401,0.10157036084906401,1.0,1.1139769650207916,1.0,True,False
b1-02213359bfaf4ac62eed,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,2.1072099696478683,0.0078125,O3,0.1,COBYLA,4,2207,240,128,103,128,128,97,EARLY_CONVERGENCE,Return from COBYLA because the trust region radius reaches its lower bound.,0.2723474595695734,"[5.445980490800029, 4.840481193980868, 2.589423379653579, 0.27869600864524136, 1.1317115029368623, 1.3111457712230763, 0.18339987720472656, 3.05138699906603]",0.06976744186046512,1.943912374588601,0.10157036084906401,0.10157036084906401,1.0,1.1139769650207916,1.0,True,True
b1-02213359bfaf4ac62eed,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,v2-S1-b001-g-553bb3c5ba0f2136,S1,D1,7,2.1072099696478683,0.0078125,O3,0.1,COBYLA,4,2207,480,128,103,128,128,97,EARLY_CONVERGENCE,Return from COBYLA because the trust region radius reaches its lower bound.,0.2723474595695734,"[5.445980490800029, 4.840481193980868, 2.589423379653579, 0.27869600864524136, 1.1317115029368623, 1.3111457712230763, 0.18339987720472656, 3.05138699906603]",0.06976744186046512,1.943912374588601,0.10157036084906401,0.10157036084906401,1.0,1.1139769650207916,1.0,True,True
b1-06f355dd0d0903e6d1a1,task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,1.630088714928206,0.0234375,O3,0.1,COBYLA,3,2207,120,60,40,60,60,46,EARLY_CONVERGENCE,Return from COBYLA because the trust region radius reaches its lower bound.,0.10842113196849823,"[3.3128507747863565, 3.5355028704736866, 3.107568687625382, 0.053089563044740606, 1.1883033283224067, 1.2920803874564992]",0.023255813953488372,1.4666956334085908,0.25428263690834085,0.10049031634798979,0.3951914199482393,1.035405421339307,1.0,True,True
b1-06f355dd0d0903e6d1a1,task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,1.630088714928206,0.0234375,O3,0.1,COBYLA,3,2207,240,60,40,60,60,46,EARLY_CONVERGENCE,Return from COBYLA because the trust region radius reaches its lower bound.,0.10842113196849823,"[3.3128507747863565, 3.5355028704736866, 3.107568687625382, 0.053089563044740606, 1.1883033283224067, 1.2920803874564992]",0.023255813953488372,1.4666956334085908,0.25428263690834085,0.10049031634798979,0.3951914199482393,1.035405421339307,1.0,True,True
b1-06f355dd0d0903e6d1a1,task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,v2-S1-b000-g-548c8c6335dd2a2e,S1,D3,7,1.630088714928206,0.0234375,O3,0.1,COBYLA,3,2207,480,60,40,60,60,46,EARLY_CONVERGENCE,Return from COBYLA because the trust region radius reaches its lower bound.,0.10842113196849823,"[3.3128507747863565, 3.5355028704736866, 3.107568687625382, 0.053089563044740606, 1.1883033283224067, 1.2920803874564992]",0.023255813953488372,1.4666956334085908,0.25428263690834085,0.10049031634798979,0.3951914199482393,1.035405421339307,1.0,True,True
