task_id,graph_id,objective,seed,transition,shallower_depth,deeper_depth,budget,deeper_terminal_objective,embedded_shallower_objective,signed_nested_regret,embedding_identity_error,embedding_identity_pass,nested_pass,nested_failure,actual_nfev,nit,termination_reason,wall_time_s
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,O3,3301,p2->p3,2,3,480,0.6379730615927682,0.8125962847851476,-0.17462322319237933,0.0,True,True,False,480,397,EVALUATION_BUDGET_EXHAUSTED,1.2438726527616382
task-v2-3f363bac5736,g-60667963f6db3f1b,O3,1103,p2->p3,2,3,120,1.025046505332027,0.9543127500983506,0.07073375523367642,0.0,True,False,True,480,398,EVALUATION_BUDGET_EXHAUSTED,1.2422337057068944
task-v2-3f363bac5736,g-60667963f6db3f1b,O3,1103,p2->p3,2,3,240,1.0239963361130473,0.8716626052452301,0.1523337308678172,0.0,True,False,True,480,398,EVALUATION_BUDGET_EXHAUSTED,1.2422337057068944
task-v2-3f363bac5736,g-60667963f6db3f1b,O3,1103,p2->p3,2,3,480,1.0232329617584206,0.7824587660490903,0.24077419570933034,0.0,True,False,True,480,398,EVALUATION_BUDGET_EXHAUSTED,1.2422337057068944
task-v2-73f419868dc6,g-553bb3c5ba0f2136,O3,3301,p2->p3,2,3,120,0.046511627906976744,0.05865231871948392,-0.012140690812507175,0.0,True,True,False,35,25,EARLY_CONVERGENCE,0.054470838978886604
task-v2-73f419868dc6,g-553bb3c5ba0f2136,O3,3301,p2->p3,2,3,240,0.046511627906976744,0.058603101960347445,-0.012091474053370702,0.0,True,True,False,35,25,EARLY_CONVERGENCE,0.054470838978886604
task-v2-73f419868dc6,g-553bb3c5ba0f2136,O3,3301,p2->p3,2,3,480,0.046511627906976744,0.058489330262585314,-0.01197770235560857,0.0,True,True,False,35,25,EARLY_CONVERGENCE,0.054470838978886604
task-v2-8c0a098a6f8b,g-a712031e7959d564,O0,3301,p3->p4,3,4,120,1.4177234542300665,1.546679894519812,-0.1289564402897454,0.0,True,True,False,480,385,EVALUATION_BUDGET_EXHAUSTED,3.2221680004149675
task-v2-8c0a098a6f8b,g-a712031e7959d564,O0,3301,p3->p4,3,4,240,1.3882982384756746,1.5364726533433029,-0.14817441486762828,0.0,True,True,False,480,385,EVALUATION_BUDGET_EXHAUSTED,3.2221680004149675
task-v2-8c0a098a6f8b,g-a712031e7959d564,O0,3301,p3->p4,3,4,480,1.2595517805871124,1.5189708859924038,-0.25941910540529145,0.0,True,True,False,480,385,EVALUATION_BUDGET_EXHAUSTED,3.2221680004149675
task-v2-3f363bac5736,g-60667963f6db3f1b,O0,2207,p2->p3,2,3,120,1.761133895802486,1.9030316131014482,-0.14189771729896217,0.0,True,True,False,480,390,EVALUATION_BUDGET_EXHAUSTED,1.1794416224583983
task-v2-3f363bac5736,g-60667963f6db3f1b,O0,2207,p2->p3,2,3,240,1.7344736617572085,1.746014186090127,-0.011540524332918523,0.0,True,True,False,480,390,EVALUATION_BUDGET_EXHAUSTED,1.1794416224583983
task-v2-3f363bac5736,g-60667963f6db3f1b,O0,2207,p2->p3,2,3,480,1.722456176749335,1.7311466759881327,-0.008690499238797722,0.0,True,True,False,480,390,EVALUATION_BUDGET_EXHAUSTED,1.1794416224583983
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,O3,3301,p3->p4,3,4,120,0.7126658473281159,0.9251845195166317,-0.21251867218851583,0.0,True,True,False,480,397,EVALUATION_BUDGET_EXHAUSTED,29.414301165379584
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,O3,3301,p3->p4,3,4,240,0.6908955584821086,0.7487007824737203,-0.0578052239916117,0.0,True,True,False,480,397,EVALUATION_BUDGET_EXHAUSTED,29.414301165379584
task-v2-e243a3cd3e64,g-bd62d2d752385cc7,O3,3301,p3->p4,3,4,480,0.674673687591852,0.7469515735743566,-0.07227788598250462,0.0,True,True,False,480,397,EVALUATION_BUDGET_EXHAUSTED,29.414301165379584
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O0,1103,p3->p4,3,4,120,1.4474887651229205,1.3126185126914598,0.13487025243146067,1.1102230246251565e-15,True,False,True,480,373,EVALUATION_BUDGET_EXHAUSTED,563.2015485521406
task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O0,1103,p3->p4,3,4,240,1.4202448832195174,1.3118330259853423,0.10841185723417501,4.440892098500626e-16,True,False,True,480,373,EVALUATION_BUDGET_EXHAUSTED,563.2015485521406
