depth,budget,n_graphs,n_tasks,graph_positive_count,graph_zero_count,graph_negative_count,exact_one_sided_sign_flip_p,graph_effect_mean,graph_effect_median,graph_effect_ci_lower,graph_effect_ci_upper,graph_effect_bootstrap_se
2,120,10,24,8,0,2,0.0146484375,0.17476822954423457,0.15410871105462376,0.050801095412722035,0.309220224306725,0.06593266891903403
2,240,10,24,9,0,1,0.005859375,0.21881308896527818,0.15406219946859295,0.08769609446227551,0.35814884587587936,0.06966354158025456
2,480,10,24,9,0,1,0.0048828125,0.24661513287403497,0.18705360352576872,0.10851733469821649,0.3991637951517199,0.07423213155725127
3,120,10,24,10,0,0,0.0009765625,0.8030535760448705,0.9003057634476933,0.621697897066414,0.9713833041501464,0.08976733133794693
3,240,10,24,10,0,0,0.0009765625,0.8827633078487833,0.9866187823412575,0.6450314392269547,1.1014754865076353,0.11630814038048758
3,480,10,24,10,0,0,0.0009765625,0.9525642889409154,1.1217135698985743,0.678940415961723,1.1904308722006267,0.13023477026575095
4,120,10,24,9,0,1,0.0029296875,0.28447975231030825,0.30322624213339866,0.17421893513258946,0.3822327806976544,0.053036357719179576
4,240,10,24,8,0,2,0.00390625,0.3058199395994893,0.3296173125700924,0.1900545534321195,0.4061544650545149,0.0557935370344849
4,480,10,24,8,0,2,0.00390625,0.28126148998174194,0.32226596301293675,0.17262465032772337,0.3719607527712498,0.051585391268494284
