execution_status,count,planned_optimized_denominator
SUCCESS,504,504
TIMEOUT,0,504
OOM,0,504
OPTIMIZER_FAILURE,0,504
NUMERICAL_FAILURE,0,504
ZERO_P_FEAS,0,504
ZERO_P_OPT,0,504
RESOURCE_CENSORED,0,504
